year,son_DET or_NOUN,son_DET corps_NOUN
1800,1.25452167765161e-06,3.0284593094620504e-05
1801,1.0381955606320048e-06,2.584059279797657e-05
1802,9.95838888684375e-07,3.11238809445058e-05
1803,1.0044246694373982e-06,3.7391905152617255e-05
1804,1.2977217114240602e-06,2.6359818320997874e-05
1805,9.950072372699736e-07,2.361578503951023e-05
1806,7.578790048867745e-07,2.4151269144567777e-05
1807,9.394952158459091e-07,1.9991318026768568e-05
1808,1.0741191260876803e-06,2.5946547566491063e-05
1809,9.82678247218871e-07,2.2868165387990302e-05
1810,9.407309633502337e-07,2.3136833988246508e-05
1811,1.0178731670862362e-06,2.544933636272617e-05
1812,6.107906798114016e-07,2.03988095108798e-05
1813,8.655982277616658e-07,2.1369636442614137e-05
1814,9.471498465529749e-07,2.138796492090478e-05
1815,1.1220449911419905e-06,2.119748023687862e-05
1816,1.0614625640670283e-06,3.253220506849175e-05
1817,9.761595762824982e-07,3.212452520529041e-05
1818,8.750144031566265e-07,3.115599793090951e-05
1819,1.1613878356797613e-06,2.7207735911360942e-05
1820,1.301752971194503e-06,2.3165745005826466e-05
1821,8.924646834884697e-07,2.6687159333960153e-05
1822,8.431543250253526e-07,2.5825986313066096e-05
1823,9.872803836685762e-07,2.6174296863246127e-05
1824,1.142745000848322e-06,2.9589263704110635e-05
1825,1.0997997854644836e-06,3.131391736133082e-05
1826,1.026130223347188e-06,3.165589555464976e-05
1827,6.885303113213226e-07,2.224404420303472e-05
1828,7.989074619629832e-07,2.3581985715281917e-05
1829,9.207591245008473e-07,2.29941160796443e-05
1830,7.723258761416218e-07,2.4185280153687927e-05
1831,6.89131281594868e-07,2.283487947352114e-05
1832,8.104451931778556e-07,2.3557029862786294e-05
1833,1.0911778209887757e-06,2.3793931063664786e-05
1834,9.455880087827495e-07,2.3432472517015412e-05
1835,8.417716941266917e-07,2.555718651819916e-05
1836,8.078341666717392e-07,2.9842147341696545e-05
1837,9.170500074873189e-07,2.645320614647062e-05
1838,9.076888827230789e-07,2.461616838900227e-05
1839,7.858418245021426e-07,2.226924607384717e-05
1840,8.917564064958583e-07,2.2648064600616635e-05
1841,8.539329705570253e-07,2.6740941848402144e-05
1842,1.0042272644561479e-06,2.4534137878617912e-05
1843,9.297478165137818e-07,2.3771181531628827e-05
1844,9.270180119091975e-07,2.6758382318803342e-05
1845,8.05226888278554e-07,2.4361042619602813e-05
1846,8.418772874385638e-07,2.244732911549363e-05
1847,8.612977966393487e-07,2.095644924793305e-05
1848,8.302668921267298e-07,2.370685433561448e-05
1849,8.320759299351721e-07,1.8233607534057228e-05
1850,8.106061244461671e-07,2.5049358328033122e-05
1851,8.010203007557948e-07,2.0735590851472807e-05
1852,7.747549211067906e-07,2.396727063569415e-05
1853,8.181546871099954e-07,2.269334129323397e-05
1854,6.785537687292731e-07,2.588687812021817e-05
1855,8.761753029773445e-07,2.3408369543176377e-05
1856,6.947788167011026e-07,2.3488907004320936e-05
1857,8.630508023799166e-07,2.5469274305578438e-05
1858,8.015841483910435e-07,2.2783976760365476e-05
1859,9.57837786197402e-07,2.2215115563994914e-05
1860,9.07655541837471e-07,2.2537596009897243e-05
1861,8.328392091527803e-07,2.1160057372071606e-05
1862,8.588691873256948e-07,2.0956679918526788e-05
1863,8.161210391932627e-07,2.3162055526881886e-05
1864,7.091402398629043e-07,2.173018583562225e-05
1865,8.458199216576645e-07,2.077648105114349e-05
1866,8.037992778042735e-07,2.1640299223690818e-05
1867,8.201251535666643e-07,2.0175078134343494e-05
1868,6.871364561789051e-07,2.25831280431521e-05
1869,7.676892104235833e-07,1.935094428517914e-05
1870,7.012741516376764e-07,2.1266440512590634e-05
1871,6.691341827291808e-07,1.6415029676863924e-05
1872,6.839540471759165e-07,1.8877374941439484e-05
1873,5.596914229855088e-07,1.85745710723495e-05
1874,6.10007602652729e-07,1.754922027430439e-05
1875,6.60264239726871e-07,1.6669669662405795e-05
1876,6.511557675281665e-07,1.6995347550619044e-05
1877,6.957918161631937e-07,1.628462041480816e-05
1878,5.284202395650084e-07,1.671196991992474e-05
1879,6.763023017164471e-07,1.5730901964161603e-05
1880,6.052028771463824e-07,1.503958105786296e-05
1881,6.066081423838909e-07,1.3735840070694394e-05
1882,6.442412558982369e-07,1.7370554701301444e-05
1883,5.207135540530317e-07,1.4037147479939449e-05
1884,6.03395125864381e-07,1.4244481121750141e-05
1885,5.240301841347161e-07,1.4632237480327603e-05
1886,6.434103374530764e-07,1.421569004378398e-05
1887,4.642065440929599e-07,1.340257642823417e-05
1888,5.788981156662487e-07,1.5534505791947595e-05
1889,4.836685678633046e-07,1.380084290758532e-05
1890,4.771593222763215e-07,1.3629191471409285e-05
1891,5.341596658325898e-07,1.305822672748036e-05
1892,5.353309795452788e-07,1.3230322110757697e-05
1893,5.129961102579017e-07,1.286123733734712e-05
1894,4.801772890417055e-07,1.2894209703517845e-05
1895,6.157042493626363e-07,1.3207849463015009e-05
1896,4.876842885082056e-07,1.3167476254238863e-05
1897,4.876959378563583e-07,1.2037990188673575e-05
1898,4.6002423870206144e-07,1.253551909030648e-05
1899,5.162758043297799e-07,1.367357106119016e-05
1900,5.684203263633947e-07,1.2942853118147468e-05
