year,en_ADP ouvertures_NOUN,en_ADP couvertures_NOUN
1800,0.0,2.829747991484055e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,2.0140561218795483e-08
1803,1.950339223455444e-09,6.436119370789584e-08
1804,0.0,3.954961580454608e-08
1805,8.528632911009026e-09,2.2743021244053807e-08
1806,0.0,2.5935023018064385e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,4.985362878073829e-08
1809,6.7770917766551975e-09,5.421673421324158e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,2.757784400841956e-08
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,1.6183340889597275e-08
1816,2.3176038865813098e-09,3.476405652236281e-08
1817,3.113746815941454e-09,1.71256075987003e-08
1818,0.0,7.152706427149269e-09
1819,2.3807414706311647e-08,9.315945348475907e-09
1820,0.0,3.559944161679596e-08
1821,0.0,3.254291058851777e-08
1822,4.010246357211145e-09,1.4035862250239006e-08
1823,0.0,6.423746479189418e-08
1824,0.0,1.2631669044083083e-08
1825,1.3208164340028361e-08,4.4027217427355936e-09
1826,8.807984341885344e-10,1.6735169694470642e-08
1827,1.8434546111834038e-09,2.027800150017356e-08
1828,1.559291185060374e-08,1.6510142586412258e-08
1829,0.0,6.858540846366168e-09
1830,3.1310507520032616e-09,1.6698937344017395e-08
1831,0.0,3.1182412207897414e-09
1832,1.0823975493678972e-08,1.758896062131754e-08
1833,1.0425265983826648e-08,3.1275796175123105e-08
1834,1.120143755528602e-08,2.240287422239362e-08
1835,1.5882484660778573e-08,2.2689263801112247e-08
1836,2.688300027031687e-09,1.008112526790228e-08
1837,1.530736071231331e-08,1.87863058442872e-08
1838,1.199310784016916e-08,1.2624323808552163e-08
1839,2.7965900706306e-09,2.0974425751774106e-08
1840,5.095750932326837e-09,1.1465439264668476e-08
1841,1.2841097074556274e-09,2.760835826620678e-08
1842,2.0124795163667386e-09,9.391571076378114e-09
1843,4.134837805480629e-09,7.678984226267005e-09
1844,6.586273748609983e-09,1.811225303072206e-08
1845,1.1718478631905782e-08,1.2276501593078137e-08
1846,7.025401593807601e-09,3.2785209214125643e-08
1847,7.550513103637968e-09,1.5640348571821505e-08
1848,1.6090443422100975e-09,1.448139919091318e-08
1849,2.5976186979193017e-08,2.4300303991253713e-08
