year,en_ADP are_NOUN,en_ADP quarts_NOUN
1800,5.65949598296811e-08,6.60274537267469e-08
1801,5.9529563944948904e-08,1.0239084957675004e-07
1802,6.713520406265161e-09,8.727576528144709e-08
1803,4.4857801695386e-08,9.55666195068261e-08
1804,2.719036085174764e-08,3.460591457837836e-08
1805,8.528633133053631e-09,7.675770063997334e-08
1806,2.881669125542885e-08,2.1324350996110297e-07
1807,1.1387820464392462e-08,3.131650672116848e-08
1808,5.211970233176544e-08,1.5862518409903714e-08
1809,1.355418288717658e-08,7.00299480627109e-08
1810,5.8503168531842675e-08,5.616304221689461e-08
1811,1.7549536934780008e-08,5.766276700569506e-08
1812,3.467370746079723e-08,1.3869482984318893e-07
1813,1.150296680130225e-08,2.300593315851529e-08
1814,1.2586708564299443e-08,5.664018942752591e-08
1815,2.9669458667669346e-08,1.3486118000116676e-08
1816,1.1819780176836048e-07,1.8540831092650478e-08
1817,2.8023721343473085e-08,6.07180652423267e-08
1818,1.9073883805731384e-08,1.0729059418679299e-08
1819,5.175525008560555e-08,3.8298885840504227e-08
1820,1.542642635854463e-08,2.8479554714522237e-08
1821,3.94459531705138e-09,7.100271659510327e-08
1822,1.303330066093622e-08,9.825103575167304e-08
1823,3.162459771832715e-08,6.423746157224741e-08
1824,1.0105335235266466e-08,3.705289586264371e-08
1825,1.0566531427613768e-08,8.101007864524945e-08
1826,1.0569580766173203e-08,4.7563116112314674e-08
1827,3.2260455640198415e-08,4.608636672287503e-08
1828,1.1923991571904935e-08,1.0089530988466322e-08
1829,1.0287811491593857e-08,1.2859763920403111e-08
1830,1.2524202563923836e-08,4.174734158368665e-08
1831,1.4032085715598441e-08,5.76874619184764e-08
1832,1.3529969256076413e-08,3.92369123858316e-08
1833,9.266902800675325e-09,5.444305273272221e-08
1834,1.773560875939495e-08,4.85395617033646e-08
1835,1.5882484660778573e-08,1.739510224751939e-08
1836,7.392825018825988e-09,4.5701099793404865e-08
1837,1.3219993100221927e-08,4.453050195252217e-08
1838,8.2058102535143e-09,3.092959488526503e-08
1839,1.3982950020086093e-08,9.927894950578775e-08
1840,2.611572358368619e-08,5.032054062326097e-08
1841,2.3756030032018316e-08,5.778493772368165e-08
1842,1.341653010911159e-08,2.683306021822318e-08
1843,1.1223130869097986e-08,1.033709438047481e-07
1844,1.152597856046711e-08,4.116420981858937e-08
1845,1.1718478631905782e-08,5.1896119401817487e-08
1846,7.025401593807601e-09,3.1614305839866574e-08
1847,9.707802561820245e-09,3.55952778363644e-08
1848,2.735375304041554e-08,2.896279838182636e-08
1849,1.3407064125559032e-08,4.9438547478075634e-08
1850,3.4623880651452055e-08,3.394497838371535e-08
1851,1.3543821175687754e-08,9.867641637129054e-08
1852,2.7344290387532055e-08,4.036538214791108e-08
1853,4.478948767427937e-08,3.702597695109944e-08
1854,1.2989161413123895e-08,4.572184764128906e-08
1855,2.4942604426314574e-08,3.714855978387277e-08
