year,divin_ADJ corps_NOUN
1800,0.0
1801,9.52473055981784e-09
1802,6.713520406265161e-09
1803,5.851017670366332e-09
1804,2.4718509905596875e-08
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,8.627225156487839e-09
1814,6.293354282149721e-09
1815,7.552225866902518e-08
1816,4.6352077731626196e-08
1817,6.538868291272593e-08
1818,3.5763532135746345e-09
1819,1.6561680027393777e-08
1820,1.1866481131050932e-08
1821,2.070912508145284e-08
1822,1.2030739071633434e-08
1823,1.482403055863557e-08
1824,1.1789557774477544e-08
1825,1.2327620257934768e-08
1826,8.807984452907647e-09
1827,2.3964910667029216e-08
1828,4.769596506637441e-08
1829,1.7146351893870815e-08
1830,8.349468672008697e-09
1831,0.0
1832,4.058990810129615e-09
1833,4.633451511359965e-09
1834,1.120143711119681e-08
1835,1.739510224751939e-08
1836,9.274634960032557e-08
1837,9.045257876039159e-09
1838,7.574594063086693e-09
1839,1.7478688718597368e-08
1840,1.9746034141121527e-08
1841,2.0609960227346846e-07
1842,2.2137274680034125e-08
1843,2.1855571574747046e-08
1844,2.4698525891153622e-08
1845,2.064684390123972e-08
1846,2.5759805621916598e-08
1847,1.240441438454809e-08
1848,3.057184372323718e-08
1849,2.3462361609105642e-08
1850,1.0862393651223101e-08
1851,5.159551008659946e-09
1852,2.0833745395520964e-08
1853,1.0152284346531815e-08
1854,1.9743524148907454e-08
1855,1.963566731433275e-08
1856,4.193523395201737e-08
1857,3.172980811427806e-08
1858,2.0064071293290908e-08
1859,2.4951649413296195e-08
1860,1.5562425570436744e-08
1861,2.5466203923407704e-08
1862,3.162590556105016e-08
1863,3.096664996649068e-08
1864,4.363202488200102e-08
1865,1.97687466396701e-08
1866,1.556996132023869e-08
1867,2.8631587767335986e-08
1868,1.6301584082611953e-08
1869,1.90457244420017e-08
1870,2.695003020747322e-08
1871,0.0
1872,2.2375155617204712e-08
1873,1.616221290134945e-08
1874,3.1665429389704514e-08
1875,1.602027621672164e-08
1876,1.269663085778916e-08
1877,1.608052180301911e-08
1878,1.2078177569208037e-08
1879,2.321543646210955e-08
1880,1.0910338632541539e-08
1881,6.972507571312292e-09
1882,1.3976308999019693e-08
1883,1.3902545781263598e-08
1884,8.582206056928499e-09
1885,1.4180398189012067e-08
1886,9.034849701716752e-09
1887,1.4363634337488662e-08
1888,3.1703073499755874e-09
1889,6.891650528029203e-09
1890,1.3108772733971819e-08
1891,9.561330394092238e-09
1892,1.002961980134387e-08
1893,6.158416554491453e-10
1894,3.780923574225881e-09
1895,3.0093072478365457e-09
1896,6.486732040400511e-09
1897,6.992056267307589e-09
1898,8.487532454637403e-09
1899,6.633094074004475e-09
1900,5.710158568206225e-09
1901,7.824234371511807e-09
1902,8.347482705062248e-09
1903,9.720396931811592e-09
1904,2.6873125946735854e-09
1905,5.160759042333041e-10
1906,2.0576738091193647e-09
1907,1.028568674676933e-09
1908,3.929111258571538e-09
1909,4.950885035270858e-09
1910,1.068830135508847e-09
1911,4.788336838146279e-09
1912,2.6047105583515417e-09
1913,8.484783542428431e-09
1914,3.348371857558874e-09
1915,1.1780761921542648e-09
1916,1.538244731591476e-08
1917,1.0966424435210342e-09
1918,0.0
1919,6.4454939163738345e-09
1920,6.057785384427916e-09
1921,4.543648568500203e-09
1922,1.4755870969551665e-09
1923,8.492758496458919e-09
1924,3.867487219366694e-09
1925,6.598906976407193e-09
1926,4.458455382660986e-09
1927,5.574612327308159e-09
1928,4.570416489713125e-09
1929,6.684243603061191e-09
1930,3.1510811737689437e-09
1931,5.7026783295555106e-09
1932,1.0959536389520963e-08
1933,9.176529758292418e-09
1934,4.7926320689839486e-09
1935,0.0
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
