year,un_DET arrière_NOUN,un_DET carrière_NOUN
1800,1.8550571079245515e-07,3.144164395507687e-08
1801,1.4525214209193393e-07,1.1905912700171939e-08
1802,2.0811913259422e-07,4.475680270843441e-09
1803,2.827991920639761e-07,0.0
1804,9.887404028852131e-08,4.943701892301533e-09
1805,1.9900143399809167e-07,0.0
1806,1.815451611264507e-07,8.645007376628655e-09
1807,3.3024679169102455e-07,2.8469551160981155e-09
1808,1.3823051858707913e-07,0.0
1809,2.1008983708270534e-07,0.0
1810,3.3229801132961256e-07,9.360507036149102e-09
1811,1.6546707115594472e-07,7.521229861140455e-09
1812,3.253994123042503e-07,0.0
1813,2.5594099395398473e-07,2.8757416448144113e-09
1814,2.706142288033675e-07,0.0
1815,4.2616133555384295e-07,0.0
1816,1.297858158721965e-07,0.0
1817,2.7400971058799684e-07,3.113746815941454e-09
1818,2.0027577574133204e-07,0.0
1819,5.196226950943128e-07,9.315945348475907e-09
1820,1.827438156354333e-07,8.306536791735653e-09
1821,1.498946191613726e-07,8.875339574387908e-09
1822,1.8346877084240987e-07,0.0
1823,2.964806200544956e-07,8.894418535021487e-09
1824,2.113699224537413e-07,0.0
1825,2.0164464431537965e-07,1.7610886082763955e-09
1826,2.1139162242889142e-07,0.0
1827,2.6637920313987706e-07,0.0
1828,2.320592216165096e-07,4.586150570418113e-09
1829,2.983465130501628e-07,1.714635211591542e-09
1830,2.8805666829612164e-07,0.0
1831,4.318763959787475e-07,0.0
1832,2.5571642314758947e-07,2.705993873419743e-09
1833,3.4055867104143545e-07,6.950177322551099e-09
1834,2.230952906856487e-07,0.0
1835,2.836157833030484e-07,1.5126175867408165e-09
1836,2.533722787134707e-07,1.3441500135158435e-09
1837,2.1221567592100143e-07,4.174734336004349e-09
1838,2.1019499474306258e-07,2.5248647617104325e-09
1839,2.712692453998855e-07,1.3982950353153e-09
1840,3.522437935776779e-07,2.5478754661634184e-09
1841,2.747994840568424e-07,1.2841097074556274e-09
1842,2.81076304009531e-07,2.683306021822318e-09
1843,2.8412243247011304e-07,2.3627644285539873e-09
1844,3.04615156210275e-07,5.488561272137815e-10
1845,2.4608805465620165e-07,3.348136878855712e-09
1846,2.646234718017837e-07,2.3418005312692003e-09
1847,2.4916692442644717e-07,9.707802561820245e-09
1848,2.2928881548978097e-07,4.82713291560799e-09
1849,2.9914511401329946e-07,0.0
1850,2.6680753695274007e-07,6.788996032014438e-10
1851,2.9215956787176367e-07,6.449438760824933e-10
1852,2.154990506042509e-07,4.557382027314816e-09
1853,2.860555450290292e-07,1.7915795513800958e-09
1854,2.603027962067017e-07,1.558699391779328e-09
1855,3.0567956343929836e-07,2.653468555990912e-09
1856,3.825942869184473e-07,0.0
1857,2.7824602932824405e-07,9.763018171682347e-10
1858,2.4125823250287226e-07,4.893676019968041e-10
1859,2.8668936913334164e-07,0.0
1860,2.9980553994946035e-07,4.577183909670879e-10
1861,2.5513364487750323e-07,5.659156698811785e-09
1862,2.512000354393251e-07,0.0
1863,2.6821113863206847e-07,4.495158911765884e-09
1864,2.9967050041435073e-07,0.0
1865,2.301646944147251e-07,3.294791106611683e-09
1866,1.9705732334784898e-07,1.9462451650298362e-09
1867,2.5914012091732275e-07,1.455843445796745e-09
1868,2.944164831930607e-07,4.93987406535723e-10
1869,2.651750854454349e-07,9.767038289254515e-10
1870,2.1674704342444784e-07,2.8670243956696595e-09
1871,2.0286448432216275e-07,3.18635318130589e-09
1872,3.053906245664706e-07,5.442605477412599e-09
1873,3.196526279225509e-07,2.9930022904522957e-09
1874,4.140404037400458e-07,2.3898436563030145e-09
1875,3.627448279530654e-07,3.432916173551348e-09
1876,3.1136977529655496e-07,1.209202959984168e-09
1877,2.6718403944858693e-07,4.9478527941460015e-09
1878,2.777980732115992e-07,2.4156354139215352e-09
1879,2.266559656627365e-07,1.832797580370027e-09
1880,2.4195280134975405e-07,8.343199908722454e-09
1881,2.3357900946763266e-07,2.7890030285249168e-09
1882,2.3160740170169447e-07,6.655385131892899e-10
1883,2.887937995410539e-07,1.895801682305631e-09
1884,3.1820180268482545e-07,3.300848483434038e-09
1885,2.0948316059588024e-07,3.86738152613475e-09
1886,3.142836861869114e-07,1.936039106809062e-09
1887,2.9510738541738135e-07,4.570247291724172e-09
1888,3.113241731078631e-07,5.706553229956057e-09
1889,3.2891967549630863e-07,0.0
1890,2.844603832485859e-07,1.3108772956016423e-09
1891,2.804656871191469e-07,5.0993759215245404e-09
1892,2.8960527731491936e-07,2.5074049503359674e-09
1893,2.740495412822952e-07,6.158416554491453e-10
1894,2.823089495507247e-07,1.8904617871129403e-09
1895,3.2079215195324196e-07,5.416753046105782e-09
1896,3.0546609952608605e-07,1.769108692872834e-09
1897,3.402800858864907e-07,6.992056267307589e-09
1898,2.919711152848947e-07,2.8291773368493978e-09
1899,2.2663071952422342e-07,1.6582735185011188e-09
1900,3.0419570595796586e-07,1.0382106507833555e-08
1901,3.23029095472549e-07,1.788396475355114e-08
1902,3.451929480036142e-07,3.928227076954727e-09
1903,3.1051265292347807e-07,2.6461079993822523e-08
1904,3.08503476098565e-07,2.364835172130597e-08
1905,2.9777580290435424e-07,1.806265648163219e-08
1906,3.076222387932148e-07,3.2408361660962726e-08
1907,2.545707582513046e-07,2.7771354105254886e-08
1908,3.329921809402947e-07,1.915441782962546e-08
1909,3.1465626282312087e-07,2.4204328319399337e-08
1910,3.1477048878514324e-07,3.5271392806457413e-08
1911,2.7187110873683196e-07,2.1281496453973148e-08
1912,2.8130874163423414e-07,1.3023552902780011e-08
1913,3.0492192060194157e-07,1.1136278676993072e-08
1914,3.4220358990921795e-07,1.9420556107707654e-08
1915,2.815602000438844e-07,2.3561523843085297e-09
1916,2.691928324694004e-07,8.789969418998567e-09
1917,3.564087975860275e-07,1.315970976634162e-08
1918,4.640495987473514e-07,1.8378201183111287e-08
1919,3.314825480771333e-07,2.301962098716359e-08
1920,3.157620707128217e-07,3.63467123065675e-08
1921,3.4683183081085645e-07,2.347551686376903e-08
1922,4.2423128654434095e-07,1.6969252392140532e-08
1923,4.1508358528119516e-07,1.1677542932631013e-08
1924,4.1253198101998123e-07,2.320492398233398e-08
1925,3.453427774857687e-07,8.798542339150117e-09
1926,3.6559333627117496e-07,2.452150482668003e-08
