year,mon_DET cadeau_NOUN
1800,1.8864987794131594e-08
1801,2.3811825844433088e-09
1802,0.0
1803,1.950339223455444e-09
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,1.8128591960930862e-08
1809,6.7770915546105925e-09
1810,0.0
1811,0.0
1812,5.067695596494559e-08
1813,5.751483289628823e-09
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,9.341240336802059e-09
1818,0.0
1819,1.5526575580793178e-08
1820,7.119888678630559e-09
1821,3.254291136567389e-08
1822,2.0051231786055723e-08
1823,1.9765373338032077e-08
1824,9.263223965660927e-09
1825,1.584979791857677e-08
1826,2.8185549894033102e-08
1827,8.295545583791863e-09
1828,1.1923991571904935e-08
1829,3.772197487705853e-08
1830,5.322786122974321e-08
1831,2.182768810143898e-08
1832,1.8941957335982806e-08
1833,4.865123992559006e-08
1834,7.094243326122296e-08
1835,2.7983425354705105e-08
1836,3.1587525484155776e-08
1837,2.4352617478129446e-08
1838,2.0830134062066463e-08
1839,1.3283802946517653e-08
1840,2.54787554387903e-08
1841,3.274479887238613e-08
1842,3.085801836277824e-08
1843,3.1306630177141415e-08
1844,1.2074834521147437e-08
1845,1.6182660544927785e-08
1846,2.4003455445509303e-08
1847,2.588747349818732e-08
1848,2.896279838182636e-08
1849,1.4245005619528683e-08
1850,2.7155984128057753e-08
1851,2.3862924081186065e-08
1852,2.148479971708639e-08
1853,2.6276499198729653e-08
1854,2.5978323159314698e-08
1855,1.8574279891936385e-08
1856,3.416944893697149e-08
1857,4.4421732958710436e-08
1858,3.034079110175725e-08
1859,3.0043822540903875e-08
1860,2.9293977465982834e-08
1861,3.6312922446768425e-08
1862,2.5752521892741242e-08
1863,4.045642887362533e-08
1864,6.520830309053594e-08
1865,2.918243491301098e-08
1866,2.7733994045764376e-08
1867,4.173417877950669e-08
1868,5.08807040944248e-08
1869,5.176530437633886e-08
1870,3.669791315275006e-08
1871,2.0180236592892697e-08
1872,2.3584624031514068e-08
1873,3.471882425998274e-08
1874,4.540702813748965e-08
1875,6.694186804878655e-08
1876,2.8416269781672554e-08
1877,7.050689987408987e-08
1878,3.62345322635349e-08
1879,4.276527654223372e-08
1880,3.2089231272180996e-08
1881,4.9504804311428785e-08
1882,3.7935693475432686e-08
1883,4.170763850952497e-08
1884,6.865764490271431e-08
1885,4.576401324563051e-08
1886,6.1307906529251e-08
1887,6.463635560116643e-08
1888,4.818866994327209e-08
1889,4.385595708811252e-08
1890,5.505684552709056e-08
1891,4.5894384292921586e-08
1892,4.826754418374435e-08
1893,3.0792081995301146e-08
1894,3.465846520889215e-08
1895,6.500103832962623e-08
1896,4.48174191092221e-08
1897,2.447219638046505e-08
1898,3.22526237939158e-08
1899,2.7637891975018647e-08
1900,2.5436159734049113e-08
1901,3.353243371861936e-08
1902,2.455141911994474e-08
1903,3.2401320737562855e-08
1904,3.3860140469244016e-08
1905,3.4577085195053314e-08
1906,3.137952542253686e-08
1907,3.857132568896304e-08
1908,4.8622752713001205e-08
1909,3.025540973311536e-08
1910,3.63402248293454e-08
1911,1.7557234666121246e-08
1912,3.0735585632157836e-08
1913,2.598465043135434e-08
1914,1.8081208197351373e-08
1915,1.767114232720246e-08
1916,1.7579939060041738e-08
1917,2.7416060532914344e-08
1918,1.72295644418341e-08
1919,3.9593746947730324e-08
1920,4.240449680281699e-08
1921,4.0892835007078077e-08
1922,3.467629627884605e-08
1923,3.715581797791856e-08
1924,3.0939898643111974e-08
1925,3.079489818702541e-08
1926,4.346994142423455e-08
1927,6.578042821558938e-08
1928,1.7139061725401916e-08
1929,5.1245868215588075e-08
1930,4.726621694040034e-08
1931,5.1324104077821175e-08
1932,2.520693342944469e-08
1933,1.9500125958415992e-08
1934,2.516131836216573e-08
1935,4.188899360713094e-08
1936,3.152425831487449e-08
1937,4.65871372590243e-08
1938,4.4081729155820426e-08
1939,3.058810182920979e-08
1940,5.5787225061720846e-08
1941,5.312704765003673e-08
1942,3.034211704111556e-08
1943,3.1935586841669306e-08
1944,3.213186161588055e-08
1945,8.931866801731303e-08
1946,4.454753455007676e-08
1947,5.4836008178682505e-08
1948,5.218506338167117e-08
1949,2.748762362170254e-08
1950,4.3604980959344175e-08
1951,4.477788762002888e-08
1952,4.8506098693223976e-08
1953,5.710128547775639e-08
1954,4.8862679680183874e-08
1955,4.035811507208109e-08
1956,4.6222050631428147e-08
1957,4.8592707635464194e-08
1958,4.6324564184629935e-08
1959,4.417926380284598e-08
1960,3.321999897387684e-08
1961,5.2806009120942576e-08
1962,5.898019284078515e-08
1963,5.237503142296873e-08
1964,5.840609684781839e-08
1965,4.1587528532005535e-08
1966,5.4836840845950974e-08
1967,1.0649524817551992e-07
1968,4.626158389697821e-08
1969,5.086768861684021e-08
1970,4.046878177010882e-08
1971,4.727325819686712e-08
1972,4.822337995591397e-08
1973,5.017015336505892e-08
1974,6.806942032255847e-08
1975,3.541117665761817e-08
1976,4.8564977372933527e-08
1977,4.231283101674421e-08
1978,5.1089084962541165e-08
1979,6.261611540381296e-08
1980,5.571447747598768e-08
1981,7.021360182157821e-08
1982,9.062953498784054e-08
1983,8.841442422635737e-08
1984,7.712681515670283e-08
1985,7.880381236446965e-08
1986,9.051673321991416e-08
1987,8.249602734267114e-08
1988,7.915451005757745e-08
1989,6.256459217368615e-08
1990,5.557624049856713e-08
1991,7.971592363986701e-08
1992,6.556833653803551e-08
1993,8.198026879568943e-08
1994,6.593658197218133e-08
1995,7.103410837316915e-08
1996,8.007138507792888e-08
1997,1.1699542579179933e-07
1998,6.198567925608245e-08
1999,5.986963369508658e-08
2000,8.261718598134848e-08
2001,6.308944877631006e-08
2002,9.156753222328007e-08
2003,1.1084014683859778e-07
2004,1.0307211262272631e-07
2005,1.3150948952045383e-07
2006,1.3918468155793562e-07
2007,1.7256151174649403e-07
2008,1.6859461737794845e-07
2009,2.1170774999745845e-07
2010,2.43275346534233e-07
2011,2.94063447370263e-07
2012,3.918294737559336e-07
2013,4.261783210779413e-07
2014,4.7098433242354076e-07
2015,4.3068060762152527e-07
2016,4.782724225549373e-07
2017,5.574594439394787e-07
2018,6.244567813951107e-07
2019,5.635131756775991e-07
