year,en_ADP anneau_NOUN,en_ADP canot_NOUN
1800,2.7668647817336023e-07,2.2952400513531757e-07
1801,2.643112679834303e-07,7.857902772911984e-08
1802,2.6854081625060644e-07,2.2378401354217203e-07
1803,2.7304750460643845e-07,9.751695984050457e-08
1804,2.817910171870608e-07,3.21340621667332e-07
1805,6.623905051128531e-07,2.842877755426798e-08
1806,1.7290014397985942e-07,3.1698359492793315e-08
1807,1.4234775846944103e-07,1.6227643584443285e-07
1808,6.345007363961486e-08,2.22075257738652e-07
1809,1.4909601020463015e-07,2.2364402241237258e-07
1810,1.4040760731859336e-07,1.591286178381779e-07
1811,2.0307321335621964e-07,1.1031137603367824e-07
1812,1.3336041604361526e-07,4.800974906515876e-08
1813,1.322841143291953e-07,1.9267469042461016e-07
1814,1.321604372606089e-07,5.349351184236184e-08
1815,5.556280484597664e-07,2.0768621311617608e-07
1816,3.5691098787538067e-07,1.1356259221884102e-07
1817,3.3161404644488357e-07,4.203558034987509e-08
1818,1.0609847578280096e-07,7.987188865854478e-08
1819,1.9977527188075328e-07,1.0765091928988113e-07
1820,1.1273156985680544e-07,1.7443727529098396e-07
1821,1.0453177878844144e-07,1.8835442006093217e-07
1822,1.7945852448519872e-07,2.095353721642823e-07
1823,2.3026660755931516e-07,1.7492355652848346e-07
1824,1.4905369027928828e-07,9.179012749882531e-08
1825,1.171123926724249e-07,1.1094858365368054e-07
1826,1.0041102171953753e-07,1.559013185215008e-07
1827,1.9909309401100472e-07,1.2074627875335864e-07
1828,2.953480873202352e-07,1.449223532290489e-07
1829,1.1916714726112332e-07,9.344761764396026e-08
1830,2.233482803148945e-07,1.231546633562175e-07
1831,9.978371906527173e-08,1.855353559676587e-07
1832,2.2053849590975005e-07,1.2582871988797706e-07
1833,1.957633202209763e-07,2.4325620984200214e-07
1834,1.157481861469023e-07,1.7922299377914896e-07
1835,1.936150511028245e-07,1.9134611761728593e-07
1836,1.317267077638462e-07,8.602560086501398e-08
1837,1.871672594688789e-07,1.029767844329399e-07
1838,1.590664737705083e-07,7.953323688525415e-08
1839,1.370329130168102e-07,1.3353717065456294e-07
1840,1.1975014047038712e-07,1.0637380398748064e-07
1841,2.1765659141692595e-07,1.0529699778771828e-07
1842,1.1873628835701311e-07,1.1538215716200284e-07
1843,9.628264763250627e-08,8.505952125981153e-08
1844,1.5367972139301855e-07,6.586273570974299e-08
1845,1.1383664855202369e-07,9.374782905524626e-08
1846,1.6158423932211008e-07,1.1065007754496037e-07
1847,1.1217905182547838e-07,9.977463832910871e-08
1848,1.3757329497821047e-07,1.5849086310026905e-07
1849,1.240153437720437e-07,1.0055298105271504e-07
1850,1.1880742789571741e-07,7.400005586077896e-08
1851,8.384270699934859e-08,1.3737304982441856e-07
1852,1.790400006029813e-07,1.3932567810570617e-07
1853,1.2421618578173366e-07,1.092863504137398e-07
1854,8.676759932768618e-08,1.2209811472985166e-07
1855,1.2736649068756378e-07,1.395724424924083e-07
1856,9.06008139622827e-08,1.5790427071449287e-07
1857,1.4302821682576905e-07,1.0495244850972085e-07
1858,1.6149131454312737e-07,1.8155537873099092e-07
1859,1.0235268632641237e-07,2.4493354544574686e-07
1860,1.3640007523463282e-07,1.5562426014525954e-07
1861,9.90352404528494e-08,1.942976992630463e-07
1862,1.1340145533722534e-07,1.9472520312868724e-07
1863,8.341017121438199e-08,1.7181496048124245e-07
1864,1.0212770717998865e-07,1.80761247747796e-07
1865,9.743168050135864e-08,1.8262555556702864e-07
1866,1.0850316556343387e-07,2.1068103706056718e-07
1867,1.674220015956962e-07,1.7421593589972417e-07
1868,1.5560603117137362e-07,1.6252185086607085e-07
1869,1.8557372527538973e-07,2.368506786254443e-07
1870,2.0527895117083972e-07,1.8176935157043772e-07
1871,2.1242354364403582e-07,2.1029930508120742e-07
1872,1.445314126158337e-07,1.3485566041637753e-07
1873,1.1373408170811672e-07,1.3468509507674753e-07
