year,bon_ADJ an_NOUN,bon_ADJ camp_NOUN
1800,1.3834323553396644e-07,6.288328968651058e-09
1801,1.166779455274991e-07,7.381665767525192e-08
1802,8.056224487518193e-08,1.3427040812530322e-08
1803,3.120542824142092e-08,2.730474935042082e-08
1804,6.673997243744623e-08,7.415552971679062e-08
1805,5.685755466444675e-08,1.421438877713399e-08
1806,1.0662176119780042e-07,2.305335300434308e-08
1807,3.9857372513552036e-08,2.562259560079383e-08
1808,3.852325791697808e-08,1.8128591960930862e-08
1809,3.6144488291256494e-08,2.936739762482432e-08
1810,3.510190227373755e-08,2.3401267590372754e-09
1811,2.507076715119183e-07,4.262030373070047e-08
1812,2.400487453257938e-08,1.8670457180292033e-08
1813,5.1763349162570194e-08,2.8757416448144113e-09
1814,1.0069366851439554e-07,9.440030979135372e-09
1815,3.5063905334808965e-08,2.697223555614414e-09
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,3.425121486433369e-08,3.113746815941454e-09
1818,5.364529798157491e-08,1.3113295338484932e-08
1819,1.8631889808773394e-08,5.175524897538253e-09
1820,1.1629151686065597e-07,1.542642635854463e-08
1821,7.49473095806863e-08,1.676452932031225e-08
1822,5.6143449000956025e-08,3.208197085768916e-08
1823,1.126626291148014e-07,7.115534828017189e-08
1824,2.0210670470532932e-08,1.6000115010683658e-08
1825,4.6668849229547504e-08,2.3774695989686734e-08
1826,4.84439142134363e-08,2.3781558056157337e-08
1827,3.871254605769536e-08,1.1982455028203276e-08
1828,2.9351363395324626e-08,7.246117661452445e-08
1829,5.915491474439705e-08,8.57317605795771e-10
1830,8.140731755368336e-08,3.1310507520032616e-09
1831,8.57516342378517e-08,1.5591206103948707e-09
1832,1.4612366427968482e-07,2.705993873419743e-09
1833,9.614411311531512e-08,0.0
1834,6.720862266718086e-08,9.334531370086552e-09
1835,1.3916081798015512e-07,3.025235173481633e-09
1836,1.0753200463398116e-07,6.72075017860152e-09
1837,1.2385046099794295e-07,9.045257876039159e-09
1838,1.1425013313193233e-07,1.0730675015224733e-08
1839,9.857980054484017e-08,2.6567605004856887e-08
1840,9.681926937954444e-08,2.1019973317493168e-08
1841,1.4061001163412357e-07,8.346713542550788e-09
1842,1.2007794580881637e-07,8.049918065466954e-09
1843,1.1754752771153676e-07,3.5441467538532834e-09
