year,en_ADP ouverture_NOUN,en_ADP couvertures_NOUN
1800,1.2576657937302116e-08,2.829747991484055e-08
1801,1.1905912700171939e-08,1.1905912700171939e-08
1802,1.3427040812530322e-08,2.0140561218795483e-08
1803,1.5602713787643552e-08,6.436119370789584e-08
1804,8.898663139689234e-08,3.954961580454608e-08
1805,1.9900143755080535e-08,2.2743021244053807e-08
1806,0.0,2.5935023018064385e-08
1807,1.9928686256776018e-08,1.1387820464392462e-08
1808,2.1074488643080258e-07,4.985362878073829e-08
1809,2.25903047379461e-08,5.421673421324158e-08
1810,3.510190182964834e-08,2.3401266702194334e-08
1811,2.5070767684098882e-09,2.757784400841956e-08
1812,8.00162425207418e-09,2.6672082320544632e-09
1813,1.4378707646756084e-07,5.751483289628823e-09
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,4.6352077731626196e-09,3.476405652236281e-08
1817,1.5568733857662664e-08,1.71256075987003e-08
1818,4.768470951432846e-09,7.152706427149269e-09
1819,6.417651121637391e-08,9.315945348475907e-09
1820,8.306536791735653e-09,3.559944161679596e-08
1821,1.2819934447350079e-08,3.254291058851777e-08
1822,6.817418807258946e-08,1.4035862250239006e-08
1823,3.9530747564242574e-09,6.423746479189418e-08
1824,1.2631669044083083e-08,1.2631669044083083e-08
1825,3.522177216552791e-09,4.4027217427355936e-09
1826,1.3211976401805714e-08,1.6735169694470642e-08
1827,1.769716391208931e-07,2.027800150017356e-08
1828,5.6868266540277546e-08,1.6510142586412258e-08
1829,2.4004892296147773e-08,6.858540846366168e-09
1830,5.218418053232199e-08,1.6698937344017395e-08
1831,2.8064171431196883e-08,3.1182412207897414e-09
1832,4.058990921151917e-09,1.758896062131754e-08
1833,1.9692167896323554e-08,3.1275796175123105e-08
1834,7.467624740797874e-09,2.240287422239362e-08
1835,8.31939672707449e-09,2.2689263801112247e-08
1836,1.008112526790228e-08,1.008112526790228e-08
1837,2.7831563720326358e-09,1.87863058442872e-08
1838,2.0830134062066463e-08,1.2624323808552163e-08
1839,9.088918062616358e-09,2.0974425751774106e-08
1840,2.0383003729307347e-08,1.1465439264668476e-08
1841,1.2841097074556274e-08,2.760835826620678e-08
1842,3.3541325272778977e-09,9.391571076378114e-09
1843,8.269675610961258e-09,7.678984226267005e-09
1844,2.305195678786731e-08,1.811225303072206e-08
1845,1.562463758375543e-08,1.2276501593078137e-08
1846,1.9905304071698993e-08,3.2785209214125643e-08
1847,2.480882876909618e-08,1.5640348571821505e-08
1848,2.574470947536156e-08,1.448139919091318e-08
1849,4.524883934209356e-08,2.4300303991253713e-08
1850,2.3761487000228954e-08,1.6293590476834652e-08
1851,2.5152811389261842e-08,1.3543821175687754e-08
1852,4.036538214791108e-08,2.018269107395554e-08
1853,1.1346670270029335e-08,3.1651239851271384e-08
1854,2.0782657372819813e-08,1.2469595134234623e-08
1855,1.9104973603134567e-08,1.963566731433275e-08
