year,bien_ADV ôté_VERB,bien_ADV coté_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.8574191901498125e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,7.801356893821776e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,7.784366928831332e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,0.0
1821,3.94459531705138e-09,4.930744257336528e-09
1822,2.3058916553964082e-08,0.0
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-09,0.0
1825,2.8177417732422327e-08,0.0
1826,2.642395191543301e-09,0.0
1827,1.013900075008678e-08,6.452091305675367e-09
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,6.236482441579483e-09,0.0
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,2.3167257001688313e-09,0.0
1834,3.733812370398937e-09,0.0
1835,6.050470346963266e-09,0.0
1836,8.736974699274924e-09,1.3441500135158435e-09
1837,1.3219993100221927e-08,0.0
1838,2.5248647617104325e-09,0.0
1839,6.9914751765765e-10,0.0
1840,3.1848443882154243e-09,0.0
1841,1.2841097074556274e-09,0.0
1842,2.683306021822318e-09,0.0
1843,3.5441467538532834e-09,5.906911071384968e-10
1844,1.097712254427563e-09,1.3721403568922597e-08
1845,3.348136878855712e-09,6.696273757711424e-09
1846,5.854501328173001e-09,5.854501328173001e-10
1847,4.853901280910122e-09,0.0
1848,2.413566457803995e-09,8.045221711050488e-10
1849,0.0,0.0
1850,2.7155984128057753e-09,1.1541293254424545e-08
1851,6.449438760824933e-09,2.579775504329973e-09
1852,5.859490670445666e-09,5.208436348880241e-09
1853,8.360704129017904e-09,0.0
1854,3.117398783558656e-09,1.558699391779328e-09
1855,5.306937111981824e-09,1.0613874223963649e-09
1856,6.73034605824796e-09,5.177189232874468e-10
1857,7.322263684272912e-09,5.369659827891837e-09
1858,7.34051397444091e-09,1.468102750479261e-09
1859,1.018434669930457e-09,2.036869339860914e-09
1860,1.373155145145688e-09,5.950338888283113e-09
1861,3.772770984511453e-09,5.659156698811785e-09
1862,6.325180823552046e-09,4.517986262886353e-10
1863,3.995696662428827e-09,3.496234635136375e-09
1864,4.794728170054441e-09,5.274200631788517e-09
1865,1.882737743486018e-09,3.294791106611683e-09
1866,6.811858188626729e-09,5.838735717134114e-09
1867,8.73506067478047e-09,7.279217228983725e-09
1868,4.93987406535723e-10,9.87974813071446e-10
1869,2.441759683335931e-09,3.4184632902167778e-09
1870,1.7202146374017957e-09,2.2936195165357276e-09
1871,0.0,0.0
1872,1.8142017887967654e-09,7.256807155187062e-09
1873,2.9930022904522957e-09,4.190203295451056e-09
1874,8.961913877669758e-09,4.779687312606029e-09
1875,3.432916173551348e-09,2.8607636259891933e-09
1876,0.0,2.418405919968336e-09
1877,4.329371083855449e-09,1.2369631985365004e-09
1878,0.0,1.0870359723469392e-08
1879,0.0,3.665595160740054e-09
1880,4.492492600149944e-09,4.492492600149944e-09
1881,0.0,4.183504653809678e-09
1882,3.3276925659464496e-09,7.986462158271479e-09
1883,0.0,1.8326083761621703e-08
1884,1.9805090900604227e-09,4.621187876807653e-09
1885,1.933690763067375e-09,6.445635580831777e-09
1886,4.5174246565693466e-09,7.744156427236248e-09
1887,1.9586774424595887e-09,7.834709769838355e-09
1888,3.1703073499755874e-09,4.4384300679212174e-09
1889,0.0,1.3156786771162388e-08
1890,6.554386478008212e-10,8.520702365899524e-09
1891,1.2748440081367107e-09,9.561330394092238e-09
1892,0.0,4.387958663087943e-09
1893,1.847525021858587e-09,8.621783342821487e-09
1894,3.780923574225881e-09,1.6384001710889606e-08
1895,0.0,9.027921521465032e-09
1896,0.0,9.435246361988447e-09
1897,1.1653427112179315e-09,1.1070755867592652e-08
1898,0.0,3.960848538042683e-09
1899,1.1055156790007459e-09,8.291367592505594e-09
1900,2.595526460424935e-09,8.824790675987515e-09
1901,1.1177477832191585e-09,5.029864968975062e-09
1902,6.38336894454028e-09,8.347482705062248e-09
1903,5.400220270956879e-10,1.9440793863623185e-08
1904,5.374625189347171e-10,8.599400302955473e-09
1905,0.0,8.257214467732865e-09
1906,5.144184522798412e-10,9.259531807970234e-09
1907,0.0,3.0857059130084963e-09
1908,4.911389073214423e-10,7.367083387777029e-09
1909,0.0,8.251475058784763e-09
1910,2.67207544979442e-09,1.068830179917768e-08
1911,5.320374141248863e-10,1.3832972989291648e-08
1912,1.0418842455450772e-09,1.3544495303108306e-08
1913,0.0,1.0075680734189518e-08
1914,1.3393487430235496e-09,1.5402511266415786e-08
1915,1.1780761921542648e-09,2.709575319670421e-08
1916,0.0,9.888715624128963e-09
1917,0.0,1.315970976634162e-08
1918,0.0,8.040463406189247e-09
1919,1.1049418269237776e-08,2.6702760891339494e-08
1920,0.0,1.817335526510533e-08
1921,4.543648568500203e-09,7.572747762196741e-09
1922,7.377935484775833e-10,9.591316185719734e-09
1923,1.0615948120573648e-09,8.492758496458919e-09
1924,0.0,9.02413699321869e-09
