year,un_DET an_NOUN,un_DET camp_NOUN
1800,2.065401696427216e-05,2.9680913726792824e-06
1801,1.8870872679599415e-05,4.45043042418547e-06
1802,2.064631223674951e-05,3.956501387847311e-06
1803,1.965746980658878e-05,3.4228453245077617e-06
1804,2.160644874038553e-05,3.129363314258171e-06
1805,1.9544784152003558e-05,3.923171206565712e-06
1806,2.088921922904774e-05,4.074680290955257e-06
1807,2.2809804022472235e-05,3.248375737285869e-06
1808,2.2792173126617854e-05,3.829665011778616e-06
1809,2.104286875237449e-05,4.7484822545129646e-06
1810,2.2191421578554582e-05,3.3042589535625666e-06
1811,2.3202996260351938e-05,3.825799183232448e-06
1812,1.9139885921504174e-05,3.0886271957797362e-06
1813,2.1648583356181916e-05,3.3358602919975056e-06
1814,1.9182143887519487e-05,3.7760126687658158e-06
1815,1.9614209008977923e-05,3.0235877019890722e-06
1816,1.8413362852243154e-05,2.915545785242557e-06
1817,1.8037934694348223e-05,3.369074164538688e-06
1818,2.2023183362307464e-05,3.3045503826656386e-06
1819,2.257356914014963e-05,3.3009497393265974e-06
1820,2.1815338527630956e-05,4.072576274438688e-06
1821,2.1181491547395126e-05,3.761171669225405e-06
1822,1.979156860443254e-05,3.656342116187261e-06
1823,2.0159692155630182e-05,4.170494030120153e-06
1824,1.9963090494456992e-05,3.509919693556185e-06
1825,2.186831864037231e-05,3.3716042295850457e-06
1826,2.178390661811136e-05,3.689664566763895e-06
1827,2.2704908076320862e-05,3.084099482464353e-06
1828,2.097338466455767e-05,3.482722753744838e-06
1829,2.0859394453509594e-05,3.362399574768915e-06
1830,2.163869237392646e-05,3.252118062846421e-06
1831,2.1741936109265225e-05,3.4487747484490683e-06
1832,2.361114900395478e-05,2.9008254216478235e-06
1833,2.2751404912924045e-05,2.7406864830936684e-06
1834,2.3242048655447434e-05,3.389368210093835e-06
1835,2.2531194360908557e-05,4.118857489743277e-06
1836,2.33613275213429e-05,3.498150313419046e-06
1837,2.430878402037706e-05,3.0712130936194626e-06
1838,2.4272787300105847e-05,3.808758563650372e-06
1839,2.1895203417443554e-05,2.9678811586109077e-06
1840,2.3132797764446877e-05,3.824998017876169e-06
1841,2.3125531356527063e-05,2.85586000359217e-06
1842,2.389282769854617e-05,3.413836068943965e-06
1843,2.350182637655962e-05,2.6173522726935516e-06
1844,2.482750744547957e-05,3.24538635254612e-06
1845,2.3381713617709465e-05,2.7404499931549253e-06
1846,2.4084248366307293e-05,2.934276004395997e-06
1847,2.4692335387044295e-05,3.851301016766229e-06
1848,2.4372999632760184e-05,3.2414197335128847e-06
1849,2.701523294490471e-05,2.323611695942418e-06
1850,2.3052035430737305e-05,3.378883327798121e-06
1851,2.4945139216470125e-05,3.0899261247441245e-06
1852,2.4500484073541884e-05,2.076213036161789e-06
1853,2.3782621269674564e-05,2.4078829738982677e-06
1854,2.3131617240323976e-05,2.923080778316489e-06
1855,2.4107293256747653e-05,2.74474784589529e-06
1856,2.357847222356213e-05,2.9587635452799077e-06
1857,2.367824788507278e-05,2.913284568251129e-06
1858,2.352292119667254e-05,2.6303508136038545e-06
