year,non_ADV ouverte_ADJ,non_ADV couverte_ADJ
1800,3.144164395507687e-08,4.087413785214267e-08
1801,4.0480102825313224e-08,1.6668277424969347e-08
1802,4.0281122437590966e-08,2.2378401354217203e-08
1803,3.705644502360883e-08,2.145373123596528e-08
1804,2.1010733064485976e-07,1.4831105232815389e-08
1805,8.812921237222326e-08,1.0802935435094696e-07
1806,2.7664023605211696e-07,0.0
1807,1.5942949005420815e-07,0.0
1808,1.5862518409903714e-07,4.5321479902327155e-09
1809,5.421673421324158e-08,5.1957702140725814e-08
1810,7.254392642153107e-08,1.1700633351097167e-08
1811,6.518399686683551e-08,1.504245972228091e-08
1812,1.0668833283489221e-07,5.067695596494559e-08
1813,2.300593315851529e-08,3.4508900625951355e-08
1814,2.2026739543434815e-08,3.4613449884091096e-08
1815,6.203614333344376e-08,3.506390555685357e-08
1816,1.3905623319487859e-08,1.8540831092650478e-08
1817,2.9580593974287694e-08,7.784366928831332e-09
1818,2.8610825708597076e-08,1.1921177378582115e-09
1819,2.4842520929269085e-08,1.1386155129855524e-08
1820,7.119888678630559e-09,9.493184904840746e-09
1821,3.550135829755163e-08,2.1695274909916407e-08
1822,1.804610860745015e-08,3.8097340393505874e-08
1823,1.8974759541379171e-07,1.4824030003524058e-08
1824,4.7158231097910175e-08,1.1789557774477544e-08
1825,2.993850500843109e-08,8.805443485471187e-09
1826,1.1626539020426208e-07,6.1655889282974385e-09
1827,6.820781806027298e-08,2.3964910056406552e-08
1828,9.264024214417077e-08,3.210305266065916e-08
1829,7.458663020543099e-08,4.2865881511033876e-08
1830,4.696576283436116e-08,2.0873670791843324e-08
1831,7.016042502527853e-08,1.5591206548037917e-08
1832,7.982681893281551e-08,5.0060886991332154e-08
1833,4.6334513115198206e-08,3.243415847009601e-08
1834,5.3206825612051034e-08,1.4001796166951408e-08
1835,5.974839467626225e-08,4.159698363537245e-08
1836,7.19120265557649e-08,1.2097349788575684e-08
1837,3.339787468803479e-08,1.461157062010443e-08
1838,9.846972659488529e-08,2.2723781967215473e-08
1839,4.47454411300896e-08,2.6567605004856887e-08
1840,5.6690229399691816e-08,4.58617570586739e-08
1841,7.897274656443187e-08,3.0818632978935057e-08
1842,7.71450459069456e-08,6.708265054555795e-09
1843,5.6706348061652534e-08,8.269675610961258e-09
1844,6.366730787021879e-08,1.811225303072206e-08
1845,7.254296008341043e-08,2.7343116215661212e-08
1846,7.259581735752363e-08,1.5807152919933287e-08
1847,6.579733025091627e-08,3.235934187273415e-08
1848,6.194820656446609e-08,3.137636639394259e-08
1849,9.803915190786938e-08,1.3407063903514427e-08
1850,9.300924830313306e-08,2.5798184921654865e-08
1851,3.998652076120379e-08,1.6123596680017727e-08
1852,1.2760669676481484e-07,1.6927417689771573e-08
1853,8.898178549543445e-08,1.1346670270029335e-08
1854,5.143707682009335e-08,2.338048954442229e-08
1855,5.7845614520601885e-08,1.0083180512765466e-08
1856,6.678573782892272e-08,1.863788057221427e-08
1857,6.345961622855611e-08,1.8061584228235006e-08
1858,5.4809170535463636e-08,2.8872689128434104e-08
1859,6.823512421760825e-08,2.9025388315062628e-08
1860,5.446849016266242e-08,2.7920821210614122e-08
1861,2.1221836732365773e-08,1.0846716413936974e-08
1862,6.00892207103243e-08,1.536115412648087e-08
1863,2.1476870060155306e-08,2.2975255475898848e-08
1864,2.0617330065419992e-08,3.7398876884253696e-08
1865,4.706844336510585e-08,2.541695881541628e-08
1866,7.103794530394225e-08,4.281739285350028e-08
1867,6.066014179850754e-08,4.4160586298858107e-08
1868,6.224241388963492e-08,3.507310708528166e-08
1869,4.981189505315342e-08,2.3440891339099323e-08
1870,2.6376625328339287e-08,2.5803219561026935e-08
1871,5.2043770182308435e-08,2.1242353653860846e-08
1872,2.4189358072135292e-08,3.265563108811875e-08
1873,6.165584665041024e-08,2.993002112816612e-08
1874,3.644511537004291e-08,2.2703515512034755e-08
1875,5.435450844970546e-08,1.6020275495076675e-08
1876,4.17175023414984e-08,1.51150369998021e-08
1877,3.587193120324628e-08,6.432208721207644e-08
1878,6.582606459915041e-08,5.978697881214856e-08
1879,5.070739916845923e-08,2.4437300960578057e-08
1880,3.658172431642015e-08,5.583526174746112e-08
1881,5.020205406935929e-08,2.5798277791810875e-08
1882,4.1263387373646765e-08,2.6621540305526992e-08
1883,2.9700892412165558e-08,2.8437025179073316e-08
1884,3.9610181801208455e-08,3.9610180024851616e-08
1885,2.6427105837001363e-08,3.4161868001092444e-08
1886,2.9040586824180536e-08,2.0005737511041843e-08
1887,8.944626728180083e-08,2.7421482973188915e-08
1888,2.2192152115962926e-08,2.599652049184442e-08
1889,4.322944491264025e-08,2.7566601445982997e-08
1890,7.537544632896243e-08,5.046877760150892e-08
1891,6.565446852846435e-08,4.716922674674606e-08
1892,5.955086734843462e-08,4.2625885043889866e-08
1893,6.712674149866871e-08,3.2023766971533973e-08
1894,4.852185142567578e-08,2.9617235108858608e-08
1895,4.213030280197927e-08,1.8657704492497373e-08
1896,5.248355705589347e-08,2.0049899296381568e-08
1897,4.661370667236042e-08,3.146425486821869e-08
1898,5.828105642535775e-08,3.168678852638607e-08
1899,6.135611840818456e-08,4.256235186517188e-08
1900,5.191053276121238e-08,3.010810800674335e-08
1901,4.191554126009578e-08,5.9240634175949936e-08
1902,4.812078202576231e-08,3.83002145554201e-08
1903,6.966283905285309e-08,7.074288799202577e-08
1904,5.697102523072317e-08,5.374625011711487e-08
1905,6.450948575320581e-08,3.664138925607574e-08
1906,8.539346652014501e-08,5.555719384542357e-08
1907,4.782844342798853e-08,5.6056991937225575e-08
1908,4.174680867663483e-08,2.45569446999383e-08
1909,4.565816524859656e-08,3.190570596611764e-08
1910,2.5651923252212327e-08,4.489086413705934e-08
1911,6.118430206925041e-08,6.331245128166074e-08
1912,5.261515312326992e-08,6.668058882830508e-08
1913,5.88631863251976e-08,4.136332087956163e-08
1914,5.49132970206756e-08,4.486818294680006e-08
1915,3.180805663305364e-08,4.2410743361642744e-08
1916,4.8344833913915863e-08,5.493731114469824e-08
1917,7.128176093829097e-08,3.2899274082787144e-08
1918,5.168869421368072e-08,4.020231880730307e-08
1919,4.327688785110695e-08,5.800944435918609e-08
1920,2.8774479687854182e-08,3.407504367558545e-08
1921,7.875657104250422e-08,4.240738527006016e-08
