year,son_DET or_NOUN,son_DET cor_NOUN
1800,1.25452167765161e-06,7.860410988769218e-08
1801,1.0381955606320048e-06,2.3811825400343878e-08
1802,9.95838888684375e-07,4.0281122437590966e-08
1803,1.0044246694373982e-06,8.386458993925316e-08
1804,1.2977217114240602e-06,9.887404028852131e-08
1805,9.950072372699736e-07,1.1655798370924231e-07
1806,7.578790048867745e-07,7.780506550147948e-08
1807,9.394952158459091e-07,6.263301344233696e-08
1808,1.0741191260876803e-06,5.6651849433819734e-08
1809,9.82678247218871e-07,8.810219243038375e-08
1810,9.407309633502337e-07,9.126494093791848e-08
1811,1.0178731670862362e-06,9.025476188639914e-08
1812,6.107906798114016e-07,2.0804223765935603e-07
1813,8.655982277616658e-07,1.00650957790549e-07
1814,9.471498465529749e-07,1.3216044347785783e-07
1815,1.1220449911419905e-06,1.0788894400093341e-07
1816,1.0614625640670283e-06,4.4034472068688046e-08
1817,9.761595762824982e-07,1.7436981814000774e-07
1818,8.750144031566265e-07,6.675859487437208e-08
1819,1.1613878356797613e-06,8.69488232524418e-08
1820,1.301752971194503e-06,1.6613073583471305e-07
1821,8.924646834884697e-07,7.297501580794119e-08
1822,8.431543250253526e-07,1.8647645561031823e-07
1823,9.872803836685762e-07,1.759118291033701e-07
1824,1.142745000848322e-06,9.768490993877776e-08
1825,1.0997997854644836e-06,1.3824545974649993e-07
1826,1.026130223347188e-06,9.776862341936976e-08
1827,6.885303113213226e-07,7.926855083439932e-08
1828,7.989074619629832e-07,9.539193490670783e-08
1829,9.207591245008473e-07,1.0116347548549953e-07
1830,7.723258761416218e-07,1.1480519646056564e-07
1831,6.89131281594868e-07,1.4343909526814969e-07
1832,8.104451931778556e-07,1.5018266630306698e-07
1833,1.0911778209887757e-06,1.3668681742018407e-07
1834,9.455880087827495e-07,1.6615465270319874e-07
1835,8.417716941266917e-07,1.4218605315363675e-07
1836,8.078341666717392e-07,2.762228366037789e-07
1837,9.170500074873189e-07,2.0038726056270662e-07
1838,9.076888827230789e-07,1.6537864677701464e-07
1839,7.858418245021426e-07,2.5798542502286637e-07
1840,8.917564064958583e-07,1.2484589140271396e-07
1841,8.539329705570253e-07,6.292137655350416e-08
1842,1.0042272644561479e-06,2.1734778776760777e-07
1843,9.297478165137818e-07,1.340868798216377e-07
1844,9.270180119091975e-07,1.3227432527074257e-07
1845,8.05226888278554e-07,2.081425055644459e-07
1846,8.418772874385638e-07,1.3055538516937304e-07
1847,8.612977966393487e-07,9.06061563554772e-08
1848,8.302668921267298e-07,1.25505458470343e-07
1849,8.320759299351721e-07,6.954914044676741e-08
1850,8.106061244461671e-07,1.4189001706910176e-07
1851,8.010203007557948e-07,1.2253933423522767e-07
