year,bien_ADV ouverte_ADJ,bien_ADV couverte_ADJ
1800,3.144164395507687e-08,3.772997558826319e-08
1801,8.810375362600098e-08,1.1191558257905854e-07
1802,1.1189200677108602e-08,8.056224487518193e-08
1803,7.80135707145746e-08,5.070882025393075e-08
1804,7.415552971679062e-08,3.460591457837836e-08
1805,8.24434565060983e-08,8.24434565060983e-08
1806,9.797675204481493e-08,8.35684019762084e-08
1807,1.1387820464392462e-08,2.8469550272802735e-08
1808,2.039466551195801e-08,1.0877155176558517e-07
1809,3.840352036377226e-08,7.90660692473466e-08
1810,4.914266327205041e-08,2.106114038724627e-08
1811,1.0279014617253779e-07,8.524060746140094e-08
1812,8.801787032552966e-08,3.7340914360584065e-08
1813,1.1502966579257645e-08,1.7254450312975678e-08
1814,3.4613449884091096e-08,7.552024783308298e-08
1815,2.6972236000233352e-08,1.6183340889597275e-08
1816,3.9399267848239106e-08,3.0128852301913867e-08
1817,4.0478710161551135e-08,8.407116069975018e-08
1818,1.7881765401739358e-08,3.9339884239097955e-08
1819,3.519356894798875e-08,2.5877625375869684e-08
1820,2.966620371580575e-08,4.50926265216367e-08
1821,3.94459531705138e-09,6.903041693817613e-09
1822,3.909990198280866e-08,2.4061478143266868e-08
1823,2.7671523739059012e-08,1.9765373338032077e-08
1824,6.231623217445303e-08,5.136878655775945e-08
1825,3.3460683113162304e-08,7.924898426381333e-08
1826,2.8185549894033102e-08,5.19671061738336e-08
1827,1.566936447261469e-08,3.96342727526644e-08
1828,3.3020285172824515e-08,6.420610532131832e-08
1829,1.971830521085849e-08,4.8009784592295546e-08
1830,1.3567886369969528e-08,5.322786122974321e-08
1831,1.870944643656003e-08,5.76874619184764e-08
1832,1.8941957335982806e-08,3.5177919244233635e-08
1833,3.59092489077284e-08,4.2859426230279496e-08
1834,1.7735608537350345e-08,3.267085801894609e-08
1835,2.949604294144592e-08,3.857174846189082e-08
1836,2.2850549896702432e-08,4.368487438455304e-08
1837,2.2265250976261086e-08,4.800944708449606e-08
1838,2.0830134062066463e-08,3.5348108440302894e-08
1839,5.942753844578874e-08,3.216078425793967e-08
1840,2.1019973317493168e-08,3.3122379505812205e-08
1841,1.8619591202195807e-08,3.659712533021775e-08
1842,3.085801836277824e-08,4.695785449371215e-08
1843,2.1855571574747046e-08,3.36693943836508e-08
1844,1.975882035765153e-08,5.762989374602512e-08
1845,3.236532108985557e-08,3.459741293454499e-08
1846,9.367202125076801e-09,3.922516000898213e-08
1847,1.77976389181822e-08,2.588747349818732e-08
1848,9.65426583121598e-09,1.045878850192139e-08
1849,6.703531951757213e-09,2.513824526317876e-08
1850,1.2899092460827433e-08,3.326607966869233e-08
1851,3.0957306051959677e-08,2.8377531435808123e-08
1852,3.906327350478023e-08,2.408901877970493e-08
1853,3.1054046445433414e-08,3.941475057445132e-08
1854,2.7017454939937124e-08,2.5978321716024766e-08
1855,1.1144567935161831e-08,2.2819829581521844e-08
1856,1.8120163147727908e-08,2.485050742961903e-08
1857,1.513267733344037e-08,2.9777204701986193e-08
1858,4.1106879677954566e-08,3.1808895073481835e-08
1859,2.49516496353408e-08,3.106225676674512e-08
1860,3.204028686809579e-08,1.876645328025006e-08
1861,2.87673795895671e-08,1.3204698667834691e-08
1862,2.6204320491274302e-08,1.355395884417021e-08
1863,3.5461809488879226e-08,4.0955889346605545e-08
1864,1.6302074357099627e-08,2.7329949858767577e-08
1865,1.5061901947888146e-08,4.330296832222302e-08
1866,3.113992264047738e-08,3.113992264047738e-08
1867,2.0867089389753346e-08,2.7661025470138156e-08
1868,3.013323279787983e-08,3.6061081232219294e-08
1869,3.076617005604021e-08,2.4417595057002472e-08
1870,4.9886224928741285e-08,1.9495765002375265e-08
1871,3.186353225714811e-08,4.460894587055009e-08
1872,3.4469834986339265e-08,3.0236694925633856e-08
1873,2.095101514498765e-08,4.908523720814628e-08
1874,2.0313670745508716e-08,3.345781252050983e-08
1875,3.6045619822289154e-08,2.1169650921137873e-08
1876,5.018192439365521e-08,3.4462285469771814e-08
1877,2.783167118991514e-08,3.216104360603822e-08
1878,2.113680963589104e-08,2.0532901601200138e-08
1879,3.4823152361695975e-08,2.016077260691418e-08
1880,2.8238524407697696e-08,1.6044616302224313e-08
1881,4.183504387356152e-08,2.4403776777148778e-08
1882,2.3959387362992857e-08,1.7304001787010748e-08
1883,4.865891156669022e-08,1.2638677659992936e-08
1884,4.15906917794473e-08,3.1688145440966764e-08
1885,4.383032248256313e-08,2.320428826863008e-08
1886,3.549405036551434e-08,1.4197620856748472e-08
1887,5.223139609711325e-08,1.828098916689669e-08
1888,4.5018364147608736e-08,2.53624587998047e-08
1889,4.322944491264025e-08,1.6915869593958632e-08
1890,5.440140782297931e-08,1.9663159989136147e-08
1891,2.8683990294098294e-08,1.8485238229004608e-08
1892,1.1283322720601063e-08,2.820830502514582e-08
