year,non_ADV ouverts_ADJ,non_ADV couverts_ADJ
1800,1.8864987794131594e-08,4.7162465932615305e-08
1801,4.7623651688866175e-09,3.809892135109294e-08
1802,8.951360541686881e-09,1.3427040812530322e-08
1803,1.1702034896643454e-08,7.801356893821776e-09
1804,3.9549615138412264e-08,2.4718509461507665e-09
1805,4.5486043376286034e-08,8.528632911009026e-09
1806,6.916005901302924e-08,2.881669125542885e-09
1807,1.7081731584767113e-08,2.8469551160981155e-09
1808,4.078933102391602e-08,3.172503681980743e-08
1809,2.710836710662079e-08,3.840352036377226e-08
1810,2.3401266702194334e-08,2.574139479349924e-08
1811,2.757784400841956e-08,3.760615285841595e-08
1812,0.0,2.400487453257938e-08
1813,3.163315653864629e-08,3.4508900625951355e-08
1814,3.4613449884091096e-08,3.1466772298927026e-08
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,5.5622493277951435e-08
1817,9.341240669868967e-09,7.784366928831332e-09
1818,1.1921176934492905e-08,2.741870730460505e-08
1819,5.175524897538253e-09,3.1053151161586356e-09
1820,1.1866481131050932e-09,7.119888678630559e-09
1821,3.94459531705138e-09,2.9584463767662328e-09
1822,5.012807946513931e-09,1.4035862250239006e-08
1823,5.929612356680991e-09,3.360113609574e-08
1824,2.5263338088166165e-09,1.1789557774477544e-08
1825,6.163809906922779e-09,3.0819052199149155e-08
1826,0.0,1.8496766784892316e-08
1827,3.594736597278825e-08,6.636436467033491e-08
1828,0.0,3.668920500743411e-09
1829,1.8860987438529264e-08,2.3147574523818548e-08
1830,1.0436835395921662e-08,1.461157062010443e-08
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,8.117981309396782e-08
1833,5.791814139399776e-09,9.266902800675325e-09
1834,1.8669061851994684e-09,2.333632664885954e-08
1835,1.5882484660778573e-08,1.663879345414898e-08
1836,1.344150035720304e-08,2.2178475944656384e-08
1837,3.478945576063097e-09,2.6439986200443855e-08
1838,5.049729523420865e-09,6.312161904276081e-09
1839,4.194885327990505e-09,5.5232654005976656e-08
1840,7.64362617644565e-09,2.7389662093924017e-08
1841,8.346713542550788e-09,2.0545755319290038e-08
1842,4.695785538189057e-09,1.8112315203211438e-08
1843,1.1813822142769936e-09,3.18973185642335e-08
1844,1.6465684371524958e-09,1.811225303072206e-08
1845,5.580227835366713e-09,1.7298706467272496e-08
1846,2.9272506640865004e-09,2.6930706553685013e-08
1847,4.314578916364553e-09,2.7505439703645607e-08
1848,8.84974404868899e-09,2.654923214606697e-08
1849,0.0,1.6758828991214614e-08
1850,8.82569484161877e-09,2.9192683825840504e-08
1851,2.579775504329973e-09,1.2253933867611977e-08
1852,7.812654523320361e-09,2.539112742283578e-08
1853,7.166318205520383e-09,1.1346670270029335e-08
1854,3.63696517347023e-09,2.961528799971802e-08
1855,1.0613874223963649e-09,2.4411910715116392e-08
1856,2.5885946719483854e-09,2.6403665032148638e-08
1857,4.393358121745905e-09,2.6848299583548396e-08
1858,1.663849857891364e-08,1.9574704523961373e-08
1859,5.092173349652285e-09,3.055303920973529e-08
1860,6.408057640072684e-09,2.746310379109218e-08
1861,5.187560159214399e-09,1.744906619194353e-08
1862,6.776979422085105e-09,2.936691068100572e-08
1863,2.4973103585068657e-09,2.8968800691586694e-08
1864,4.794728170054441e-09,4.075518589274907e-08
1865,9.88437331983505e-09,2.3534221682552925e-08
1866,8.271541673821048e-09,1.702964524952222e-08
