year,ton_DET an_NOUN,ton_DET camp_NOUN
1800,0.0,4.7162468153061354e-08
1801,0.0,3.333655596016172e-08
1802,0.0,7.608656460433849e-08
1803,1.950339223455444e-09,1.014176405078615e-07
1804,7.4155526164076946e-09,7.662737999680758e-08
1805,2.842877711017877e-09,5.401467717547348e-08
1806,0.0,7.204172902675055e-08
1807,5.693910232196231e-09,6.832692367453319e-08
1808,0.0,4.758755434153272e-08
1809,0.0,3.6144488735345703e-08
1810,2.3401267590372754e-09,5.3822915901946544e-08
1811,2.5070767684098882e-09,3.7606150637969904e-08
1812,0.0,6.668020802180763e-08
1813,2.8757416448144113e-09,6.614205805277606e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,7.821948599939788e-08
1816,6.952811659743929e-09,1.1588019432906549e-08
1817,0.0,5.916118794857539e-08
1818,1.1921177378582115e-09,5.960588689291058e-08
1819,1.035105001712111e-09,9.937008371707634e-08
1820,1.1866481131050932e-09,8.543866414356671e-08
1821,1.97229765852569e-09,3.550135829755163e-08
1822,3.0076847679083585e-09,5.714601059025881e-08
1823,1.9765373782121287e-09,6.423746157224741e-08
1824,2.5263338088166165e-09,5.810567937913902e-08
1825,0.0,9.862095851076447e-08
1826,8.807984341885344e-10,4.227832561820577e-08
1827,0.0,2.3043182195703338e-08
1828,2.7516903755575584e-09,3.0268594741755805e-08
1829,0.0,2.2290258527846163e-08
1830,2.0873671680021744e-09,3.131050907434485e-08
1831,0.0,1.870944643656003e-08
1832,1.3529969367098715e-09,2.1647950987357945e-08
1833,1.1583628500844156e-09,3.706760987043367e-08
1834,9.334530925997342e-10,5.50737317972505e-08
1835,2.2689263801112247e-09,3.025235173481633e-08
1836,1.3441500135158435e-09,4.9061476659062464e-08
1837,2.087367279024477e-09,4.244313345225237e-08
1838,1.8936485712828244e-09,4.039783796372376e-08
1839,2.7965900706306e-09,5.103776956616457e-08
1840,6.369688665408546e-10,5.796416857606346e-08
1841,6.420548537278137e-10,2.8892468861840825e-08
1842,2.683306021822318e-09,4.561620414733625e-08
1843,2.3627644285539873e-09,4.548321541619771e-08
