year,mon_DET anneau_NOUN,mon_DET canot_NOUN
1800,3.458580977167003e-08,3.049839509827734e-07
1801,4.7623650800687756e-08,2.3097470602806425e-07
1802,4.4756802708434407e-08,3.289624999069929e-07
1803,5.851017714775253e-08,6.241085515057421e-08
1804,2.4718509461507665e-09,3.213406074564773e-08
1805,3.980028751016107e-08,1.5351539950358983e-07
1806,1.152667650217154e-08,1.0662175942144358e-07
1807,1.7081731584767113e-08,2.2775640928784924e-08
1808,3.852325747288887e-08,6.571614763473121e-08
1809,4.292158095609011e-08,3.5466779202408816e-07
1810,4.680253340438867e-08,1.0530570193623134e-07
1811,5.0141535368197765e-09,1.3788921648938413e-07
1812,2.1337665856435706e-08,6.934741492159446e-08
1813,3.7384642270765767e-08,5.176335093892703e-08
1814,2.8320094713762956e-08,1.2586708564299443e-08
1815,4.5852800667489646e-08,6.203614333344376e-08
1816,5.0987287281145655e-08,2.688420632779298e-07
1817,3.89218364205135e-08,2.6466848268569265e-08
1818,3.099506074022429e-08,2.026600220972341e-08
1819,8.487860903017008e-08,6.210630343339574e-08
1820,8.069207524386002e-08,2.124100078049196e-07
1821,9.960103142248045e-08,9.565643521725065e-08
1822,8.521773509073682e-08,1.1128433641260926e-07
1823,4.1507284054276283e-08,5.0401702367253165e-08
1824,2.947389532437228e-08,1.2210612965191103e-07
1825,5.899646993157148e-08,1.162318481462421e-07
1826,5.196710928245807e-08,8.191425393544449e-08
1827,4.05560000582561e-08,4.7008093417844066e-08
1828,5.0447657828911474e-08,1.2841222007953235e-07
1829,7.887322084343396e-08,3.232087289473107e-07
1830,5.740259823028282e-08,1.575962276234577e-07
1831,1.075793230054245e-07,5.3010099421157975e-08
1832,7.982681737850328e-08,8.659180528169941e-08
1833,5.79181431703546e-08,4.818789456351169e-07
1834,8.86780462394654e-08,1.288165214496928e-07
1835,7.33619529569296e-08,1.4218605315363675e-07
1836,6.720750000965836e-08,1.3239877172388503e-07
1837,5.287997240088771e-08,1.7673042496113567e-07
1838,3.5348105331678426e-08,1.199310788457808e-07
1839,5.8029242300250417e-08,2.020536347124846e-07
1840,4.713569623504554e-08,1.0509986336781907e-07
1841,3.852329077957961e-08,2.5361165967296984e-07
1842,4.762868144325694e-08,1.6904827404573552e-07
1843,3.898561307114079e-08,6.674809327478215e-08
1844,6.037417432658287e-08,1.1141779321377498e-07
1845,3.7387527573873314e-08,1.183008354610493e-07
1846,1.0772282266202637e-07,1.604133395005647e-07
1847,4.7999690444555654e-08,7.712309546548113e-08
1848,2.976732105253177e-08,8.04522203856628e-08
1849,1.0893239421605472e-08,6.954914688606095e-08
1850,3.530277936647508e-08,2.0638547937323892e-07
1851,3.869663189881578e-08,9.416180724031165e-08
1852,5.794385615764952e-08,7.031389204215088e-08
1853,5.912212497349856e-08,9.495371489087745e-08
1854,3.27326857285648e-08,9.092412822653273e-08
1855,6.845948519185185e-08,4.139410947345823e-08
1856,4.763014133102317e-08,7.610468122365432e-08
1857,7.566339421671842e-08,7.61515410729885e-08
1858,5.3830435220447725e-08,9.297984737699494e-08
1859,6.517981931963845e-08,8.147477204012432e-08
