year,en_ADP anneau_NOUN,en_ADP canaux_NOUN
1800,2.7668647817336023e-07,1.0690159379933561e-07
1801,2.643112679834303e-07,8.572257570449437e-08
1802,2.6854081625060644e-07,9.398928568771225e-08
1803,2.7304750460643845e-07,1.2092102963379148e-07
1804,2.817910171870608e-07,1.3842364943172925e-07
1805,6.623905051128531e-07,1.5920115004064428e-07
1806,1.7290014397985942e-07,8.645007376628655e-08
1807,1.4234775846944103e-07,8.825560593450632e-08
1808,6.345007363961486e-08,8.384473693112682e-08
1809,1.4909601020463015e-07,1.2198764154369712e-07
1810,1.4040760731859336e-07,1.0296557917399696e-07
1811,2.0307321335621964e-07,4.763445815569867e-08
1812,1.3336041604361526e-07,1.0402111882967802e-07
1813,1.322841143291953e-07,1.1790540810352468e-07
1814,1.321604372606089e-07,9.440031645269187e-08
1815,5.556280484597664e-07,2.3196122356239357e-07
1816,3.5691098787538067e-07,5.3304889391370125e-08
1817,3.3161404644488357e-07,1.0898113667057174e-07
1818,1.0609847578280096e-07,7.629553522292554e-08
1819,1.9977527188075328e-07,1.2524770964805754e-07
1820,1.1273156985680544e-07,1.0679832929127997e-07
1821,1.0453177878844144e-07,9.762873531826699e-08
1822,1.7945852448519872e-07,6.015369535816717e-08
1823,2.3026660755931516e-07,1.096978223813494e-07
1824,1.4905369027928828e-07,9.431646308399877e-08
1825,1.171123926724249e-07,1.4176762874740234e-07
1826,1.0041102171953753e-07,8.279505481212368e-08
1827,1.9909309401100472e-07,1.21668001895614e-07
1828,2.953480873202352e-07,9.355747465633613e-08
1829,1.1916714726112332e-07,1.2259641835044022e-07
1830,2.233482803148945e-07,9.601888706356476e-08
1831,9.978371906527173e-08,1.4187997576797784e-07
1832,2.2053849590975005e-07,1.4071167697693454e-07
1833,1.957633202209763e-07,1.5522062746242682e-07
1834,1.157481861469023e-07,9.334531148041947e-08
1835,1.936150511028245e-07,1.2705987728622858e-07
1836,1.317267077638462e-07,7.594447842818042e-08
1837,1.871672594688789e-07,1.5516097284784536e-07
1838,1.590664737705083e-07,1.1235648145202504e-07
1839,1.370329130168102e-07,1.0487212875887053e-07
1840,1.1975014047038712e-07,1.3312649826957568e-07
1841,2.1765659141692595e-07,9.566617364953345e-08
1842,1.1873628835701311e-07,7.312009131510422e-08
1843,9.628264763250627e-08,1.116406194712205e-07
1844,1.5367972139301855e-07,6.586273504360918e-08
1845,1.1383664855202369e-07,1.1830083224140253e-07
1846,1.6158423932211008e-07,6.381406181255045e-08
1847,1.1217905182547838e-07,1.0139260098185332e-07
1848,1.3757329497821047e-07,1.0378335701943797e-07
1849,1.240153437720437e-07,1.106082763158156e-07
1850,1.1880742789571741e-07,7.46789599048725e-08
1851,8.384270699934859e-08,7.932809609201286e-08
1852,1.790400006029813e-07,1.1914298170268012e-07
1853,1.2421618578173366e-07,7.703791737867505e-08
1854,8.676759932768618e-08,6.026970905681495e-08
1855,1.2736649068756378e-07,6.209116421018734e-08
1856,9.06008139622827e-08,5.0736453260924463e-08
1857,1.4302821682576905e-07,6.394776619345066e-08
1858,1.6149131454312737e-07,8.123502226453638e-08
1859,1.0235268632641237e-07,7.74010380233392e-08
1860,1.3640007523463282e-07,8.193158862468408e-08
1861,9.90352404528494e-08,5.564837124438782e-08
1862,1.1340145533722534e-07,6.912519273649664e-08
1863,8.341017121438199e-08,6.54295329027832e-08
1864,1.0212770717998865e-07,5.753673448793961e-08
1865,9.743168050135864e-08,7.013198161098799e-08
1866,1.0850316556343387e-07,8.75810357570117e-08
1867,1.674220015956962e-07,7.861554252031056e-08
1868,1.5560603117137362e-07,1.0620728896348908e-07
