year,rien_PRON analyser_VERB
1800,2.829747991484055e-08
1801,1.904946067554647e-08
1802,0.0
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,0.0
1808,2.4926814390369145e-08
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,9.882686669016039e-09
1824,9.263223965660927e-09
1825,8.805443041381977e-10
1826,0.0
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,8.57317605795771e-10
1830,9.39315203396518e-09
1831,7.795603274018958e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,2.8003592777992026e-09
1835,3.025235173481633e-09
1836,4.704525213838906e-09
1837,0.0
1838,0.0
1839,4.194885327990505e-09
1840,1.2739377330817092e-09
1841,3.2102742686390684e-09
1842,6.708265054555795e-10
1843,5.906911071384968e-10
1844,7.683985892015244e-09
1845,0.0
1846,8.781752214304106e-09
1847,1.0786447290911383e-09
1848,0.0
1849,1.6758829879393033e-09
1850,0.0
1851,1.2253933867611977e-08
1852,0.0
1853,4.180352064508952e-09
1854,5.195664454227256e-10
1855,2.1227748447927297e-09
1856,3.1063134287023786e-09
1857,0.0
1858,9.787352039936081e-10
1859,3.055304009791371e-09
1860,4.577183909670879e-10
1861,5.659156698811785e-09
1862,9.035972525772706e-10
1863,4.994620828036034e-10
1864,0.0
1865,3.294791106611683e-09
1866,4.379051787850585e-09
1867,5.338092634588065e-09
1868,1.975949626142892e-09
1869,1.953407657850903e-09
1870,5.734048791339319e-10
1871,4.248470908407853e-09
1872,2.4189357183956872e-09
1873,0.0
1874,4.779687312606029e-09
1875,2.8607636259891933e-09
1876,6.04601479992084e-10
1877,1.36065949618569e-08
1878,5.435179861734696e-09
1879,3.0546627449723474e-09
1880,0.0
1881,2.091752326904839e-09
1882,2.6621540527571597e-09
1883,2.5277355764075082e-09
1884,3.300848483434038e-09
1885,6.445635580831777e-09
1886,3.2267319927115068e-09
1887,4.570247291724172e-09
1888,1.268122939990235e-09
1889,7.51816386923565e-09
1890,1.3108772956016423e-09
1891,4.461953917456185e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,6.301539290376468e-10
1895,6.6204757231957956e-09
1896,5.89702897624278e-10
1897,7.574727511894253e-09
1898,1.13167097914868e-09
1899,3.8693048765026106e-09
1900,4.15284251431558e-09
1901,0.0
1902,1.4730852093691738e-09
1903,0.0
1904,2.1498500757388683e-09
1905,4.64468330463319e-09
1906,7.716276506641861e-09
1907,3.0857059130084963e-09
1908,1.4734167219643268e-09
1909,5.500983557560346e-10
1910,1.068830135508847e-09
1911,5.320374141248863e-10
1912,2.6047106693738442e-09
1913,6.363587878865928e-09
1914,1.0045115850232378e-08
1915,0.0
1916,0.0
1917,2.1932848870420685e-09
1918,0.0
1919,1.8415696745321952e-09
1920,3.028892692213958e-09
1921,0.0
1922,2.2133805899215986e-09
1923,3.1847844361720945e-09
1924,1.289162443462999e-09
1925,3.299453377181294e-09
1926,4.458455382660986e-09
1927,2.2298449753321847e-09
1928,3.4278122562625413e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,2.2810713318222042e-09
1932,2.1919073223131136e-09
1933,5.735331320977366e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,2.424942913137329e-09
1937,2.5182236296217297e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,2.7842208538686464e-09
1947,0.0
1948,1.0871887834440486e-09
1949,1.9634016634739737e-09
1950,3.190608444114673e-09
1951,0.0
1952,7.381362632230548e-09
1953,3.232148326759443e-09
1954,0.0
1955,4.6928039232341234e-09
1956,6.104799332717903e-09
1957,8.835037701437898e-10
1958,6.617794756635931e-09
1959,1.5501495642666896e-09
1960,4.152500121534786e-09
1961,1.3896318540318475e-09
1962,6.341956404476434e-10
1963,6.466053248388448e-10
1964,2.4335873316516654e-09
1965,1.0944086747954884e-09
1966,1.1078149508847446e-09
1967,2.465167847631733e-09
1968,1.7965663401398047e-09
1969,3.1792304344691047e-09
1970,2.2993624781975086e-09
1971,0.0
1972,3.0780880067027283e-09
1973,5.513203782392395e-10
1974,5.625571675160757e-10
1975,1.1422960355389478e-09
1976,2.285410749536254e-09
1977,1.7630346071939584e-09
1978,2.970295565063452e-09
1979,5.266775904289034e-09
1980,1.1370301367108482e-09
1981,6.325549528618524e-10
1982,6.207502289967692e-10
1983,6.315316047889041e-10
1984,2.3196033982486597e-09
1985,1.2031116103372597e-09
1986,2.3977941854269602e-09
1987,3.0554083707556856e-09
1988,3.597932174415064e-09
1989,4.390497743145261e-09
1990,1.089730194969718e-09
1991,1.7584396161396398e-09
1992,3.30596661157756e-09
1993,4.4313659408601325e-09
1994,1.5824779264761446e-09
1995,2.1689803286761844e-09
1996,4.804283193493575e-09
1997,1.438468344439059e-09
1998,2.86087753487152e-09
1999,9.140402323914998e-10
2000,2.2090156370779823e-09
2001,1.7524847129024579e-09
2002,8.76244299341522e-10
2003,5.416999737661854e-09
2004,1.7619165015858584e-09
2005,0.0
2006,3.294311934354255e-09
2007,3.595031605740928e-09
2008,8.514879357157668e-10
2009,4.76819250749827e-10
2010,3.7790344187271785e-09
2011,4.971163480860241e-09
2012,3.4042526575461807e-09
2013,1.6734750252211938e-09
2014,4.114345752981308e-09
2015,4.43315073539452e-09
2016,3.5212781579474495e-09
2017,3.018733707449428e-09
2018,4.64663996169179e-09
2019,5.101975730781305e-09
