year,en_ADP arrières_NOUN,en_ADP carrière_NOUN
1800,3.144164484325529e-09,4.087413785214267e-08
1801,2.3811825844433088e-09,9.524730337773235e-09
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,3.900678446910888e-09,4.8758479920252285e-08
1804,4.943701892301533e-09,4.449331569844617e-08
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,1.3554183553310395e-08,1.8072244145628247e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,3.5099073869560016e-08
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,8.091670444798638e-09
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,1.556873407970727e-09,7.784366928831332e-09
1818,4.768470951432846e-09,1.9073883805731384e-08
1819,1.035105001712111e-09,4.140420006848444e-09
1820,1.1866481131050932e-09,3.322614716694261e-08
1821,1.1833785507064931e-08,8.875339574387908e-09
1822,4.010246357211145e-09,2.3058916553964082e-08
1823,4.941343334508019e-09,1.9765373782121287e-09
1824,9.263223965660927e-09,1.431589158329416e-08
1825,2.641632912414593e-09,8.805443485471187e-09
1826,7.0463874735082754e-09,9.688783109140786e-09
1827,9.217273166939322e-09,2.2121454890111636e-08
1828,1.8344602503717056e-09,1.1006761724274838e-08
1829,8.57317605795771e-10,1.457439946506156e-08
1830,5.218417697960831e-09,9.39315203396518e-09
1831,6.236482441579483e-09,7.795603274018958e-09
1832,5.411987746839486e-09,2.3000947924067816e-08
1833,5.791814139399776e-09,6.602667923516492e-08
1834,1.120143711119681e-08,2.0535967593104942e-08
1835,6.050470346963266e-09,3.932805725526123e-08
1836,1.008112526790228e-08,3.091545153210973e-08
1837,1.6003149028165353e-08,4.244313345225237e-08
1838,1.4517972601879592e-08,2.3354999711955315e-08
1839,4.194885327990505e-09,1.1885507689157748e-08
1840,5.095750932326837e-09,2.8026629905752998e-08
1841,1.8619591202195807e-08,2.3113974734201292e-08
1842,0.0,4.293289634915709e-08
1843,2.3627644285539873e-09,5.316219914286435e-08
1844,1.097712254427563e-09,3.1833653935109396e-08
1845,1.674068439427856e-09,1.3950569588416784e-08
1846,9.367202125076801e-09,3.2785209214125643e-08
1847,9.168480197274675e-09,3.937053350000497e-08
1848,2.413566457803995e-09,1.769948809737798e-08
1849,4.1897072478036534e-09,8.044238342108656e-08
1850,1.425689166723032e-08,3.530277936647508e-08
1851,6.449438760824933e-10,5.6110115886909284e-08
1852,1.9531636308300904e-09,1.6276363368206148e-08
1853,1.7915795513800958e-09,2.20961471342207e-08
1854,1.558699391779328e-09,2.1821790263665264e-08
1855,6.368324534378189e-09,2.600399184871094e-08
1856,0.0,2.485050742961903e-08
1857,1.9526036343364694e-09,3.563501782544165e-08
1858,0.0,3.523446845399292e-08
1859,0.0,2.8516170758052795e-08
1860,4.577183909670879e-10,2.1512764902809067e-08
1861,8.488735048217677e-09,4.197207559286653e-08
1862,1.3553959066214816e-09,4.789065499721801e-08
1863,1.9978483312144135e-09,4.545104914654985e-08
1864,4.794728170054441e-09,4.459096913933536e-08
1865,4.706844358715045e-10,2.165148416111151e-08
1866,0.0,2.3354942868536455e-08
1867,2.426405742994575e-09,5.143980175148499e-08
1868,8.397785578040384e-09,3.1615194018286275e-08
1869,3.4184632902167778e-09,3.125452252561445e-08
