year,certain_ADJ art_NOUN,certain_ADJ quart_NOUN
1800,1.980823611802407e-07,0.0
1801,3.5717739876872656e-08,0.0
1802,1.3427040812530322e-07,0.0
1803,8.581492494386112e-08,0.0
1804,6.673997887673977e-08,0.0
1805,3.695740957709859e-08,0.0
1806,4.034336598124355e-08,0.0
1807,1.1387820109121094e-07,0.0
1808,9.744118045773575e-08,0.0
1809,2.4849335034105025e-08,2.25903047379461e-08
1810,8.658469141664682e-08,0.0
1811,5.515568801683912e-08,0.0
1812,5.067695596494559e-08,0.0
1813,1.1502966401621961e-07,0.0
1814,8.496028414128887e-08,0.0
1815,5.664169577812572e-08,0.0
1816,1.5296186006708012e-07,0.0
1817,7.317304806520042e-08,1.556873407970727e-09
1818,4.2916237674717195e-08,0.0
1819,3.415846450138815e-08,2.070210003424222e-09
1820,7.594547923872597e-08,0.0
1821,5.029358973729359e-08,3.94459531705138e-09
1822,8.120748873352568e-08,0.0
1823,4.348382276475604e-08,0.0
1824,8.084268188213173e-08,0.0
1825,6.075755720758025e-08,0.0
1826,9.776862697208344e-08,2.642395191543301e-09
1827,7.465990847776993e-08,0.0
1828,4.677873732816806e-08,3.668920500743411e-09
1829,7.287199821348622e-08,0.0
1830,7.827626546941246e-08,0.0
1831,4.053713453799901e-08,0.0
1832,1.1500473817704915e-07,1.3529969367098715e-09
1833,5.560141858040879e-08,0.0
1834,9.147840529522e-08,0.0
1835,3.1764969321557146e-08,2.2689263801112247e-09
1836,8.132107609526429e-08,0.0
1837,1.0575994480177542e-07,2.7831563720326358e-09
1838,7.890202624594167e-08,0.0
1839,6.711816524784808e-08,1.3982950353153e-09
1840,8.72647376581881e-08,6.369688665408546e-10
1841,1.1428576129901558e-07,0.0
1842,9.726984018243456e-08,8.720745015011744e-09
1843,1.5180761181454727e-07,0.0
1844,5.872760411307354e-08,2.195424508855126e-09
1845,1.0993048960017404e-07,1.1160455892778032e-09
1846,6.439951505399222e-08,0.0
1847,9.546005941274416e-08,0.0
1848,6.91889070481011e-08,0.0
1849,5.279031256577582e-08,0.0
1850,8.554135177973876e-08,1.3577992064028876e-09
1851,1.0383596560359365e-07,9.674158363282004e-09
1852,1.4778937895698618e-07,1.9531636308300904e-09
1853,1.2660495940508554e-07,1.1943863675867306e-09
1854,1.1378504893855279e-07,3.117398783558656e-09
1855,1.576160286731465e-07,3.714855978387277e-09
1856,1.1234500618684251e-07,6.212626857404757e-09
1857,1.4790973068556923e-07,4.881509085841174e-10
1858,1.2821431027987273e-07,9.787352039936081e-10
1859,1.1915685860230951e-07,0.0
1860,1.0344435708020683e-07,0.0
1861,1.3016060051995737e-07,6.6023493339173456e-09
1862,1.1927484422358248e-07,0.0
1863,1.3635315099236323e-07,4.994620828036034e-10
1864,1.3952657695881499e-07,4.794727948009836e-10
1865,1.666222857465982e-07,4.706844358715045e-10
1866,1.2358657386357663e-07,4.865612912574591e-10
1867,1.2811422323011357e-07,1.94112459439566e-09
1868,1.4029242834112665e-07,0.0
1869,1.1866951865613373e-07,2.9301114867763545e-09
1870,1.4449803131810768e-07,6.307453670473251e-09
1871,1.401995461947081e-07,3.18635318130589e-09
1872,1.300177956409243e-07,4.8378714367913744e-09
1873,1.1672708666310427e-07,1.1972008939764578e-09
1874,1.3562362255470362e-07,2.3898436563030145e-09
1875,1.4704325224101922e-07,4.577221712764867e-09
1876,1.4752275490081956e-07,2.418405919968336e-09
1877,1.1256365439749061e-07,2.4739263970730008e-09
1878,1.2984040154151444e-07,1.2078177347163432e-09
1879,9.46945419855183e-08,6.10932526790009e-10
1880,1.0396910710142038e-07,6.417846254436199e-10
1881,9.064260098057275e-08,0.0
1882,1.2379015856822662e-07,6.655385131892899e-10
1883,1.1185230164301174e-07,0.0
1884,8.516189353713344e-08,1.9805090900604227e-09
1885,1.2182250941350503e-07,6.445635691854079e-10
1886,1.2132511528761825e-07,0.0
1887,9.466941008895446e-08,0.0
1888,9.510922183153525e-08,0.0
1889,1.3908604046264372e-07,0.0
1890,9.700492142883377e-08,1.3108772956016423e-09
1891,1.1091142937402765e-07,2.5496880162734215e-09
1892,9.277398049789554e-08,0.0
1893,8.067525669730458e-08,6.158416554491453e-10
1894,9.011201029807125e-08,6.301539290376468e-10
1895,8.064943557428705e-08,0.0
1896,4.48174191092221e-08,0.0
1897,5.7684463428131494e-08,0.0
