year,bien_ADV omis_VERB,bien_ADV commis_VERB
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,1.1905912700171939e-08
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,1.3554183553310395e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,0.0,7.152706427149269e-09
1819,1.035105001712111e-09,1.5526575580793178e-08
1820,0.0,2.3732962262101864e-09
1821,0.0,9.861488514673056e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,1.6842225392110777e-09
1825,0.0,7.924898959288385e-09
1826,4.403992281964975e-09,5.284790383086602e-09
1827,0.0,1.1060727445055818e-08
1828,9.172301251858528e-10,6.420610709767516e-09
1829,8.57317605795771e-10,9.430493719264632e-09
1830,0.0,1.6698937344017395e-08
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,0.0,2.570694235259907e-08
1833,4.6334514003376626e-09,3.4750886612755494e-09
1834,0.0,4.667265685043276e-09
1835,5.294161553592858e-09,5.294161553592858e-09
1836,1.3441500135158435e-09,9.409050427677812e-09
1837,2.0873671680021744e-09,1.2524203896191466e-08
1838,0.0,2.5248647617104325e-09
1839,5.5931801412612e-09,7.690622361167243e-09
1840,1.9109065441114126e-09,4.458782232319436e-09
1841,1.2841097074556274e-09,4.494383976094696e-09
1842,0.0,1.341653010911159e-08
1843,0.0,3.5441467538532834e-09
1844,2.195424508855126e-09,7.1351298203126134e-09
1845,0.0,8.928364714222425e-09
1846,5.854501328173001e-10,3.5127007969038004e-09
1847,1.6179670936367074e-09,8.089835468183537e-09
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,4.1897072478036534e-09,6.703531951757213e-09
1850,2.7155984128057753e-09,1.4935791270431764e-08
1851,6.449438760824933e-10,5.8044946626978344e-09
1852,2.6042181744401205e-09,5.859490670445666e-09
1853,4.777545470346922e-09,4.180352064508952e-09
1854,2.5978321716024766e-09,1.1950028522278444e-08
1855,5.306937111981824e-10,1.5920811335945473e-09
1856,5.177189343896771e-09,3.6240324075009767e-09
1857,4.881508974818871e-09,1.2691923956253959e-08
1858,9.787352261980686e-09,3.9149408159744326e-09
1859,7.129042689513199e-09,8.656694916453489e-09
1860,9.154367819341758e-10,5.492620580582752e-09
1861,2.8295783494058924e-09,5.659156698811785e-09
1862,3.6143890103090826e-09,5.421583626485926e-09
1863,1.9978483312144135e-09,1.39849385405455e-08
1864,4.794728170054441e-09,6.712618905169165e-09
1865,3.765475486972036e-09,4.23615986733239e-09
