year,on_PRON ose_VERB
1800,1.1979266645312237e-06
1801,1.4072789156216459e-06
1802,1.056260543919052e-06
1803,9.517655712443229e-07
1804,1.3372713283388293e-06
1805,1.657397746157585e-06
1806,9.855308178430278e-07
1807,8.426987392340379e-07
1808,8.815027570108214e-07
1809,1.0933707557114758e-06
1810,1.2730289142837137e-06
1811,9.577033068808305e-07
1812,1.2375845699352794e-06
1813,1.0755274075791021e-06
1814,1.1737105580778007e-06
1815,1.270392289143274e-06
1816,1.0800034289104588e-06
1817,1.3373542913086567e-06
1818,1.4531915439874865e-06
1819,2.342442513736387e-06
1820,1.4856834980037092e-06
1821,1.8815719613485271e-06
1822,1.4547168092349239e-06
1823,1.0633771125867497e-06
1824,9.92007073818968e-07
1825,1.1975402287589532e-06
1826,1.0965940475671232e-06
1827,1.162298119083971e-06
1828,1.149289303725709e-06
1829,1.138517774279535e-06
1830,1.3661818485388721e-06
1831,1.4780463288843748e-06
1832,1.3570559929121373e-06
1833,8.664553945436637e-07
1834,9.586563152197414e-07
1835,8.788308036855597e-07
1836,9.382167007743192e-07
1837,8.015490564616812e-07
1838,7.13905521365632e-07
1839,7.159270580814336e-07
1840,8.312443924296531e-07
1841,8.301769085505839e-07
1842,7.654130200762665e-07
1843,8.281489130013142e-07
1844,9.264691342991682e-07
1845,7.644912045634555e-07
1846,7.850886376559174e-07
1847,9.36263603534826e-07
1848,7.0958856923653e-07
1849,8.429691362721314e-07
1850,7.99064842738062e-07
1851,8.848629988733592e-07
1852,7.350405937245341e-07
1853,8.79068373649261e-07
1854,9.014477768687357e-07
1855,8.867892091757312e-07
1856,8.630374210838454e-07
1857,8.29856531936457e-07
1858,8.157757847016001e-07
1859,7.836854933884752e-07
1860,9.076555897991057e-07
1861,8.823568009574956e-07
1862,8.561584223798491e-07
1863,8.510834206276741e-07
1864,7.964042936237092e-07
1865,8.316994097867791e-07
1866,6.845917113196265e-07
1867,8.671974214280453e-07
1868,7.701263555759397e-07
1869,7.994320725401849e-07
1870,7.586146537619243e-07
1871,7.498550900209011e-07
1872,6.948392581307417e-07
1873,5.950088279860211e-07
1874,6.333085593723808e-07
1875,7.014592497966987e-07
1876,7.206849730323484e-07
1877,7.520736176047649e-07
1878,6.328964872182041e-07
1879,8.803537809853879e-07
1880,8.561407014440192e-07
1881,6.045164084866883e-07
1882,5.923292718534867e-07
1883,4.840613527790083e-07
1884,5.736874655326574e-07
1885,5.94932188846542e-07
1886,6.175964983867743e-07
1887,4.850990968918723e-07
1888,5.421225388602124e-07
1889,4.6362010408529386e-07
1890,3.8277618230608823e-07
1891,4.927272101440394e-07
1892,4.469449201849329e-07
1893,4.6003370712810465e-07
1894,5.053834577495309e-07
1895,4.989431552360202e-07
1896,5.271944019114017e-07
1897,4.410822214140353e-07
1898,4.860526985339675e-07
1899,5.3120029974707e-07
1900,5.507707143692642e-07
1901,5.61668251464198e-07
1902,4.291587956117837e-07
1903,4.811596241438565e-07
1904,5.573486205889822e-07
1905,5.294938709710095e-07
1906,5.499133450825866e-07
1907,5.482271241419312e-07
1908,6.63528659572421e-07
1909,6.216111394508061e-07
1910,6.31678609863684e-07
1911,6.043944722478045e-07
1912,6.058557104893225e-07
1913,6.199195254907863e-07
1914,5.317214473166132e-07
1915,6.950649549253285e-07
1916,8.405408351563892e-07
1917,7.347504507038138e-07
1918,6.822907749892693e-07
1919,6.776976206879226e-07
1920,7.254197953443509e-07
1921,7.360710583270702e-07
1922,6.913125325525016e-07
1923,6.59250353862717e-07
1924,6.703644714889379e-07
1925,6.862862953482818e-07
1926,7.891465827469801e-07
1927,7.893651172707905e-07
1928,7.48405721395784e-07
1929,7.040736953456417e-07
1930,7.447055097031807e-07
1931,8.382936940165564e-07
1932,8.033340321844662e-07
1933,7.719755856783195e-07
1934,8.554848278663485e-07
1935,7.803321082633374e-07
1936,8.159932818330162e-07
1937,7.088799556242975e-07
1938,9.1275108360378e-07
1939,8.059964429207866e-07
1940,6.542320107882915e-07
1941,6.198155588776899e-07
1942,8.22271410072517e-07
1943,1.0625840687339405e-06
1944,9.02905306077173e-07
1945,8.234745507706975e-07
1946,8.241293727451193e-07
1947,8.976415770689528e-07
1948,1.0426140519825822e-06
1949,9.041464537062893e-07
1950,9.146410988591924e-07
1951,1.0906613781003216e-06
1952,9.416509882953505e-07
1953,9.63180163182642e-07
1954,9.958214377547847e-07
1955,1.0699592536411728e-06
1956,9.56709214960938e-07
1957,9.59485113583014e-07
1958,1.037339337983667e-06
1959,8.99861802849955e-07
1960,9.945237664510387e-07
1961,9.95671229020445e-07
1962,1.0920848652062887e-06
1963,9.479233966658285e-07
1964,8.949517464884593e-07
1965,1.0533683862945509e-06
1966,9.0563874266536e-07
1967,9.121121067323656e-07
1968,9.91255504345645e-07
1969,8.747425397359621e-07
1970,9.349207772402224e-07
1971,8.308788750355234e-07
1972,7.767042617956577e-07
1973,9.581948390291473e-07
1974,7.498886773760205e-07
1975,7.624825784091627e-07
