year,on_PRON ouvre_VERB,on_PRON couvre_VERB
1800,2.2543659383700287e-06,1.9022195090201421e-06
1801,3.1907845254863787e-06,2.4073756605957897e-06
1802,2.1908455209995736e-06,1.971537187728245e-06
1803,2.5276397082052426e-06,2.632957944115333e-06
1804,2.38286423837053e-06,2.5558939569236827e-06
1805,2.840034937889868e-06,2.069615021582649e-06
1806,2.3831403552776464e-06,1.737646428523476e-06
1807,2.1807676375829033e-06,1.5857540347496979e-06
1808,1.7312805198343995e-06,1.1103762176389864e-06
1809,2.3245423790285713e-06,2.710836554342677e-06
1810,2.503935547792935e-06,1.8955027201172925e-06
1811,2.7878694481842103e-06,1.9856048254496272e-06
1812,2.9606010514271475e-06,2.0510831859610335e-06
1813,2.887244562543856e-06,1.4378707930973178e-06
1814,2.4764349291217513e-06,1.3499245454795528e-06
1815,2.1038344186763425e-06,1.1732922828855408e-06
1816,2.8552879598464642e-06,1.3024934446548286e-06
1817,2.157826543225383e-06,1.454119768595774e-06
1818,2.5475555958109908e-06,1.15993050542329e-06
1819,2.22858108145374e-06,1.3642683995840343e-06
1820,1.962716027037459e-06,9.267721878813973e-07
1821,2.0373834388465184e-06,1.0877221114924396e-06
1822,1.7193930830217141e-06,1.0617127230716505e-06
1823,2.283888932197442e-06,1.0969782522352034e-06
1824,2.6635979963884893e-06,1.0854814576077843e-06
1825,2.1247534220947273e-06,1.0513699209013794e-06
1826,2.0513795675469737e-06,1.0190837969048516e-06
1827,2.2711361680194386e-06,1.249862251029299e-06
1828,2.731511244746798e-06,1.4162032755393739e-06
1829,2.294181939532791e-06,1.2679727490194637e-06
1830,2.4777047826773924e-06,1.3046044529119172e-06
1831,2.7939441338276083e-06,1.4858419206120743e-06
1832,2.6748750485694472e-06,1.3908808682572271e-06
1833,2.309775425146654e-06,1.2394482951094687e-06
1834,2.1506759253497876e-06,1.0221311299574154e-06
1835,2.246993489052329e-06,1.0936225436353197e-06
1836,2.200373472760475e-06,1.098842616897855e-06
1837,2.5500670233213896e-06,9.852373494823041e-07
1838,2.293208439141381e-06,8.193185863092367e-07
1839,2.4071649420420727e-06,1.0151622120702086e-06
1840,1.9898907055448944e-06,7.006657440911113e-07
1841,2.17463983176458e-06,6.972715738129409e-07
1842,1.8259897558436933e-06,6.03743828264669e-07
1843,2.5204788869359618e-06,7.289128234333475e-07
1844,2.0406470184752834e-06,1.0164815336111133e-06
1845,2.056313974208024e-06,8.11365126196506e-07
1846,1.890418531047544e-06,9.613091265237017e-07
1847,2.019222932858611e-06,6.892539659020258e-07
1848,1.973492885554151e-06,7.05565966541144e-07
1849,2.0236286957242555e-06,8.303999976533305e-07
1850,2.0876162238891993e-06,7.040188734208641e-07
1851,2.3514654401424195e-06,7.707079561214414e-07
1852,2.045613342716024e-06,7.552232830221328e-07
1853,2.4001194560696604e-06,8.641385278451708e-07
1854,1.8990153023423773e-06,4.998229243824426e-07
1855,2.2878206209497876e-06,6.309948261673526e-07
1856,2.3286997361537942e-06,7.926276595071613e-07
