year,bien_ADV ouvert_VERB,bien_ADV couvert_VERB
1800,5.65949598296811e-08,1.7292904885835014e-07
1801,8.334139067756041e-08,1.5953922627431893e-07
1802,2.9315705774024536e-07,1.1412984690650774e-07
1803,1.8723255834629526e-07,9.946730017418304e-08
1804,8.157108055684148e-08,6.673997887673977e-08
1805,4.8328921309348516e-08,5.401467717547348e-08
1806,1.0374009207225754e-07,4.034336598124355e-08
1807,1.0533734240425474e-07,8.825561081948763e-08
1808,8.837688625362716e-08,4.758755522971114e-08
1809,8.358412628695078e-08,6.777091243748146e-08
1810,5.3822915901946544e-08,3.2761775514700275e-08
1811,1.1281845502253418e-07,6.267691787797958e-08
1812,4.267533171287141e-08,8.268345652595599e-08
1813,8.91479885467561e-08,5.7514832008109806e-08
1814,6.293354459785405e-08,6.608021863030444e-08
1815,8.631115377966125e-08,4.045835311217161e-08
1816,6.025770460382773e-08,6.952811304472561e-08
1817,1.4945985071790346e-07,8.095742032310227e-08
1818,6.914282835168706e-08,6.556647491606782e-08
1819,6.003609342997152e-08,3.622867339458935e-08
1820,9.01852530432734e-08,8.069207524386002e-08
1821,5.1279737789400315e-08,4.7335142028259725e-08
1822,5.1130641054442094e-08,5.3135764233047666e-08
1823,3.261286707356703e-08,6.720226830569942e-08
1824,6.231623217445303e-08,6.736890156844311e-08
1825,1.4793144487157406e-07,4.490776106536032e-08
1826,1.3476216054186807e-07,3.699353356978463e-08
1827,4.147772969531616e-08,2.7651818612639545e-08
1828,4.953042775923677e-08,3.118582370120748e-08
1829,1.8860987438529264e-08,1.628903412154159e-08
1830,6.575206867864836e-08,5.114049628218709e-08
1831,4.8332740476553226e-08,3.4300654760954785e-08
1832,7.306183391619925e-08,4.8707889277466165e-08
1833,6.486831694019202e-08,2.4325620628928846e-08
1834,6.16079063320285e-08,2.9870498963191494e-08
1835,5.8235777089521434e-08,4.0084366048631637e-08
1836,4.637317374545091e-08,5.645430078971003e-08
1837,6.679574937606958e-08,4.731365921273323e-08
1838,6.185918977053007e-08,4.292270006089893e-08
1839,8.319855737681792e-08,5.5931799636255164e-08
1840,9.490835850556323e-08,7.516232614079854e-08
1841,7.76886395215115e-08,4.6227949468402585e-08
1842,4.561620414733625e-08,3.6224630406422875e-08
1843,6.438533262098645e-08,1.9492807368237663e-08
