year,en_ADP otages_NOUN,en_ADP cottage_NOUN
1800,1.1947824418712116e-07,0.0
1801,1.0715321963061797e-07,0.0
1802,1.656001700212073e-07,0.0
1803,1.2482171030114841e-07,0.0
1804,5.19088700912107e-08,0.0
1805,9.097208675257207e-08,0.0
1806,9.797675204481493e-08,0.0
1807,6.263301344233696e-08,0.0
1808,8.837688625362716e-08,0.0
1809,4.51806094758922e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,8.022645658911642e-08,0.0
1812,1.1468995353425271e-07,0.0
1813,2.0130190847567064e-08,0.0
1814,2.234140765722259e-07,0.0
1815,8.90083740046066e-08,0.0
1816,5.5622493277951435e-08,0.0
1817,7.7843672841027e-08,0.0
1818,5.48374146092101e-08,0.0
1819,1.3145833577254962e-07,0.0
1820,1.495176604748849e-07,0.0
1821,1.0551792684054817e-07,0.0
1822,1.0326384369818697e-07,0.0
1823,9.882686669016039e-08,0.0
1824,1.5242214601585147e-07,0.0
1825,2.764909083907696e-07,0.0
1826,1.418085417981274e-07,0.0
1827,7.558163872545265e-08,0.0
1828,1.6968756710866728e-07,0.0
1829,6.344150449422159e-08,0.0
1830,6.157733167810875e-08,0.0
1831,6.080570358335535e-08,0.0
1832,7.441482807735156e-08,0.0
1833,1.459537202208594e-07,0.0
1834,7.000897994657862e-08,0.0
1835,1.4899282518854307e-07,0.0
1836,2.0699910407984135e-07,0.0
1837,1.551609614125482e-07,0.0
1838,1.9062728995322686e-07,0.0
1839,1.6919369727474987e-07,0.0
1840,2.6625298232829664e-07,0.0
1841,8.66774030328088e-08,0.0
1842,1.5630257621523924e-07,0.0
1843,8.505951853976512e-08,5.906911071384968e-10
1844,1.7728052625898272e-07,4.390849017710252e-09
1845,1.244390830379416e-07,0.0
1846,1.0245377524142896e-07,0.0
1847,1.1595430748911895e-07,0.0
1848,1.0056527344204369e-07,0.0
1849,4.776266493422554e-08,0.0
1850,7.060555873295016e-08,0.0
1851,1.238292242078387e-07,1.2898877521649865e-09
1852,7.682443481371592e-08,0.0
1853,6.808001984381917e-08,0.0
1854,1.278133510140833e-07,0.0
1855,2.0590915994489478e-07,0.0
1856,1.346069211649592e-07,0.0
1857,1.2984814645733422e-07,1.9526036343364694e-09
1858,1.2625683609712723e-07,1.9574704079872163e-09
1859,1.4156242400531482e-07,0.0
1860,1.7439070632008224e-07,4.577183909670879e-10
1861,8.252936822827905e-08,0.0
1862,9.668490719150213e-08,1.8071945051545413e-09
1863,7.392038980924553e-08,5.9935452156878455e-09
1864,6.520829742839851e-08,9.589455896019672e-10
1865,1.0825741725284388e-07,4.706844358715045e-10
1866,1.2115376080146234e-07,9.731225825149181e-10
1867,1.1889387963037734e-07,0.0
1868,6.91582400236257e-08,0.0
1869,1.1525105492182774e-07,0.0
1870,5.734048613703635e-08,0.0
1871,8.178306387662815e-08,0.0
1872,1.1671365029997105e-07,9.071008832961525e-09
1873,8.32054638522095e-08,3.591602570907071e-09
1874,5.974609251779839e-08,1.7923826867161097e-09
1875,9.383304444554597e-08,2.2886108563824337e-09
