year,en_ADP oeufs_NOUN,en_ADP queue_NOUN
1800,2.5153315874604232e-08,5.628054240425229e-07
1801,4.7623651688866175e-09,7.334042493312154e-07
1802,1.3427040812530322e-08,7.81006178840471e-07
1803,4.095712213825209e-08,9.264111326956481e-07
1804,1.2359254952798437e-08,7.41555311378761e-07
1805,3.980028751016107e-08,7.135623150134052e-07
1806,1.152667650217154e-08,5.388721433519095e-07
1807,2.8469551160981155e-09,1.0305977866664762e-06
1808,6.798221985349073e-09,7.410062039525656e-07
1809,4.518061036407062e-09,9.623470305086812e-07
1810,9.360507036149102e-09,4.4696420786749513e-07
1811,5.0141535368197765e-09,8.875051662471378e-07
1812,1.0668832928217853e-08,5.361088710742479e-07
1813,2.0130190847567064e-08,5.320122227203683e-07
1814,6.293354282149721e-09,5.412284735939465e-07
1815,0.0,6.230586142574879e-07
1816,0.0,1.1982011596245457e-06
1817,0.0,1.097595713872579e-06
1818,5.960588467246453e-09,9.28659744658944e-07
1819,3.1053151161586356e-09,1.4936565275736058e-06
1820,1.1866481131050932e-09,1.0905296221608296e-06
1821,1.97229765852569e-09,8.175173888957943e-07
1822,3.0076847679083585e-09,7.509186161769321e-07
1823,2.9648061783404955e-09,1.3746817902893227e-06
1824,2.5263338088166165e-09,1.0492706223885762e-06
1825,1.4088708866211164e-08,6.454390018006961e-07
1826,1.7615968683770689e-09,7.601290690217866e-07
1827,0.0,1.177967487719922e-06
1828,9.172301140836225e-09,9.218162517754536e-07
1829,2.571952872898464e-09,6.755662980140187e-07
1830,4.174734336004349e-09,9.05917374893761e-07
1831,1.5591206103948707e-09,8.824622454994824e-07
1832,1.3529969367098715e-09,6.616155019401049e-07
1833,1.1583628500844156e-09,6.475248142123746e-07
1834,9.334530925997342e-10,7.943685798039724e-07
1835,1.5126175867408165e-09,8.516037155459344e-07
1836,5.376600054063374e-09,1.1284139418421546e-06
1837,2.7831563720326358e-09,7.090091003192356e-07
1838,2.5248647617104325e-09,1.0995785528766788e-06
1839,6.9914749545318955e-09,9.151841027232877e-07
1840,1.9109065441114126e-09,1.4720350236530066e-06
1841,1.2841097074556274e-09,9.438206318712616e-07
1842,1.341653010911159e-09,7.486423712066426e-07
1843,5.906911071384968e-10,6.225884130461878e-07
1844,5.488561272137815e-10,7.371137940026529e-07
1845,0.0,6.791137212580622e-07
1846,2.3418005312692003e-09,6.750239747166376e-07
1847,0.0,7.383322904175316e-07
1848,1.6090443422100975e-09,7.345287258431199e-07
1849,3.3517659758786067e-09,8.044238484217203e-07
1850,1.3577992064028876e-09,8.479456132803875e-07
1851,7.739326512989919e-09,9.680607968576282e-07
1852,3.906327261660181e-09,5.280052433054294e-07
1853,2.388772735173461e-09,6.198865094564354e-07
1854,0.0,6.406254537960621e-07
1855,0.0,6.994543078064908e-07
1856,5.177189232874468e-10,7.330899904900434e-07
1857,2.9289055625270066e-09,8.157001734065972e-07
1858,4.893676019968041e-10,5.955603805674059e-07
1859,0.0,5.713418254060798e-07
1860,9.154367819341758e-10,7.950568488013232e-07
1861,9.431927461278633e-10,5.946830414771398e-07
1862,0.0,6.311626848942709e-07
1863,1.9978483312144135e-09,5.064545268718135e-07
1864,4.794727948009836e-10,5.5810630639197e-07
1865,9.41368871743009e-10,6.890820354876759e-07
1866,9.731225825149181e-10,6.047956948584954e-07
1867,9.7056229719783e-10,6.041750157947945e-07
