year,en_ADP arts_NOUN,en_ADP quart_NOUN
1800,5.345079756580162e-08,2.04370692813427e-07
1801,6.42919282256571e-08,2.571677271134831e-07
1802,9.398928568771225e-08,1.6336232988578558e-07
1803,7.80135707145746e-08,2.1258696847326064e-07
1804,6.921182560404304e-08,1.8538882784469024e-07
1805,2.558589917711629e-08,2.1890159018767008e-07
1806,4.8988375134229045e-08,1.2967511509032192e-07
1807,4.27043254092041e-08,2.135216305987342e-07
1808,4.5321479902327155e-09,2.1754310353117035e-07
1809,1.581321384946932e-08,1.6265019553429738e-07
1810,5.616304221689461e-08,1.4976811257838563e-07
1811,3.7606150637969904e-08,3.158916683787538e-07
1812,5.06769564090348e-08,2.1070944455914287e-07
1813,4.3136123117903935e-08,1.552900528167811e-07
1814,9.440030979135372e-09,2.8949429520253034e-07
1815,2.6972236000233352e-08,2.535390137836657e-07
1816,8.57513455798653e-08,1.5527946573001827e-07
1817,2.1796228488746294e-08,2.7089598120255687e-07
1818,4.4108355412575406e-08,3.039900207113533e-07
1819,9.212434237682032e-08,1.2214239575314423e-07
1820,3.44127952800477e-08,2.5038275452970993e-07
1821,7.001656854299654e-08,1.272131981977509e-07
1822,3.308453244699194e-08,1.87479017199621e-07
1823,6.32491954366543e-08,2.1346603773508832e-07
1824,3.1158117863583357e-08,2.0968570879631443e-07
1825,4.3146671568905504e-08,2.4831348355291993e-07
1826,8.807984186454121e-08,2.30769188647173e-07
1827,3.686909327837995e-08,2.4610119453427615e-07
1828,3.3937512911030865e-08,2.4214875793404644e-07
1829,3.686465693819585e-08,2.803428458264534e-07
1830,3.131050774207722e-08,2.640519483065873e-07
1831,3.741889442743229e-08,3.3365179774591525e-07
1832,5.276688019861808e-08,4.4378299435265944e-07
1833,4.51761508202253e-08,3.173914251419774e-07
1834,2.4269779741459274e-08,2.772355571778462e-07
1835,3.932805725526123e-08,3.237001635625347e-07
1836,6.922372786100084e-08,2.7622283482742205e-07
1837,3.89641890974346e-08,2.8388194550643675e-07
1838,4.102905393210676e-08,2.8783458105863247e-07
1839,2.8665047335785232e-08,2.6357861315773334e-07
1840,5.8601136720959346e-08,2.4141121457432746e-07
1841,3.2102741354123054e-08,2.747994756191474e-07
1842,4.9641161403712886e-08,3.19313414820499e-07
1843,4.075768533784441e-08,2.6994584345629846e-07
1844,5.1592476069117765e-08,2.3600813392476994e-07
1845,1.3392547348889394e-08,2.488781660758832e-07
1846,3.981060747726417e-08,1.7212234126873227e-07
1847,1.5101026207275936e-08,2.1950420148186822e-07
1848,2.735375304041554e-08,2.8801892426599807e-07
1849,3.26797175986826e-08,4.85168129671365e-07
1850,3.6660578572877967e-08,3.6660577507063863e-07
1851,2.3217978650791338e-08,3.4826967976187007e-07
1852,4.9480144648228475e-08,2.66932374870521e-07
1853,2.926246556178569e-08,2.8486115866144246e-07
1854,4.0006617019194834e-08,2.722528051890549e-07
1855,1.0083180512765466e-08,2.844518292022258e-07
1856,2.0708756043319454e-08,2.7387329737393884e-07
1857,1.3668224996266076e-08,2.4114655161611154e-07
1858,4.8447393652395476e-08,2.490881172434456e-07
1859,3.5645212559387573e-08,2.4951648924798064e-07
1860,3.249800525906288e-08,2.929397737716499e-07
1861,3.301174633651982e-08,2.565484180649946e-07
1862,5.0149648683772696e-08,3.013496723269782e-07
1863,3.9457503930862003e-08,2.9168586479499936e-07
1864,1.726102105692462e-08,2.6131266395168495e-07
1865,3.4830647810402127e-08,2.466386490596051e-07
1866,2.7733993435141713e-08,2.6031028710349347e-07
1867,1.5043715606566366e-08,3.455201635915728e-07
1868,1.778354707937524e-08,3.2850161346686946e-07
1869,1.12320943657096e-08,3.1401029332300823e-07
1870,2.5803219116937726e-08,3.239737509375118e-07
1871,1.1683294776076991e-08,4.7476663667112007e-07
1872,1.8746751706544273e-08,2.757586798907141e-07
1873,5.566984079274917e-08,3.0229321623664873e-07
1874,2.031367180022059e-08,2.395818228251301e-07
1875,1.3731665304828056e-08,3.627448279530654e-07
1876,6.16693476285235e-08,3.26484808965688e-07
1877,2.1028374708187414e-08,2.9130484335837536e-07
1878,2.5364172762110115e-08,2.8685670372397e-07
1879,1.7717042943843353e-08,2.3337622678809566e-07
1880,2.7596738449986447e-08,3.228176694847207e-07
1881,1.2550513517339823e-08,3.4862537745539157e-07
1882,2.5290463057103807e-08,2.18962171061321e-07
1883,2.7805092117638708e-08,3.140711442028987e-07
1884,1.914492120391742e-08,2.726500838434731e-07
1885,3.931837805337679e-08,2.8296341270106495e-07
1886,4.130216729736347e-08,3.0137675821606535e-07
1887,4.178511875396751e-08,2.702974768453714e-07
1888,2.1558089979833994e-08,4.723758024738345e-07
1889,2.6940088715399213e-08,3.057386663840589e-07
1890,4.194807196045147e-08,2.457894936469529e-07
1891,5.0993758771156195e-08,3.1616130513612006e-07
1892,4.701384459515623e-08,2.482330785369413e-07
1893,2.5249507429325746e-08,3.029940955912025e-07
1894,2.9617235108858608e-08,4.0644928844812966e-07
1895,4.6343330728504384e-08,3.135698136702558e-07
1896,5.071444997284402e-08,3.143116487080988e-07
1897,2.4472196047398143e-08,3.4727213460428175e-07
1898,3.734514275599565e-08,2.863127690488909e-07
1899,3.59292577911674e-08,3.228105924790725e-07
1900,3.9971108201086736e-08,4.1684157281451917e-07
1901,3.297355899434251e-08,2.498166224995657e-07
1902,3.731815834129293e-08,3.741636191989528e-07
1903,4.104167294904926e-08,3.213131094526034e-07
1904,5.159640092955442e-08,3.7622376680701564e-07
1905,2.3223415412942927e-08,2.688755387225683e-07
1906,5.452835516450705e-08,2.4692084821253957e-07
1907,2.2114226339020604e-08,2.946849235740956e-07
1908,5.549869519505535e-08,3.0008587259544584e-07
1909,3.6306490647231016e-08,2.915521406521293e-07
1910,3.42025641142385e-08,2.9927244327154767e-07
1911,5.32037401912433e-08,3.1762633057041967e-07
1912,6.355493675780366e-08,2.594291856894415e-07
1913,2.0681660051202755e-08,2.6674038622331864e-07
1914,5.0895253012051e-08,2.23001563881553e-07
1915,1.8849218963445935e-08,1.507937525957459e-07
1916,4.944358011904626e-08,3.0105647397249413e-07
1917,3.728584374584898e-08,2.6100090622094285e-07
1918,6.776962369059447e-08,2.2628161389093293e-07
1919,2.1178050757519884e-08,2.633444751154457e-07
1920,4.46761680983343e-08,3.4832265782824834e-07
1921,4.240738515903786e-08,2.771625418063195e-07
1922,3.32007097370024e-08,3.1061108529684134e-07
1923,3.6094222277682775e-08,3.1635525488127314e-07
1924,2.707241186783449e-08,3.1068813655110716e-07
1925,3.849362140151413e-08,4.6522293928319414e-07
1926,3.566764272822098e-08,2.663927034518565e-07
1927,4.682674314970825e-08,2.753858439064061e-07
1928,3.8848539829494655e-08,2.7651020673147286e-07
1929,3.3421218015305953e-08,2.9856289529561764e-07
1930,5.566909955234678e-08,4.4220169570508006e-07
1931,2.3951248984133144e-08,3.1022568691696506e-07
1932,4.7126008873021874e-08,3.8906355825929495e-07
1933,5.850037565480193e-08,4.083555609213363e-07
1934,5.990790441501304e-08,3.7382528716989327e-07
1935,6.582556189016486e-08,4.0213433294411516e-07
1936,5.698615890281644e-08,2.4128181053129083e-07
1937,5.791914281516597e-08,3.739561975635297e-07
1938,3.889564470505036e-08,4.7452684270865575e-07
1939,3.8235125288110794e-08,4.0988055616253405e-07
1940,3.803674530900025e-08,4.386904493003385e-07
1941,7.378756183840096e-08,3.7188931401033187e-07
1942,5.158160121254696e-08,5.886370786356565e-07
1943,2.6129116870166058e-08,6.096793754295504e-07
1944,3.855823393905666e-08,3.502372862840275e-07
1945,2.6142048525912287e-08,5.860175633642939e-07
1946,4.315542145860718e-08,2.3248243508078303e-07
1947,3.457052732969146e-08,2.90869252239645e-07
1948,2.3918153901902883e-08,2.826690774782037e-07
1949,5.203014352694879e-08,2.522971271901042e-07
1950,1.0103593162114066e-07,2.21215515239237e-07
1951,5.01085888338082e-08,2.452122487284214e-07
1952,3.796129288691219e-08,2.066781519260985e-07
1953,5.279175385730639e-08,2.1978607378514425e-07
1954,3.811289239763482e-08,2.462679162817949e-07
1955,3.566531070475776e-08,2.2337746941047953e-07
1956,3.7500909488841216e-08,3.314033847345854e-07
1957,3.003912851795576e-08,2.7918719069930376e-07
1958,4.880623505343351e-08,2.5230343680959777e-07
1959,4.960478516835565e-08,1.922185504099616e-07
1960,7.543708591128961e-08,2.3461625175968948e-07
1961,4.446822099435366e-08,1.9941217033192515e-07
1962,5.77118033362467e-08,2.226026651896973e-07
1963,8.082566393952106e-08,2.3536433957360714e-07
1964,7.848319272252269e-08,2.433587269479176e-07
1965,7.058936013493167e-08,2.194289407952965e-07
1966,6.979234279391733e-08,3.052030308481335e-07
1967,7.543413310662217e-08,2.3123273251712817e-07
1968,7.051523109868896e-08,2.0301199299410655e-07
1969,1.2626086995370933e-07,2.275420598607525e-07
1970,1.3106366436588246e-07,2.028037755508194e-07
1971,1.3051529534902073e-07,2.522953082007007e-07
1972,1.1132418914483466e-07,2.667676426426624e-07
1973,1.334195335322974e-07,2.46440208684362e-07
1974,1.5020276666888321e-07,2.435872659134475e-07
1975,1.1765649432504688e-07,3.0899107628101774e-07
1976,1.2512623959182179e-07,1.7369121962929057e-07
1977,1.569100801512846e-07,1.8982005656198453e-07
1978,1.657425026113657e-07,2.9287116376508493e-07
1979,2.0598946381955585e-07,2.592424266367743e-07
1980,2.0523393451377103e-07,2.5185218532897125e-07
1981,1.5371085165805098e-07,2.1190591326103458e-07
1982,3.1720337467788795e-07,2.514038328627066e-07
1983,2.1408921646592916e-07,2.38718939726823e-07
1984,2.696539020963229e-07,1.8846778004899534e-07
1985,3.326603521536242e-07,1.6783407374987291e-07
1986,4.5797868297725586e-07,1.8223235542791372e-07
