year,mon_DET ouvert_ADJ,mon_DET couvert_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,6.713520406265161e-09
1803,0.0,3.510610468993036e-08
1804,0.0,9.887403784603066e-09
1805,2.842877711017877e-09,4.264316455504513e-08
1806,0.0,3.1698359492793315e-08
1807,5.693910232196231e-09,3.4163463169534225e-08
1808,4.5321479902327155e-09,1.5862518409903714e-08
1809,0.0,1.581321384946932e-08
1810,0.0,5.616304221689461e-08
1811,5.0141535368197765e-09,1.7549536934780008e-08
1812,1.0668832928217853e-08,2.6672083208723052e-08
1813,2.8757416448144113e-09,2.5881675469463516e-08
1814,0.0,7.237357380063258e-08
1815,0.0,1.8880564667256294e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,4.047870949541732e-08
1818,0.0,2.8610825708597076e-08
1819,3.1053151161586356e-09,2.6912729822470283e-08
1820,1.1866481131050932e-09,2.610625848831205e-08
1821,0.0,4.536284681222469e-08
1822,1.0025615893027862e-09,6.215881853677274e-08
1823,0.0,6.621399961659336e-08
1824,0.0,2.947389532437228e-08
1825,1.7610886082763955e-09,4.754939197937347e-08
1826,8.807984341885344e-10,2.290075862276808e-08
1827,1.8434546111834038e-09,1.2904182056239222e-08
1828,1.8344602503717056e-09,2.935136400594729e-08
1829,0.0,7.630126930280312e-08
1830,0.0,4.5922078584226256e-08
1831,3.1182412207897414e-09,2.0268567268999504e-08
1832,0.0,3.653091618094351e-08
1833,0.0,6.602667923516492e-08
1834,9.334530925997342e-10,2.6136686370747952e-08
1835,0.0,4.61348363955949e-08
1836,1.3441500135158435e-09,4.8389401818837996e-08
1837,0.0,2.2961039292113128e-08
1838,0.0,1.7674054220151447e-08
1839,0.0,2.4470162784950844e-08
1840,0.0,2.802663096046487e-08
1841,0.0,2.632424855875115e-08
1842,0.0,5.567860128508073e-08
1843,0.0,2.0674188139224725e-08
1844,0.0,1.97588213013411e-08
1845,0.0,4.129368652572296e-08
1846,0.0,1.9319854160926297e-08
1847,5.393223645455691e-10,1.88762818709165e-08
1848,0.0,1.045878850192139e-08
1849,0.0,2.9327952066893204e-08
1850,0.0,3.59816780814981e-08
1851,0.0,2.386292297096304e-08
1852,0.0,2.2786908582261844e-08
1853,5.971931837933653e-10,2.9262465339741084e-08
1854,0.0,2.6497888772070155e-08
1855,0.0,5.3600064831016425e-08
1856,0.0,2.692138467708105e-08
1857,4.881509085841174e-10,3.465871434293888e-08
1858,0.0,2.7893954257507403e-08
1859,0.0,4.3792691029054254e-08
1860,0.0,1.9681891672007623e-08
1861,0.0,4.668804121088499e-08
1862,0.0,2.9366910708761296e-08
1863,0.0,4.345319970511241e-08
1864,0.0,4.554991450689272e-08
1865,0.0,3.0123804561910106e-08
1866,0.0,3.162648387622369e-08
1867,0.0,2.717574432153924e-08
1868,0.0,1.3831646938911035e-08
1869,9.767038289254515e-10,5.030024796681687e-08
1870,0.0,3.268407855472333e-08
1871,0.0,5.098165090089424e-08
1872,0.0,2.6608292125196442e-08
1873,0.0,2.5141218440438706e-08
1874,0.0,4.540702813748965e-08
1875,5.721527140956084e-10,4.062284375550007e-08
1876,0.0,5.562333793562857e-08
1877,0.0,4.3912195102358e-08
1878,6.039088673581716e-10,2.8987626410348355e-08
1879,0.0,2.871382953628654e-08
1880,0.0,6.032775567987869e-08
1881,0.0,2.022027167924989e-08
1882,0.0,3.0614771162618126e-08
1883,6.319338941018771e-10,2.338155358216909e-08
1884,0.0,3.6309335094131256e-08
1885,6.445635691854079e-10,1.9336907297606842e-08
1886,0.0,6.19532544710033e-08
1887,0.0,4.439668788158713e-08
1888,6.340614699951175e-10,1.775372071577408e-08
1889,0.0,3.2578710396080623e-08
1890,0.0,1.9663159989136147e-08
1891,0.0,3.569563133964948e-08
1892,0.0,3.3849967939758585e-08
1893,0.0,2.46336657738766e-08
1894,0.0,4.0329851902498604e-08
1895,6.018614495673091e-10,3.069493370588816e-08
1896,0.0,5.779088496637996e-08
1897,0.0,3.204692478053772e-08
1898,0.0,2.1501747937691107e-08
1899,0.0,2.819064981451902e-08
1900,5.191053142894475e-10,4.152842425497738e-08
1901,5.588738916095792e-10,3.2414686157444805e-08
1902,4.910283846193408e-10,1.3257766440233354e-08
1903,0.0,2.6461079549733313e-08
1904,5.374625189347171e-10,3.2247752024261445e-08
1905,0.0,4.025391930895239e-08
1906,0.0,2.983626978814158e-08
1907,0.0,3.08570609064418e-08
