year,ton_DET anneau_NOUN,ton_DET canot_NOUN
1800,0.0,0.0
1801,0.0,1.04772034603684e-07
1802,8.951360541686881e-09,0.0
1803,1.950339267864365e-08,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,2.2775641372874134e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,6.7770915546105925e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.668964788592575e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,0.0,0.0
1821,1.972297702934611e-08,0.0
1822,2.3058916553964082e-08,0.0
1823,4.941343334508019e-09,9.882686891060644e-10
1824,9.263223965660927e-09,0.0
1825,4.4027217427355936e-09,0.0
1826,2.1139161976435616e-08,0.0
1827,9.217273055917019e-10,9.217273055917019e-10
1828,1.834460228167245e-08,0.0
1829,6.858540846366168e-09,0.0
1830,1.5655253093882493e-08,3.1310507520032616e-09
1831,1.0913843828674885e-08,0.0
1832,4.7354891563600177e-08,0.0
1833,6.950177100506494e-09,2.3167257001688313e-09
1834,1.120143755528602e-08,0.0
1835,1.1344631900556124e-08,2.2689263801112247e-09
1836,1.8146025126952736e-08,0.0
1837,4.87052354003481e-09,4.87052354003481e-09
1838,1.830526930035603e-08,6.312161904276081e-10
1839,1.3283802724473048e-08,1.3982950353153e-09
1840,3.821813088222825e-09,1.9109065441114126e-09
1841,1.5409316489467528e-08,3.852329122366882e-09
1842,1.1404051036834062e-08,6.708265054555795e-10
1843,9.451057714215949e-09,0.0
1844,8.232841963717874e-09,2.7442805805577564e-09
1845,1.6182660211860878e-08,1.674068439427856e-09
1846,4.0981511517657054e-09,1.1709002656346001e-09
1847,1.6179670936367074e-08,1.0786447290911383e-09
1848,1.689496542667257e-08,0.0
1849,2.513824481908955e-09,3.3517659758786067e-09
1850,6.788996032014438e-09,1.3577992064028876e-09
1851,1.9348316282474798e-08,6.449438760824933e-10
1852,9.114764054629632e-09,3.906327261660181e-09
1853,1.015228412448721e-08,1.1943863675867306e-09
1854,3.117398617025202e-09,5.195664454227256e-10
1855,3.1841622671890946e-09,0.0
1856,1.2425254325432178e-08,2.0708756931497874e-09
1857,7.322263684272912e-09,1.1715622250108026e-08
1858,1.6149130033227266e-08,1.0766087576996597e-08
1859,1.1202780925145817e-08,2.5460866748261424e-09
1860,2.1512764902809067e-08,5.492620580582752e-09
1861,1.3676294763342867e-08,6.6023493339173456e-09
1862,1.3102160245637151e-08,4.517986262886353e-10
1863,1.5982786649715308e-08,4.495158911765884e-09
1864,1.2466292886870178e-08,2.8768367688059016e-09
1865,7.060266649094871e-09,1.4120533631256649e-09
1866,3.8924903300596725e-09,3.8924903300596725e-09
1867,2.232293283555009e-08,0.0
1868,7.903798504571569e-09,0.0
1869,1.5138909237322196e-08,7.813630631403612e-09
1870,1.1468097582678638e-09,9.17447806614291e-09
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,3.023669647994609e-09,1.2094678591978436e-09
1873,7.781805422268917e-09,0.0
1874,5.974609251779839e-09,2.3898436563030145e-09
1875,1.8881039565155078e-08,1.716458086775674e-09
1876,2.478866001354163e-08,1.209202959984168e-09
1877,5.566334504436554e-09,3.0924081073635534e-09
1878,3.019544281279707e-09,1.2078177347163432e-09
1879,3.0546627449723474e-09,5.498392852132383e-09
1880,7.059631101924424e-09,3.2089231272180996e-09
1881,3.4862537301449947e-09,2.7890030285249168e-09
1882,1.9966155395678697e-09,7.320923423037584e-09
1883,1.2006744043446815e-08,2.5277355764075082e-09
1884,1.1222884843675729e-08,7.2618666635548834e-09
1885,7.734762830224895e-09,1.2891271383708158e-09
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,1.9586774424595887e-09,0.0
1888,7.60873763994141e-09,2.53624587998047e-09
1889,8.771191772893872e-09,6.265136742733546e-10
1890,2.6217545912032847e-09,2.6217545912032847e-09
1891,5.099376032546843e-09,1.9122659011827636e-09
1892,6.8953636134239105e-09,2.5074049503359674e-09
1893,1.1085149687062312e-08,4.926733243593162e-09
1894,1.5123694518948128e-08,6.301539290376468e-10
1895,6.018614495673091e-10,1.8055843487019274e-09
1896,9.435246584033052e-09,2.358811590497112e-09
1897,1.1653427223201618e-08,6.992056267307589e-09
1898,0.0,1.13167097914868e-09
1899,1.2713430308508578e-08,5.527578395003729e-09
1900,1.1939421784568083e-08,2.595526460424935e-09
1901,5.58873880507349e-09,1.676621730339889e-09
1902,4.910283957215711e-09,2.9461704187383475e-09
1903,5.940242076007962e-09,5.400220270956879e-09
1904,5.912087708281888e-09,2.1498500757388683e-09
1905,4.128607289377584e-09,1.5482277682110634e-09
1906,3.600929110447737e-09,3.0865106026567446e-09
1907,2.5714217422034835e-09,0.0
1908,2.9468334439286537e-09,4.911389073214423e-10
1909,4.950885035270858e-09,5.500983557560346e-10
1910,6.412980813053082e-09,4.275320542035388e-09
1911,7.980561100850991e-09,5.320374141248863e-10
1912,9.897900277167082e-09,2.6047106693738442e-09
1913,2.0681659052002033e-08,2.121195885607108e-09
1914,1.2723812781167965e-08,2.0090231700464756e-09
1915,9.424609537234119e-09,1.1780761921542648e-09
1916,1.0987462051303964e-09,3.2962386153911893e-09
1917,1.2063066989753679e-08,3.289927441585405e-09
1918,8.040463406189247e-09,0.0
1919,0.0,0.0
1920,2.2716695191604686e-09,5.300562211374427e-09
1921,6.058197998815018e-09,7.572747429129834e-10
1922,7.377935484775833e-10,4.426761179843197e-09
1923,1.0615948120573648e-08,0.0
1924,2.191576153887098e-08,5.156649773851996e-09
1925,1.8696901804560184e-08,3.299453377181294e-09
1926,1.2260752413340015e-08,3.343841648018042e-09
1927,1.5608915049369898e-08,0.0
1928,3.4278122562625413e-09,1.1426041224282812e-09
1929,7.798284240578823e-09,2.2280812750352652e-09
1930,7.352522701786768e-09,1.0503603542488804e-09
1931,2.2810713318222042e-09,0.0
1932,7.6716757391182e-09,0.0
1933,5.735331320977366e-09,6.882397318719313e-09
1934,3.5944740517379614e-09,1.1981580172459871e-09
1935,1.196828414151696e-08,1.0771455727365264e-08
1936,7.274828739411987e-09,1.2124714565686645e-09
1937,1.510934133364117e-08,2.5182236296217297e-09
