year,en_ADP ados_NOUN,en_ADP cadeau_NOUN
1800,6.917161954334006e-08,6.60274537267469e-08
1801,4.524246932646747e-08,1.1905912700171939e-08
1802,4.475680270843441e-09,8.503792514602537e-08
1803,3.510610468993036e-08,1.5602713787643552e-08
1804,2.2246657849223084e-08,2.4718509905596875e-08
1805,3.1271653710973624e-08,5.685755422035754e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,3.3991110370834576e-08,7.704651494577774e-08
1809,1.3328279635516083e-07,3.162642769893864e-08
1810,6.552355102940055e-08,6.552355102940055e-08
1811,3.5099073869560016e-08,2.2563691359778204e-08
1812,8.801787032552966e-08,2.400487453257938e-08
1813,8.627225156487839e-09,1.1502966579257645e-08
1814,5.034683425719777e-08,4.72001566720337e-08
1815,1.0788894222457657e-08,1.8880564667256294e-08
1816,1.3905623319487859e-08,6.952811659743929e-09
1817,4.981994905506326e-08,3.7364962679475866e-08
1818,4.6492591110336434e-08,4.2916237674717195e-08
1819,2.070209959015301e-08,5.900098543065724e-08
1820,1.1866481131050932e-09,6.170570543417853e-08
1821,5.9168927535324656e-09,4.141825016290568e-08
1822,7.017931125119503e-09,2.8071724500478012e-08
1823,1.581229902569703e-08,5.0401702367253165e-08
1824,2.6105450245950124e-08,9.684279689281539e-08
1825,1.584979791857677e-08,8.189061873054015e-08
1826,1.2331177856594877e-08,8.015265962058038e-08
1827,1.566936447261469e-08,8.20337291429496e-08
1828,9.172301140836225e-09,1.0731592681167967e-07
1829,1.800366966620004e-08,7.973054039212002e-08
1830,6.262101504006523e-09,1.5550885734683106e-07
1831,3.274153215215847e-08,8.575163690238696e-08
1832,1.0823975493678972e-08,1.677716170433996e-07
1833,3.70676112027013e-08,1.6448753115128056e-07
1834,2.14694217959277e-08,1.1388127774125678e-07
1835,4.235329242874286e-08,1.701694714029145e-07
1836,2.9571300075303952e-08,1.3374293067469623e-07
