year,en_ADP art_NOUN,en_ADP quarts_NOUN
1800,3.5529058095562505e-07,6.60274537267469e-08
1801,2.3335590038087162e-07,1.0239084957675004e-07
1802,2.528759353026544e-07,8.727576528144709e-08
1803,2.96451567294298e-07,9.55666195068261e-08
1804,3.5347467886026607e-07,3.460591457837836e-08
1805,4.3780317948716174e-07,7.675770063997334e-08
1806,1.2679343619481642e-07,2.1324350996110297e-07
1807,4.0711458382247656e-07,3.131650672116848e-08
1808,1.994145080175258e-07,1.5862518409903714e-08
1809,3.478907117937524e-07,7.00299480627109e-08
1810,3.1591712490453006e-07,5.616304221689461e-08
1811,3.133846036007526e-07,5.766276700569506e-08
1812,2.347143261971496e-07,1.3869482984318893e-07
1813,3.163315744902917e-07,2.300593315851529e-08
1814,2.1082736223476672e-07,5.664018942752591e-08
1815,3.425474046636623e-07,1.3486118000116676e-08
1816,1.9931394135142e-07,1.8540831092650478e-08
1817,1.7125607354451233e-07,6.07180652423267e-08
1818,2.0027577329884139e-07,1.0729059418679299e-08
1819,2.856889746993829e-07,3.8298885840504227e-08
1820,2.9191542783024715e-07,2.8479554714522237e-08
1821,3.4416593208685953e-07,7.100271659510327e-08
1822,3.448811725093037e-07,9.825103575167304e-08
1823,2.5793813007712885e-07,6.423746157224741e-08
1824,2.080014889216386e-07,3.705289586264371e-08
1825,2.3246369362794894e-07,8.101007864524945e-08
1826,1.98179641364149e-07,4.7563116112314674e-08
1827,2.1199727545662128e-07,4.608636672287503e-08
1828,1.6601865127086057e-07,1.0089530988466322e-08
1829,1.3974277424111392e-07,1.2859763920403111e-08
1830,1.6281463843803579e-07,4.174734158368665e-08
1831,2.2451337100548585e-07,5.76874619184764e-08
1832,2.0565553371376666e-07,3.92369123858316e-08
1833,2.3283092964732077e-07,5.444305273272221e-08
1834,2.1936147609480372e-07,4.85395617033646e-08
1835,2.102538445569735e-07,1.739510224751939e-08
1836,2.5337227693711384e-07,4.5701099793404865e-08
