year,on_PRON ouvrira_VERB,on_PRON couvrira_VERB
1800,1.9179403309976806e-07,1.6664071722516383e-07
1801,3.047913565978888e-07,1.9049460320275102e-07
1802,1.2755688771903806e-07,7.832440473976021e-08
1803,1.4432510297979206e-07,3.1010393009012205e-07
1804,2.175228850376243e-07,2.1010733597393028e-07
1805,4.776034430165055e-07,3.155594185955124e-07
1806,2.01716832570753e-07,8.933173933911576e-08
1807,1.252660219996926e-07,5.4092145873596564e-08
1808,2.945896326878028e-07,6.345007008690118e-08
1809,2.484933609991913e-07,1.1521055931495994e-07
1810,1.497681063611367e-07,1.0998595634248431e-07
1811,2.3566521889506475e-07,1.0028307206866316e-07
1812,2.5871918563069585e-07,1.9737340295478134e-07
1813,3.479647503468186e-07,1.6391727086784158e-07
1814,3.713078911005141e-07,7.552025138579666e-08
1815,2.184751011213848e-07,1.618334160014001e-07
1816,4.171687102427768e-07,1.8540831092650478e-07
1817,1.5413046128287533e-07,1.0586739396245548e-07
1818,1.204038930779916e-07,8.940882700869679e-08
1819,2.277230990443968e-07,5.072014541696035e-08
1820,2.135966568062031e-07,4.6279279075633895e-08
1821,1.6764530030854985e-07,4.141824927472726e-08
1822,1.1228689800191205e-07,6.717162648328667e-08
1823,1.4428722572290553e-07,5.0401704143610004e-08
1824,1.3894836214944917e-07,6.568467902923203e-08
1825,1.2327620169116926e-07,1.3912600138610287e-07
1826,1.2595417686611654e-07,1.0569580943808887e-07
1827,2.0001482958775796e-07,6.359918369724937e-08
1828,1.9537002060587838e-07,1.9720447141935438e-07
1829,1.1316592729571084e-07,8.573176124571091e-08
1830,1.5029043254344288e-07,8.245100424630891e-08
1831,1.85535352414945e-07,8.886987501455224e-08
1832,2.516574291178131e-07,1.0823975493678972e-07
1833,2.0271349399081373e-07,6.718504330649466e-08
1834,1.5215286097713943e-07,8.681114138653356e-08
1835,1.3916081798015512e-07,6.882410019670715e-08
1836,1.8750892749608283e-07,7.258410050781094e-08
1837,1.9760409841751425e-07,7.792837930509222e-08
1838,1.2687445583026147e-07,5.617824161419094e-08
1839,1.2794399495419384e-07,4.894032556990169e-08
1840,1.6306403338717246e-07,5.6690230731959446e-08
1841,1.8041741256524801e-07,3.980740137521366e-08
1842,1.9521050731441392e-07,5.769108035735826e-08
1843,1.6362143728798628e-07,6.792947893075052e-08
1844,1.805736715709827e-07,9.495210839816082e-08
1845,1.4787603497268265e-07,6.919482897771445e-08
1846,1.7153688247617538e-07,1.1240642194820794e-07
1847,1.6557197213273867e-07,3.829188699455699e-08
1848,2.1400290250994658e-07,8.688839514547908e-08
1849,1.5250535057020898e-07,7.206296892547925e-08
1850,1.7379830019592646e-07,5.159636984330973e-08
1851,1.696202378553835e-07,8.513259253106753e-08
1852,1.6341468977998375e-07,4.7526981905576804e-08
1853,1.731860308495925e-07,7.226037190832812e-08
1854,1.574286283556603e-07,4.2084881357595805e-08
1855,1.5602395109226563e-07,5.200798369742188e-08
1856,1.4910305345949837e-07,1.1907534958055521e-07
