year,aucun_DET or_NOUN,aucun_DET corps_NOUN
1800,0.0,2.1568967270013673e-06
1801,4.7623651688866175e-09,1.4525213600791176e-06
1802,1.3427040812530322e-08,8.011467684809759e-07
1803,1.950339223455444e-09,1.4978605662463451e-06
1804,2.4718509461507665e-09,1.4213142520702604e-06
1805,1.7057265822018053e-08,9.950071913067404e-07
1806,2.881669125542885e-09,1.8413866058608619e-06
1807,1.4234775136401367e-08,9.195664816274984e-07
1808,2.2660739951163578e-09,8.905670565440005e-07
1809,4.518061036407062e-09,1.1837320528229611e-06
1810,7.020380277111826e-09,9.734927211013655e-07
1811,1.7549536490690798e-08,9.125759277139878e-07
1812,2.1337665856435706e-08,8.24167347701632e-07
1813,2.8757416448144113e-09,1.3889832715108241e-06
1814,0.0,1.11707035443942e-06
1815,8.091670444798638e-09,1.5697841391215661e-06
1816,4.6352077731626196e-09,1.21905965499991e-06
1817,1.5568734412774177e-08,1.4945985213898894e-06
1818,4.768470951432846e-09,1.4329255009215558e-06
1819,1.035105001712111e-09,1.1717389014620494e-06
1820,1.0679833017945839e-08,9.706781725071778e-07
1821,9.861488403650753e-09,1.26325669924654e-06
1822,7.017931125119503e-09,1.0005564377024712e-06
1823,9.882686891060644e-10,9.329256371870542e-07
1824,1.51580028528997e-08,1.4383260165118372e-06
1825,9.68598712347557e-09,8.646944866796957e-07
1826,3.5231937367541377e-09,9.442159480954615e-07
1827,3.6869092223668076e-09,1.0867165300965098e-06
1828,5.5033806956039655e-09,9.814362229576545e-07
1829,2.571952817387313e-09,9.233310791501026e-07
1830,2.922314124020886e-08,9.67494671044733e-07
1831,1.5591206103948707e-09,8.388068906128865e-07
1832,2.8412935226818092e-08,7.225003493260829e-07
1833,5.791814250422078e-09,8.513967193479743e-07
1834,1.1201437333241415e-08,1.080005262110717e-06
1835,6.050470346963266e-09,8.274018128417993e-07
1836,1.2097350121642592e-08,8.118666094958371e-07
1837,4.174734336004349e-09,6.387343916003374e-07
1838,1.8936486156917454e-08,8.78021715777777e-07
1839,5.5931801412612e-09,9.878954294606501e-07
1840,7.64362617644565e-09,7.866565567837824e-07
1841,4.494383976094696e-09,7.531303474195283e-07
1842,6.708265054555795e-09,8.532913042813561e-07
1843,2.953455480181333e-09,1.0195328528084246e-06
1844,3.293136707771538e-09,7.244900643854635e-07
1845,5.580227946389016e-10,7.974145610489813e-07
1846,7.610851504580296e-09,7.206891368127799e-07
1847,2.7505439703645607e-08,7.6260184300736e-07
1848,4.34441957963827e-08,6.613172445213422e-07
1849,6.703531951757213e-09,5.002510512497338e-07
1850,1.0183494048021657e-08,6.816152051669633e-07
1851,1.0319102239364497e-08,7.287865564364893e-07
1852,2.018269107395554e-08,7.220194859769435e-07
1853,1.4929829816878737e-08,6.37802315850422e-07
1854,6.754363734984281e-09,8.0636714017146e-07
1855,1.0613874223963649e-09,5.338778628072305e-07
1856,1.1907535180100126e-08,6.207449985140556e-07
1857,1.2691923956253959e-08,6.57539253268169e-07
1858,9.787352261980686e-09,6.14645720986573e-07
1859,4.073738679721828e-09,5.581021866873925e-07
1860,1.0985241161165504e-08,5.483466392064429e-07
1861,4.7159637306393165e-09,6.234504237312422e-07
1862,7.228778020618165e-09,6.347770558079446e-07
1863,1.1987090431375691e-08,6.652835224940645e-07
1864,5.274200631788517e-09,6.261914542449176e-07
1865,1.4120533631256649e-09,6.269516497070526e-07
1866,4.379051787850585e-09,5.225668360253621e-07
1867,9.7056229719783e-10,6.08057263207229e-07
1868,9.87974813071446e-10,5.927849038300792e-07
1869,1.953407657850903e-09,5.816271126946049e-07
1870,1.3188312664169644e-08,5.940474281374009e-07
1871,2.1242354542039266e-09,7.041840603960736e-07
1872,5.442605366390296e-09,5.829635085774498e-07
1873,1.1972008939764578e-09,6.213472509841722e-07
1874,5.377148393215236e-09,5.078417721904316e-07
1875,3.4329162845736505e-09,5.292412552648784e-07
1876,6.650616279912924e-09,5.689299662492431e-07
1877,7.421779302241305e-09,4.941668034774693e-07
1878,7.2469061862534545e-09,4.650098208713871e-07
1879,3.6655952717623563e-09,5.651125700723014e-07
1880,3.8507077526617195e-09,4.7235349676100213e-07
1881,2.7890030285249168e-09,4.343872195278209e-07
1882,5.989846618703609e-09,4.385898861869464e-07
1883,2.5277355764075082e-09,4.6889495308732876e-07
1884,6.601696966868076e-09,4.15906900919083e-07
1885,3.2228177904158883e-09,4.5828468397957067e-07
1886,3.872078324640427e-09,4.046321748774062e-07
1887,6.528924512139156e-09,4.093635830315634e-07
1888,8.87686035788704e-09,4.2482117734721214e-07
1889,4.385595775424633e-09,4.1600508460248875e-07
1890,3.277193239004106e-09,4.450428452429378e-07
1891,5.736798147637501e-09,4.2452304072071456e-07
1892,6.2685125978845235e-09,3.5417096100331946e-07
1893,8.005941742883493e-09,4.24314894331701e-07
1894,3.150769645188234e-09,4.0833974424003827e-07
1895,1.1435367985868083e-08,4.1889557245156084e-07
1896,1.7691086373616827e-09,4.2694491142469815e-07
1897,5.826713556089658e-09,3.740750216252309e-07
1898,4.52668391659472e-09,3.8137312330377426e-07
1899,4.9748205555033564e-09,3.239161010526459e-07
1900,3.6337372000261325e-09,4.0957409197517336e-07
1901,2.794369458047896e-09,3.906528611707927e-07
1902,8.838511256215043e-09,3.559955672471915e-07
1903,3.2401321625741275e-09,4.098767263371883e-07
1904,8.599400302955473e-09,4.0685911883997505e-07
1905,5.676835002077496e-09,3.865408437775386e-07
1906,5.144184633820714e-09,3.492901328172593e-07
1907,1.028568674676933e-09,3.6925615631844266e-07
1908,1.964555629285769e-09,4.7051106655260355e-07
1909,2.2003934230241384e-09,4.406287850144963e-07
1910,2.67207544979442e-09,3.783658755196484e-07
1911,4.788336838146279e-09,3.7668248431543816e-07
1912,9.376958209905695e-09,2.8287157505246796e-07
1913,7.424185766158331e-09,5.668895912691596e-07
1914,1.3393487430235496e-09,3.4622164690745194e-07
1915,1.5314990164938536e-08,3.7345013836898033e-07
1916,1.2086208478478966e-08,3.614874906077148e-07
1917,7.676497326691845e-09,3.6079537757416347e-07
1918,1.4932289182922887e-08,3.181726313528088e-07
1919,6.445494027396137e-09,2.845225139935792e-07
1920,6.057785384427916e-09,3.445365326371075e-07
1921,4.543648624011354e-09,3.498609260077501e-07
1922,8.853522359686394e-09,3.2389137061272777e-07
1923,7.431163684401554e-09,2.5159796557261416e-07
1924,6.4458122173149945e-09,2.836157442231979e-07
1925,2.1996355847875293e-09,2.3866046738874047e-07
1926,1.1146138456652466e-09,2.4298581280390863e-07
1927,1.1149224876660924e-09,2.3413372396419163e-07
1928,7.998228634953364e-09,2.4794509201342407e-07
1929,3.342121912552898e-09,2.5622934529678787e-07
1930,3.1510810627466412e-09,2.867483797075465e-07
1931,1.1405356659111021e-09,2.315287339627048e-07
1932,2.1919073223131136e-09,2.3563003992421727e-07
1933,1.1470662197865522e-09,2.4432509793115287e-07
1934,2.3963160344919743e-09,2.408297650191571e-07
1935,2.393656828303392e-09,2.3457836562101875e-07
1936,1.2124714565686645e-09,2.485566525933791e-07
1937,5.0364472592434595e-09,2.543405859256609e-07
1938,1.2965214679638848e-08,2.528216853647791e-07
1939,1.5294050470515685e-09,2.5846945561625034e-07
1940,2.5357829169792012e-09,1.5214697945964417e-07
1941,5.9030051957620344e-09,4.043558625710375e-07
1942,0.0,2.2453167147773456e-07
1943,2.9032352077962287e-09,3.3387205200519077e-07
1944,3.2131861615880553e-09,2.666944425300244e-07
1945,6.535512131478072e-09,2.592419754421371e-07
1946,5.568441707737293e-09,2.060323502917072e-07
1947,1.1920870957027319e-09,2.2172820557386785e-07
1948,2.174377566888097e-09,1.95693983684464e-07
1949,6.8719057111366055e-09,1.953584618519244e-07
1950,2.1270722960764488e-09,2.3291441131334523e-07
1951,0.0,2.0469891381935668e-07
1952,1.0544803918932644e-09,1.676623853086312e-07
1953,4.30953106533849e-09,1.9177412813320416e-07
1954,1.9545072227344917e-09,3.576748177636091e-07
1955,1.8771215692936494e-09,1.7832655174743195e-07
1956,2.616342476002842e-09,1.761670542776983e-07
1957,8.835037701437898e-10,1.7405023999828018e-07
1958,8.272243445794913e-10,2.175600082310325e-07
1959,5.4255236969780185e-09,1.8989332062346875e-07
1960,6.920833350854139e-10,2.0139624901105435e-07
1961,1.3896318540318475e-09,1.702299030625909e-07
1962,2.536782617301725e-09,2.0040582882074887e-07
1963,3.879631726988464e-09,1.6876398767351475e-07
1964,3.6503810529886493e-09,2.2267324428781876e-07
1965,2.188817349590977e-09,2.0629603625366144e-07
1966,3.8773524391189085e-09,1.9109808491180047e-07
1967,1.972134178185314e-09,2.1348353662631325e-07
1968,1.796566312384229e-09,1.967240210731802e-07
1969,3.179230406713529e-09,2.5252172797252115e-07
1970,1.8394900047624674e-09,1.821095159115771e-07
1971,7.193756368373272e-09,1.659702446588085e-07
1972,8.20823486957778e-09,1.2876668353811738e-07
1973,2.2052815684681093e-09,1.7752515990565598e-07
1974,4.500457340128605e-09,1.7608039293293132e-07
1975,2.2845920710778955e-09,1.1080271278274267e-07
1976,5.142174241967723e-09,1.2055541542821402e-07
1977,2.938390863960194e-09,1.357536607571319e-07
1978,5.346532216954358e-09,1.5564349009622447e-07
1979,5.266775904289034e-09,1.7146281550139975e-07
1980,2.2740602734216964e-09,1.245048029119289e-07
1981,5.060439622894819e-09,1.2461332588031837e-07
1982,9.9320033308814e-09,1.58291305396574e-07
1983,8.841442689089263e-09,1.5093605298943658e-07
1984,3.4794051528841408e-09,1.345369984306899e-07
1985,5.414002357539971e-09,1.4798272740534912e-07
1986,2.9972427872948515e-09,1.4686489002713188e-07
1987,2.4443267410134695e-09,1.8699099690877574e-07
1988,1.1993107618124554e-09,1.301252146035381e-07
1989,2.1952488715726304e-09,1.8714496796690128e-07
1990,5.44865097484859e-10,1.569211436347473e-07
1991,2.9307325455363298e-09,1.488812149119667e-07
1992,5.509944167592096e-09,1.6640031041958991e-07
1993,2.2156829704300662e-09,1.5675956532845703e-07
1994,2.1099706426497278e-09,1.7249010220155014e-07
1995,1.0844901643380922e-09,1.6375802136536777e-07
1996,1.6014276571496566e-09,1.7402179963710296e-07
1997,2.3974471297094624e-09,1.3521601971433483e-07
1998,3.3376904573501065e-09,1.5687144916398665e-07
1999,2.2851005809787495e-09,1.8052294592507678e-07
2000,4.418031607222872e-09,1.4579503826439577e-07
2001,1.7524847129024579e-09,1.6867665486586247e-07
2002,6.571832134039113e-09,1.5991458024444682e-07
2003,3.7502307925763034e-09,1.766775241662799e-07
2004,3.0833539332864035e-09,1.7134637886329074e-07
2005,3.15262471684008e-09,1.7114248862526438e-07
2006,1.2353669753828456e-09,1.733631691536175e-07
2007,3.1955835755326234e-09,1.905366708854217e-07
2008,3.8316958494988285e-09,1.5667377795125503e-07
2009,1.430457752249481e-09,1.745158515475964e-07
2010,1.8895172093635892e-09,1.809212673009597e-07
2011,3.0591775501687124e-09,1.5945963482977277e-07
2012,4.085103283424374e-09,1.5795732366541415e-07
