year,mon_DET an_NOUN,mon_DET camp_NOUN
1800,1.8864986461863964e-08,6.728511978693064e-07
1801,1.6668278313147766e-08,4.6433061129391717e-07
1802,1.3427040812530322e-08,1.8350289110458107e-07
1803,4.290746247193056e-08,5.480453069139912e-07
1804,7.4155528384522995e-09,1.2112069214254007e-07
1805,1.1371510844071508e-08,1.904728037516179e-07
1806,1.152667650217154e-08,8.78909077073331e-07
1807,2.562259604488304e-08,2.0213381901612593e-07
1808,1.5862517521725295e-08,2.4700207745809166e-07
1809,1.129515236897305e-08,2.0557178004310117e-07
1810,2.3401267590372754e-09,4.516444676028186e-07
1811,1.7549537378869218e-08,2.4067935555649456e-07
1812,1.0668832928217853e-08,3.440698606027581e-07
1813,1.4378708224072057e-08,3.364617704448847e-07
1814,2.5173417128598885e-08,4.782949147852378e-07
1815,3.236668266737297e-08,7.282503844407984e-08
1816,1.1588019432906549e-08,1.0197457100957763e-07
1817,4.670620334934483e-09,3.643083914539602e-07
1818,1.4305412632253933e-08,1.1801965804636438e-07
1819,6.210630232317271e-09,3.5711122681192364e-07
1820,2.254631414899677e-08,1.886770446546393e-07
1821,2.7612166775270452e-08,3.5994432323604997e-07
1822,7.017931125119503e-09,3.478888714880668e-07
1823,5.929612023614084e-09,3.211873234043594e-07
1824,1.1789557774477544e-08,1.894750383257815e-07
1825,1.8491430164857547e-08,3.7863403790083794e-07
1826,1.0569581432307018e-08,3.8755130127299253e-07
1827,3.6869092223668076e-09,2.350404564310793e-07
1828,1.0089531266022078e-08,5.631793034699406e-07
1829,1.5431717126368483e-08,2.3747697819320734e-07
1830,1.8786305178153384e-08,1.941251455139792e-07
1831,7.795602829929749e-09,5.145098125325376e-08
1832,1.894195755802741e-08,3.3824922796021895e-07
1833,1.3900354645102198e-08,4.679785945427284e-07
1834,1.0267984462686286e-08,4.237877169188664e-07
1835,1.5126175867408165e-08,3.0781766469090144e-07
1836,1.6129799718100912e-08,2.412749345870324e-07
1837,3.478945576063097e-09,1.7603464086413112e-07
1838,3.1560809521380406e-09,1.6979716122023092e-07
1839,2.9364194964465185e-08,2.712692266371164e-07
1840,9.554533331179726e-09,1.9491246661118566e-07
1841,2.0545755763379248e-08,9.7271311894076e-07
1842,1.0062398025922903e-08,4.5146622529301794e-07
1843,2.953455535692484e-09,1.8724907407952074e-07
1844,4.939705144924034e-09,1.2678576410962705e-07
1845,8.370341586516616e-09,6.807878349945895e-08
1846,1.0538102390711401e-08,3.1789940879711764e-07
1847,4.853901280910122e-09,1.844482460100494e-07
1848,1.3676876908785829e-08,1.528592141752938e-07
1849,1.6758829879393033e-09,4.0221192776357384e-07
1850,8.146795238417326e-09,4.2567004143734266e-07
1851,7.094382858952031e-09,2.682966437905776e-07
1852,1.2370036328590572e-08,1.0026240149230148e-07
1853,1.4332636411040767e-08,1.9587936139764395e-07
1854,1.1950028522278444e-08,1.8756348918458343e-07
1855,1.3798036491152743e-08,2.902894564726921e-07
1856,1.7602442614617075e-08,9.370712533707248e-08
1857,9.763018116171196e-09,2.7141190095392176e-07
