year,en_ADP ours_NOUN,en_ADP courses_NOUN
1800,2.829747991484055e-08,1.1004575384276905e-07
1801,7.619784270218588e-08,1.5477687043130572e-07
1802,8.503792514602537e-08,8.503792514602537e-08
1803,2.3404069793286908e-08,5.460949736857401e-08
1804,8.404293083685843e-08,5.6852570651244605e-08
1805,6.538618513296512e-08,2.2743021688143017e-08
1806,6.339671898558663e-08,3.1698359492793315e-08
1807,5.693910054560547e-08,1.7081731584767113e-08
1808,3.852325747288887e-08,9.064296158101115e-08
1809,5.873479480555943e-08,1.7168632382436044e-07
1810,3.978215445954447e-08,3.7442028588685616e-08
1811,5.0141537144554604e-08,6.769107585569145e-08
1812,2.6672083208723052e-08,7.734903562095496e-08
1813,9.777521370324394e-08,5.463909147351842e-08
1814,3.776012391654149e-08,5.034683425719777e-08
1815,2.1577788444915313e-08,1.780167480092132e-07
1816,1.1588019432906549e-08,4.4034472068688046e-08
1817,1.8682481339737933e-08,6.227493543065066e-08
1818,2.861082504246326e-08,3.695565098382758e-08
1819,3.726378139390363e-08,9.626476327184719e-08
1820,4.6279275522920216e-08,2.254631414899677e-08
1821,2.8598315604533298e-08,1.1735171057125626e-07
1822,1.7043547018147365e-08,5.9151133768864383e-08
1823,3.063632902922109e-08,1.1661570198384652e-07
1824,4.884245186076441e-08,8.000056972434777e-08
1825,4.6668848341369085e-08,1.4705089457223153e-07
1826,7.222546827279075e-08,1.4357014777033328e-07
1827,3.7790819362726324e-08,9.309445658800541e-08
1828,4.861319524707142e-08,1.0272977135628025e-07
1829,3.8579290873030914e-08,6.944272323838874e-08
1830,3.861629238599562e-08,1.0332467481610763e-07
1831,2.8064171431196883e-08,7.63969114636609e-08
1832,6.764984572527055e-09,6.494385040856088e-08
1833,6.834341093053808e-08,1.0193593347196384e-07
1834,9.521221500108368e-08,9.521221500108368e-08
1835,3.6302822081779595e-08,9.529490796467144e-08
1836,4.9061476659062464e-08,1.3239878171589226e-07
1837,5.4967337348443834e-08,7.305785487687899e-08
1838,3.1560809077291196e-08,1.58435262465062e-07
1839,3.705481976812308e-08,7.760537101830778e-08
1840,3.3759349093998026e-08,8.280594981924239e-08
1841,3.5955071808757566e-08,1.1043343306482711e-07
1842,5.0982812638267205e-08,9.59281916124155e-08
1843,7.206431718032036e-08,9.982679927134086e-08
1844,5.269018737985576e-08,1.158086448960205e-07
1845,5.412821058037309e-08,9.76539880070959e-08
1846,3.33706573485415e-08,1.2587177877776412e-07
1847,1.941560512364049e-08,8.197699941092651e-08
1848,4.183515400768556e-08,9.895622810063287e-08
1849,7.29009101974043e-08,8.798385664476882e-08
1850,2.647708452485631e-08,8.96147440698769e-08
1851,2.644269869733762e-08,1.0061124799953802e-07
1852,4.231854688896419e-08,8.007970819789989e-08
1853,3.105404622338881e-08,1.0331442346078745e-07
1854,3.4291385730966795e-08,1.0391328952863432e-07
1855,4.6701046585440054e-08,9.923972399406011e-08
1856,2.692138334481342e-08,6.005539476827693e-08
1857,3.417056260168749e-08,2.2064421045797644e-07
1858,2.5447115470367265e-08,1.0080972406845135e-07
1859,4.379269125109886e-08,7.485494535330872e-08
1860,4.943358467013326e-08,8.147387098311754e-08
1861,4.008569121083383e-08,1.0139321915403343e-07
1862,1.581295272501393e-08,9.849210164114552e-08
1863,3.296449690992631e-08,8.041339327746755e-08
1864,3.7878351788478426e-08,9.205877793405648e-08
1865,2.0239431075541603e-08,1.030798939538613e-07
