year,ton_DET art_NOUN
1959,5.8130607105688625e-08
1960,7.543708435697738e-08
1961,7.642975075050629e-08
1962,7.800606605101734e-08
1963,8.341208612705486e-08
1964,6.50984610661709e-08
1965,9.411914803081345e-08
1966,6.646889727512928e-08
1967,9.416940738304902e-08
1968,1.1003968580780565e-07
1969,7.720988026704845e-08
1970,6.944074648629339e-08
1971,8.68389200547881e-08
1972,7.643918831234942e-08
1973,6.781240990960669e-08
1974,5.45680457486597e-08
1975,5.140332115516344e-08
1976,5.942067782260807e-08
1977,5.289103621741731e-08
1978,6.534650753842186e-08
1979,4.857137991809424e-08
1980,5.969408412020982e-08
1981,6.452060508088664e-08
1982,7.200702611953602e-08
1983,6.189009904566944e-08
1984,6.610869629497529e-08
1985,6.196024626703434e-08
1986,4.8555334031252784e-08
1987,3.972031037413615e-08
1988,6.536243479793313e-08
1989,6.585746525900049e-08
1990,5.612110332009479e-08
1991,7.971592363986701e-08
1992,5.509944034365333e-08
1993,4.92989451483794e-08
1994,4.747434001473039e-08
1995,7.211859487377126e-08
1996,6.832757737385009e-08
1997,5.8497714561234204e-08
1998,6.723062084823539e-08
1999,4.4787970221449314e-08
2000,6.008522879241696e-08
2001,8.324302136486494e-08
2002,8.543381557757357e-08
2003,5.792023016759629e-08
2004,7.840528359892573e-08
2005,7.025849280140051e-08
2006,7.535738788533308e-08
2007,7.230007925684845e-08
2008,7.833689097402896e-08
2009,7.533744095233885e-08
2010,7.274641022902983e-08
2011,6.730190538206671e-08
2012,9.804247835809576e-08
2013,1.0738131361875958e-07
2014,1.2343037236739463e-07
2015,1.241282230335372e-07
2016,1.4872221498762883e-07
2017,9.30776167251679e-08
2018,1.1771488384049178e-07
2019,1.410696228720809e-07
