year,en_ADP ânes_NOUN,en_ADP anes_NOUN,en_ADP cane_NOUN
1800,6.288328968651058e-09,0.0,0.0
1801,2.3811825844433088e-09,0.0,0.0
1802,2.2378401354217203e-09,0.0,8.951360541686881e-09
1803,2.145373123596528e-08,0.0,5.851017448321727e-09
1804,3.213406074564773e-08,0.0,4.943701892301533e-09
1805,1.7057265822018053e-08,0.0,2.842877711017877e-09
1806,8.645007376628655e-09,0.0,0.0
1807,0.0,0.0,2.8469551160981155e-09
1808,0.0,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,0.0,6.7770915546105925e-09
1810,4.680253518074551e-09,0.0,0.0
1811,5.515568801683912e-08,0.0,2.5070767684098882e-09
1812,0.0,0.0,5.3344164641089264e-09
1813,1.4378708002027452e-08,0.0,2.8757416448144113e-09
1814,0.0,0.0,0.0
1815,0.0,0.0,0.0
1816,4.6352077731626196e-08,0.0,0.0
1817,4.670620334934483e-09,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0,1.1921177378582115e-09
1819,3.001804671498576e-08,0.0,1.035105001712111e-09
1820,7.119888678630559e-09,0.0,2.3732962262101864e-09
1821,7.88919063410276e-09,0.0,0.0
1822,6.015369535816717e-09,0.0,4.010246357211145e-09
1823,9.882686891060644e-10,0.0,3.9530747564242574e-09
1824,5.894778887238772e-09,8.421112696055388e-10,8.421112696055388e-10
1825,8.805443485471187e-09,4.4027217427355936e-09,8.805443485471187e-09
1826,3.170874407487645e-08,0.0,3.5231937367541377e-09
1827,9.217273166939322e-09,0.0,2.7651818612639545e-09
1828,2.2013523448549677e-08,0.0,1.8344602503717056e-09
1829,2.571952872898464e-09,0.0,1.714635211591542e-09
1830,2.0873671680021744e-09,2.0873671680021744e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,0.0,3.1182412207897414e-09
1832,3.92369123858316e-08,0.0,0.0
1833,6.950177322551099e-09,1.1583628500844156e-09,4.6334514003376626e-09
1834,1.213489042584115e-08,0.0,0.0
1835,4.5378527602224494e-09,0.0,3.781543966852041e-09
1836,4.032449929525228e-09,0.0,5.3765999430410716e-09
1837,1.3915781860163179e-09,0.0,2.087367279024477e-09
1838,1.8936485712828244e-09,0.0,2.5248647617104325e-09
