year,aucun_DET art_NOUN
1800,4.653363534501409e-07
1801,3.262220005240124e-07
1802,3.6924362234458386e-07
1803,4.07620897036054e-07
1804,4.2763021212977037e-07
1805,2.9281640467893055e-07
1806,2.9969358461556794e-07
1807,3.672572095325677e-07
1808,2.9232354936681304e-07
1809,3.3885456618421017e-07
1810,4.3292344242829017e-07
1811,4.4876673888083474e-07
1812,2.90725702623007e-07
1813,3.422132679453682e-07
1814,2.3285410222229075e-07
1815,1.3486118088934518e-07
1816,3.082413133626005e-07
1817,3.3472779537024877e-07
1818,3.6359591715218187e-07
1819,4.3681430617059647e-07
1820,4.010870533477373e-07
1821,4.3094705048929427e-07
1822,3.699452264527281e-07
1823,2.678208073092492e-07
1824,2.4673860465895814e-07
1825,3.592620760883847e-07
1826,3.223722221390446e-07
1827,3.5763018146894865e-07
1828,2.9993424277563463e-07
1829,3.523575387021083e-07
1830,3.7572610267488926e-07
1831,2.9311467653059253e-07
1832,3.0036533260613396e-07
1833,1.8881314345353672e-07
1834,2.389639881528183e-07
1835,2.942041064102341e-07
1836,1.6197008106955124e-07
1837,2.824903803100298e-07
1838,2.2155688839120558e-07
1839,2.0834595781948906e-07
1840,2.8217719427736654e-07
1841,2.0353138996398457e-07
1842,1.9923546545896897e-07
1843,2.539971799553342e-07
1844,1.822202317924848e-07
1845,2.2209307015685908e-07
1846,2.3183824837680334e-07
1847,1.828302798045911e-07
1848,2.1239385716853576e-07
1849,1.4831564332240532e-07
1850,1.5886250626095944e-07
1851,1.7413484876271923e-07
1852,2.0247796683747765e-07
1853,1.8931023682000614e-07
1854,2.2445271019577717e-07
1855,2.0909331510665652e-07
1856,1.863788181566406e-07
1857,1.5279123666278593e-07
1858,1.83023488753431e-07
1859,1.7669841834155875e-07
1860,1.6477862008201782e-07
1861,1.8863855422157627e-07
1862,1.3870218484868246e-07
1863,2.0627783570148495e-07
1864,2.008991043522812e-07
1865,2.0663046895741388e-07
1866,1.552130568516219e-07
1867,1.572310885933348e-07
1868,1.556060259533254e-07
1869,1.9582912436089117e-07
1870,1.9438425535867054e-07
1871,1.0621176937952725e-07
1872,1.390888025865067e-07
1873,1.7060113011169165e-07
1874,1.0455565763178853e-07
1875,1.7279011910176223e-07
1876,1.6384699641491807e-07
1877,2.1399463734361746e-07
1878,1.6788667034361993e-07
1879,1.857234916968764e-07
1880,2.1628142410357043e-07
1881,1.0807386413569375e-07
1882,1.2578677788255277e-07
1883,1.2765064438813312e-07
1884,1.3797546571936437e-07
1885,1.2053338704909322e-07
1886,9.938334233350332e-08
1887,1.2013220995754637e-07
1888,1.0335201872102573e-07
1889,1.1841108510379783e-07
1890,1.1601264154892377e-07
1891,9.688814439634541e-08
1892,1.1157951762541529e-07
1893,8.621783220696955e-08
1894,8.633108894429142e-08
1895,1.0532575256405607e-07
1896,1.1204355349070383e-07
1897,8.448734689636694e-08
1898,9.166534586935171e-08
1899,1.0170744424442546e-07
1900,1.1368406716005808e-07
1901,1.313353630849612e-07
1902,8.789407868192711e-08
1903,1.1934486887632545e-07
1904,1.1286712631175533e-07
1905,1.3159935524642563e-07
1906,9.876834550226476e-08
1907,1.2908537055933422e-07
1908,1.1247080888843186e-07
1909,1.4907664735996917e-07
1910,1.0153886609298723e-07
1911,1.393938030558317e-07
1912,1.3700778056513485e-07
1913,1.2302936053254498e-07
1914,1.2388976272648122e-07
1915,8.482148938782075e-08
1916,5.603605601756101e-08
1917,8.8828034705557e-08
1918,1.1486376294556067e-07
1919,9.944476098144861e-08
1920,1.0298235064709615e-07
1921,1.2419305367439293e-07
1922,1.254249006876762e-07
1923,1.2845297092667352e-07
1924,1.559886618762718e-07
1925,1.4737558440280907e-07
1926,1.1146138234607861e-07
1927,1.5831899013996065e-07
1928,1.2111603975295537e-07
1929,1.7267629814909924e-07
1930,1.165900025412725e-07
1931,1.4028588779524398e-07
1932,1.106913227744144e-07
1933,1.0323595622807602e-07
1934,8.626737901806791e-08
1935,1.436194079218467e-07
1936,8.608547386046439e-08
1937,1.284294091075111e-07
1938,1.0112867465661424e-07
1939,7.952906067032472e-08
1940,1.0143131312645437e-07
1941,9.444808490854939e-08
1942,1.3047110769548453e-07
1943,1.0741970335459428e-07
1944,9.960876923287287e-08
1945,1.0674669725929675e-07
1946,1.3225049233511754e-07
1947,1.2516914438265303e-07
1948,1.195907692874698e-07
1949,1.079870938225369e-07
1950,1.7122931272872677e-07
1951,1.343336608616852e-07
1952,8.435843434906332e-08
1953,7.972632332098328e-08
1954,1.3974726598142695e-07
1955,9.948744406074184e-08
1956,1.0203735567593242e-07
1957,1.0425344570963446e-07
1958,1.1002083688538278e-07
1959,8.990867128577662e-08
1960,1.1696208446210221e-07
1961,1.202031551517102e-07
1962,8.561641068327575e-08
1963,1.0862969590519356e-07
1964,1.0342746203928499e-07
1965,1.203849511743904e-07
1966,1.1465885085826244e-07
1967,1.1191861559733951e-07
1968,1.365390422392032e-07
1969,1.0309790177132072e-07
1970,9.519360721910175e-08
1971,1.0482331003203171e-07
1972,8.977756915662383e-08
1973,7.167165272381482e-08
1974,8.944658813625495e-08
1975,9.652401367077346e-08
1976,9.770130993125292e-08
1977,9.285315594187438e-08
1978,6.891085968518951e-08
1979,6.378651140614977e-08
1980,7.959210823749174e-08
1981,5.3134616706529414e-08
1982,6.704102306631654e-08
1983,7.830991766155648e-08
1984,9.742334017293075e-08
1985,6.075713732123234e-08
1986,7.91272044553537e-08
1987,6.538574182091139e-08
1988,7.735554219401308e-08
1989,8.341945556544772e-08
1990,7.30119225078596e-08
1991,7.385446210150803e-08
1992,8.154717368036302e-08
1993,9.85978948486732e-08
1994,9.600366523976334e-08
1995,7.69987997806254e-08
1996,8.38080458365198e-08
1997,8.822605512825987e-08
1998,8.296544751207335e-08
1999,9.094700170741987e-08
2000,9.14532525264633e-08
2001,7.886181146998794e-08
2002,8.981503873961572e-08
2003,8.583861516031632e-08
2004,1.0439355585534216e-07
2005,7.656373968156771e-08
2006,1.0582977089113044e-07
2007,8.907688880954723e-08
2008,7.450519684537582e-08
2009,7.867517748394448e-08
2010,7.227403231446772e-08
2011,5.50651959307924e-08
2012,4.8340386804568425e-08
2013,5.85716266598979e-08
2014,6.77784330466169e-08
2015,8.511649429721047e-08
2016,8.658201444688984e-08
2017,5.006066641777274e-08
2018,6.918330824889907e-08
2019,7.091745740650524e-08
