year,son_DET anneau_NOUN,son_DET canot_NOUN
1800,4.0559722869204506e-07,4.0559721092847667e-07
1801,4.5956822702919453e-07,6.667311254204833e-07
1802,5.527465418708744e-07,3.4910306112578837e-07
1803,6.14356834516272e-07,3.2765700108683404e-07
1804,3.806650581417159e-07,3.485309754136523e-07
1805,5.856328115783072e-07,3.951600096030461e-07
1806,6.887189076820732e-07,4.0055199690414156e-07
1807,5.409214809404261e-07,3.7864503088513857e-07
1808,5.778488798569015e-07,2.583324487659411e-07
1809,4.698783335754797e-07,4.721373727534228e-07
1810,7.13738633972838e-07,2.9953622515677125e-07
1811,6.142338362380428e-07,1.855236746450828e-07
1812,5.361088710742479e-07,1.4669645764797679e-07
1813,4.1410678375264354e-07,2.530652523091703e-07
1814,7.70935908445125e-07,8.496028414128887e-08
1815,4.935919362125674e-07,3.3445573421886365e-07
1816,4.449799551053957e-07,3.4300536277953597e-07
1817,4.997563678443839e-07,1.8526794143269854e-07
1818,5.018815703028423e-07,1.7643341898576637e-07
1819,4.906397794712802e-07,2.4117946506585497e-07
1820,5.636578297441019e-07,2.3495633172387898e-07
1821,6.87345761529734e-07,1.7553449616070083e-07
1822,5.694549827239825e-07,2.165533032894018e-07
1823,5.178527784366338e-07,3.073515699725249e-07
1824,4.008449518977386e-07,2.4673859133628184e-07
1825,6.040533717666108e-07,2.3598586817996647e-07
1826,3.928360950977705e-07,3.1180265747110525e-07
1827,5.023413904292617e-07,3.0785692461954284e-07
1828,5.374968496951738e-07,3.797332741584114e-07
1829,3.806490243007943e-07,3.695039003659417e-07
1830,4.5817710514484133e-07,2.5361510869181814e-07
1831,3.367700571743626e-07,4.271990352577859e-07
1832,4.573129528395725e-07,3.6530916158739046e-07
1833,5.189465737132082e-07,6.452080931751425e-07
1834,4.956635804020948e-07,3.8924994338884744e-07
1835,6.042907330083835e-07,4.507600408487633e-07
1836,5.282509658033341e-07,2.4329115166921156e-07
1837,5.38540746219951e-07,3.7503032546126747e-07
1838,5.06235407593536e-07,1.8305269122720347e-07
1839,5.614154474642419e-07,2.9783683430650854e-07
1840,4.7071998610093146e-07,2.3313061203733554e-07
1841,4.166936000693511e-07,2.433388033296069e-07
1842,5.165364092007962e-07,2.2539771249441287e-07
1843,5.209895502789053e-07,2.4041128421359304e-07
1844,5.351347303061971e-07,2.0197905237218094e-07
1845,5.189611920752846e-07,3.0635452086258397e-07
1846,6.29358900994248e-07,2.769178988337728e-07
1847,5.679064463137706e-07,2.5833540462372184e-07
1848,4.296148290450219e-07,1.432049430150073e-07
1849,3.385283504631076e-07,1.7429182719297387e-07
1850,4.602939265296868e-07,2.281102604584362e-07
1851,4.463011693545127e-07,3.643932824370921e-07
1852,4.817803702650281e-07,2.8776610072611675e-07
1853,5.350850944552121e-07,1.9946251761382428e-07
1854,4.6605109549346935e-07,1.5846776157957265e-07
1855,5.439610397672823e-07,1.9104973603134567e-07
1856,4.918330007708249e-07,2.2469001564884294e-07
1857,5.067006636494398e-07,1.903788557910957e-07
1858,5.436873804498532e-07,3.1368463782044387e-07
1859,5.005606551478081e-07,2.3322153896998543e-07
1860,5.579587276649534e-07,2.4442162738225193e-07
