year,pouvaient_VERB être_VERB,pouvaient_VERB etre_VERB,pouvaient_VERB naître_VERB
1800,3.939638190786354e-06,0.0,3.144164395507687e-08
1801,3.709882548719179e-06,1.4287095950749062e-08,3.809892135109294e-08
1802,3.090457312282524e-06,0.0,5.370816325012129e-08
1803,3.346782023072592e-06,3.900678446910888e-09,7.996391104825307e-08
1804,5.218077149038436e-06,2.4718509461507665e-09,7.168367943677367e-08
1805,4.207458914606832e-06,1.421438877713399e-08,6.538618890772341e-08
1806,4.008401901955949e-06,1.4408345627714425e-08,4.3225035994964855e-08
1807,7.4590225267456844e-06,1.4234775136401367e-08,7.686778502602465e-08
1808,4.090263701073127e-06,1.3596443970698147e-08,1.2690014727922971e-07
1809,5.79441348236287e-06,1.3554183553310395e-08,9.487928309681593e-08
1810,5.206782134337118e-06,2.3401267590372754e-09,7.254392642153107e-08
1811,5.849009994562948e-06,1.0028307073639553e-08,7.52123057168319e-08
1812,6.702694463456282e-06,5.3344164641089264e-09,1.4936365744233626e-07
1813,6.415779807866784e-06,5.751483289628823e-09,8.627225156487839e-08
1814,5.308444542606594e-06,6.293354282149721e-09,5.349351184236184e-08
1815,6.281833520915825e-06,2.697223555614414e-09,2.4275012222574333e-08
1816,5.499673989106668e-06,1.622322720606917e-08,5.7940098940889584e-08
1817,6.073363238101592e-06,9.341240669868967e-09,8.251429051142622e-08
1818,6.61386911815498e-06,1.0729059418679299e-08,1.2994082965178677e-07
1819,7.000415280344896e-06,3.1053151161586356e-09,1.428444846851562e-07
1820,7.060556072246982e-06,1.0679833017945839e-08,1.5426425648001896e-07
1821,7.573622951895231e-06,1.4792232327920374e-08,1.8835442006093217e-07
1822,8.383420208701864e-06,6.015369535816717e-09,1.1529458276982041e-07
1823,8.002999493328389e-06,6.917880934764753e-09,1.324279992331867e-07
1824,8.00426732894266e-06,5.052667617633233e-09,9.515857612996115e-08
1825,7.0989481173455715e-06,2.641632912414593e-09,1.1799293986314296e-07
1826,7.849675967008807e-06,6.1655889282974385e-09,1.3123896280831104e-07
1827,9.249533832189627e-06,7.373818444733615e-09,1.0507691428074395e-07
1828,9.425456482858863e-06,8.255071293206129e-09,1.2657775982916064e-07
1829,9.702263014332857e-06,7.715858174606183e-09,1.5517449014623708e-07
1830,9.429681085748598e-06,7.305785310052215e-09,1.2106730196137505e-07
1831,7.702055881964043e-06,1.7150327380477393e-08,9.978371906527173e-08
1832,8.799892384558916e-06,2.705993873419743e-09,7.576782934393123e-08
1833,8.21858429844724e-06,8.108539617524002e-09,9.498575082034222e-08
1834,8.859403351380024e-06,6.534171426153534e-09,1.4095141409598e-07
1835,7.98283963376889e-06,1.1344631900556124e-08,1.3008511245971022e-07
1836,7.956024091981817e-06,1.4113575197427508e-08,9.409050250042128e-08
1837,8.56446786201559e-06,1.6003149028165353e-08,9.671468603755784e-08
1838,8.98220605449751e-06,1.1361890983607736e-08,7.32210807541378e-08
1839,8.819745744403917e-06,2.866504900111977e-08,1.3493547612597467e-07
1840,9.589566616341472e-06,1.6561189752906103e-08,1.1019561441116821e-07
1841,9.142218914348632e-06,1.6051371787284552e-08,1.5024083666048682e-07
1842,8.934067409427371e-06,1.8112315203211438e-08,1.5294844502022897e-07
1843,8.766446626395918e-06,2.4809025944705354e-08,1.0632439995106324e-07
1844,9.74439171841368e-06,1.2074834465636286e-08,1.679499774809301e-07
1845,1.006059301289497e-05,1.562463758375543e-08,1.1104653907523243e-07
1846,9.479022992309183e-06,1.2879903366069811e-08,1.299699334822435e-07
1847,9.89602631307207e-06,2.3190860787281053e-08,1.580214501473165e-07
1848,1.0130543159903027e-05,1.367687652020777e-08,1.7055870671356388e-07
1849,9.939662049873732e-06,1.508294644736452e-08,1.466397634430905e-07
1850,9.095896530197933e-06,1.3577992064028876e-08,1.0658723681444826e-07
1851,9.556133591104299e-06,1.2898877521649865e-08,1.238292242078387e-07
1852,8.598477506893687e-06,1.1067927019325907e-08,1.5560203792119864e-07
1853,8.433562470600009e-06,9.555090940693844e-09,1.1884144157647825e-07
1854,7.778949111525435e-06,1.3508727469968562e-08,1.4599817177440855e-07
1855,8.557435648981482e-06,1.8043586180738203e-08,1.1993677162536187e-07
1856,8.4414068624028e-06,1.1907535402144731e-08,1.5220936688820075e-07
1857,8.44940404931549e-06,1.122747050885664e-08,1.508386304749365e-07
1858,8.391675692109857e-06,1.1744822003834088e-08,1.3212925864536373e-07
1859,8.560961759940255e-06,1.171199848215565e-08,1.2985042019408866e-07
1860,8.281956979772076e-06,1.1442959468865865e-08,1.1488731388453743e-07
1861,8.293021892313845e-06,7.073945429425521e-09,8.724532563064713e-08
1862,8.236288522311952e-06,9.939570055905733e-09,1.093352679504278e-07
1863,8.339517989952583e-06,9.489779628779615e-09,1.1787304998733816e-07
1864,7.597725925734267e-06,9.589456340108882e-09,1.1315557912894292e-07
1865,8.153666385624092e-06,1.1767110841276462e-08,8.048704103202908e-08
1866,8.188339961634483e-06,2.238181906477621e-08,9.877194173668613e-08
