year,voulaient_VERB être_VERB,voulaient_VERB etre_VERB,voulaient_VERB naître_VERB
1800,1.760732146749433e-07,3.144164484325529e-09,0.0
1801,1.9525697325661895e-07,0.0,0.0
1802,1.4098392853156838e-07,0.0,0.0
1803,1.7748087088875764e-07,0.0,0.0
1804,2.84262853256223e-07,0.0,0.0
1805,1.7910129201936797e-07,0.0,0.0
1806,1.181484350354367e-07,2.881669125542885e-09,0.0
1807,3.4448157748556696e-07,5.693910232196231e-09,0.0
1808,1.0877155176558517e-07,0.0,0.0
1809,2.1234886560250743e-07,0.0,0.0
1810,1.0764583180389309e-07,0.0,0.0
1811,1.0780430415024966e-07,0.0,0.0
1812,8.001624962616916e-08,0.0,0.0
1813,2.5594101771275746e-07,0.0,0.0
1814,2.3285410577500443e-07,0.0,0.0
1815,3.560334960184264e-07,0.0,0.0
1816,1.7845549393769033e-07,0.0,0.0
1817,2.9113533628333244e-07,1.556873407970727e-09,0.0
1818,3.0875850143274874e-07,0.0,2.384235475716423e-09
1819,3.9230479842444765e-07,1.035105001712111e-09,0.0
1820,4.0108704979502363e-07,1.1866481131050932e-09,0.0
1821,3.1852607662585797e-07,1.97229765852569e-09,0.0
1822,3.819759513135068e-07,5.012807946513931e-09,0.0
1823,3.557767342954321e-07,0.0,0.0
1824,2.6947560627377243e-07,0.0,0.0
1825,3.2051812581812555e-07,0.0,4.4027217427355936e-09
1826,2.9506747978302883e-07,0.0,0.0
1827,3.3274355359935726e-07,9.217273055917019e-10,0.0
1828,3.3570623259038257e-07,0.0,0.0
1829,3.93508770457629e-07,0.0,0.0
1830,2.4422195110673783e-07,0.0,0.0
1831,2.9155555125726096e-07,3.1182412207897414e-09,0.0
1832,4.51900973530428e-07,4.058990921151917e-09,0.0
1833,2.837988972714811e-07,0.0,0.0
1834,3.957840988277894e-07,9.334530925997342e-10,0.0
1835,3.932805725526123e-07,7.563087933704082e-10,0.0
1836,3.2394015647696506e-07,4.704525213838906e-09,0.0
1837,4.7452815010728955e-07,6.957890930081589e-10,0.0
1838,4.071344505973684e-07,0.0,3.787297142565649e-09
1839,2.754641172941774e-07,0.0,0.0
1840,4.783636313732131e-07,0.0,0.0
1841,3.6404509273779695e-07,0.0,0.0
1842,4.621994662556972e-07,1.341653010911159e-09,2.0124795163667386e-09
1843,3.579588110369514e-07,1.1813822142769936e-09,1.1813822142769936e-09
1844,4.165817983903253e-07,5.488561272137815e-10,0.0
1845,3.688530796353007e-07,5.580227946389016e-10,0.0
1846,3.893243274433189e-07,0.0,0.0
1847,3.742897263236955e-07,5.393223645455691e-10,0.0
1848,3.7892993987043155e-07,0.0,0.0
1849,3.02496886206427e-07,8.379414939696517e-10,0.0
1850,4.718352215604682e-07,0.0,0.0
1851,3.211820569504198e-07,1.2898877521649865e-09,2.579775504329973e-09
1852,2.8385977657308104e-07,1.3021090872200602e-09,4.557382027314816e-09
1853,3.648850395165937e-07,5.971931837933653e-10,1.1943863675867306e-09
1854,3.29405139609662e-07,5.195664454227256e-10,0.0
1855,3.927133320758003e-07,0.0,5.306937111981824e-10
1856,3.308223881504091e-07,1.0354378465748937e-09,0.0
1857,3.01677260949873e-07,9.763018171682347e-10,0.0
1858,3.748555741367454e-07,0.0,2.4468380654951716e-09
1859,3.864959694510617e-07,0.0,0.0
1860,3.9684184116595134e-07,1.3731551729012637e-09,0.0
1861,3.6784516055377026e-07,0.0,4.715963730639317e-10
1862,3.5917992136091925e-07,0.0,0.0
