year,pourront_VERB ôter_VERB,pourront_VERB noter_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,2.710836710662079e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,0.0,0.0
1821,7.88919063410276e-09,0.0
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,1.3473780313688621e-08,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,2.7651818612639545e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,4.286587973467704e-09,0.0
1830,0.0,0.0
1831,4.677361609140007e-09,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,2.7831563720326358e-09,0.0
1838,0.0,0.0
1839,1.3982950353153e-09,0.0
1840,6.3696887764308485e-09,6.369688665408546e-10
1841,1.0914932957462042e-08,0.0
1842,0.0,0.0
1843,8.269675610961258e-09,0.0
1844,7.683985892015244e-09,5.488561272137815e-10
1845,2.2320911785556063e-09,0.0
1846,0.0,0.0
1847,4.853901280910122e-09,1.0786447290911383e-09
1848,0.0,0.0
1849,1.6758829879393033e-09,1.3407063903514427e-08
1850,0.0,4.752297222410107e-09
1851,6.449438760824933e-10,0.0
1852,0.0,0.0
1853,1.7915795513800958e-09,0.0
1854,2.5978321716024766e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,3.1063134287023786e-09,0.0
1857,0.0,4.881509085841174e-10
1858,9.787352039936081e-10,0.0
1859,1.476730293603623e-08,0.0
1860,4.57718396518203e-09,2.288591982591015e-09
1861,5.659156698811785e-09,0.0
1862,0.0,2.2589932147099034e-09
1863,1.9978483312144135e-09,0.0
1864,2.3973640850272204e-09,0.0
1865,5.6482134525026595e-09,0.0
1866,2.919367858567057e-09,0.0
1867,9.7056229719783e-10,2.426405742994575e-09
1868,2.4699371437009177e-09,0.0
1869,0.0,5.371870948067681e-09
1870,1.1468097582678638e-09,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,5.986004469882289e-10,0.0
1874,2.3898436563030145e-09,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,1.8554447978047506e-09,4.329371083855449e-09
1878,6.039088673581716e-10,6.039088673581716e-10
1879,0.0,6.10932526790009e-10
1880,6.417846254436199e-10,1.2835692508872398e-09
1881,0.0,0.0
1882,2.6621540527571597e-09,0.0
1883,0.0,1.2638677882037541e-09
1884,0.0,6.601696966868076e-09
1885,1.933690763067375e-09,2.5782542767416317e-09
1886,1.936039106809062e-09,0.0
1887,0.0,1.3057849246322917e-09
1888,1.9021844099853524e-09,1.268122939990235e-09
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,4.387958441043338e-09
1893,1.2316833108982905e-09,3.695050043717174e-09
1894,0.0,6.301539290376468e-10
1895,0.0,4.814891596538473e-09
1896,0.0,5.89702897624278e-10
1897,4.661370844871726e-09,2.330685422435863e-09
1898,1.13167097914868e-09,1.13167097914868e-09
1899,1.1055156790007459e-09,2.2110313580014918e-09
1900,0.0,3.633737311048435e-09
1901,0.0,2.794369402536745e-09
1902,0.0,1.4730852093691738e-09
1903,0.0,2.1600881083827517e-09
1904,3.7622376325430196e-09,3.7622376325430196e-09
1905,0.0,5.160758931310738e-09
1906,0.0,5.144184633820714e-09
1907,1.5428529565042481e-09,3.0857059130084963e-09
1908,1.4734167219643268e-09,1.964555629285769e-09
1909,0.0,4.400786846048277e-09
1910,5.344150677544235e-10,2.67207544979442e-09
1911,1.5961122423746588e-09,5.320374141248863e-10
1912,5.209421227725386e-10,4.688478938419394e-09
1913,5.30298971401777e-10,5.30298971401777e-10
1914,6.696743715117748e-10,3.3483718020477227e-09
1915,1.1780761921542648e-09,1.1780761921542648e-09
1916,0.0,4.394984820521586e-09
1917,2.1932848870420685e-09,0.0
1918,0.0,1.1486376294556067e-09
1919,0.0,9.207848372660976e-10
1920,0.0,3.028892692213958e-09
1921,0.0,3.7863738810983705e-09
1922,0.0,1.4755870969551665e-09
1923,2.1231896241147297e-09,1.0615948120573648e-09
1924,0.0,0.0
1925,1.0998177923937646e-09,5.499089184013428e-09
1926,0.0,0.0
1927,1.1149224876660924e-09,4.4596899506643695e-09
1928,0.0,3.4278122562625413e-09
1929,0.0,6.684243825105796e-09
1930,0.0,4.201441416995522e-09
1931,0.0,1.1405356659111021e-09
1932,1.0959536611565568e-09,3.287861094491973e-09
1933,0.0,1.1470662197865522e-09
1934,2.3963160344919743e-09,0.0
1935,0.0,0.0
1936,0.0,1.2124714565686645e-09
1937,0.0,1.2591118148108649e-09
1938,0.0,3.8895642262559704e-09
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,1.1806010391524069e-08
1942,0.0,0.0
1943,0.0,2.9032352077962287e-09
1944,0.0,6.4263723231761105e-09
1945,0.0,2.178504043826024e-09
1946,0.0,2.7842208538686464e-09
1947,1.1920870957027319e-09,4.7683483828109274e-09
1948,2.174377566888097e-09,2.174377566888097e-09
1949,0.0,9.817008317369869e-10
1950,0.0,4.2541445921528975e-09
1951,0.0,2.1322803522849654e-09
1952,0.0,2.1089607837865287e-09
1953,0.0,6.464296653518886e-09
1954,0.0,0.0
1955,0.0,6.569925492527773e-09
1956,0.0,7.849027205963921e-09
1957,0.0,1.7670075402875796e-09
1958,8.272243445794913e-10,3.3088973783179654e-09
1959,0.0,7.750747821333448e-10
1960,6.920833350854139e-10,1.3841666701708277e-09
1961,4.16889545107324e-09,6.948159270159238e-10
1962,0.0,3.805173953708163e-09
1963,1.2932106496776896e-09,1.2932106496776896e-09
1964,0.0,4.867174663303331e-09
1965,0.0,4.924839203113152e-09
1966,2.215629901769489e-09,1.1078149508847446e-09
1967,4.930335584241163e-10,4.930335695263466e-09
1968,0.0,8.982831700699023e-10
1969,1.3625273131978588e-09,1.3625273131978588e-09
1970,4.5987250119061684e-10,9.197450023812337e-10
1971,0.0,2.0553589941130213e-09
1972,5.130146862875051e-10,5.130146862875051e-10
1973,5.513203782392395e-10,4.9618833486420044e-09
1974,2.812785782069227e-09,0.0
1975,0.0,2.2845920710778955e-09
1976,0.0,5.142174241967723e-09
1977,0.0,6.464460078348111e-09
1978,5.940591352171509e-10,3.5643548113029055e-09
1979,0.0,5.851973350345929e-10
1980,5.685150683554241e-10,3.411090521154847e-09
1981,0.0,3.795329828193417e-09
1982,0.0,3.7245013739806154e-09
1983,0.0,1.89459470334441e-09
1984,0.0,5.219107812592938e-09
1985,0.0,2.4062232206745193e-09
1986,0.0,1.7983456945813714e-09
1987,0.0,0.0
1988,1.1993107618124554e-09,1.1993107618124554e-09
1989,0.0,1.0976244357863152e-09
1990,0.0,5.44865097484859e-10
1991,5.861465202094962e-10,2.344586080837985e-09
1992,0.0,0.0
1993,5.539207426075166e-10,1.661762283333701e-09
1994,0.0,2.637463358823311e-09
1995,0.0,2.7112254663563817e-09
1996,0.0,1.067618438099771e-09
1997,4.79489448146353e-10,5.753873377756236e-09
1998,1.43043876743576e-09,1.9072516899143466e-09
1999,0.0,1.3710603763428253e-09
2000,1.3254094488601709e-09,8.836062992401139e-10
2001,0.0,4.3812117822561447e-10
2002,0.0,3.066854992184176e-09
