year,pouvait_VERB être_VERB,pouvait_VERB etre_VERB,pouvait_VERB naître_VERB
1800,1.0929115887847729e-05,9.432493897065797e-09,1.2576657582030748e-07
1801,1.0915340681094676e-05,3.5717739876872656e-08,9.762848662830947e-08
1802,7.830202775949147e-06,1.1189200677108602e-08,7.161088433349505e-08
1803,9.819957995205186e-06,1.3652374342143503e-08,1.1897068930011301e-07
1804,1.4855823792458978e-05,1.9774807569206132e-08,1.878606781247072e-07
1805,1.1149766578455456e-05,1.1371510844071508e-08,6.254330742194725e-08
1806,1.1373947927495465e-05,2.881669125542885e-08,7.204172902675055e-08
1807,1.979487933567725e-05,3.131650672116848e-08,6.263301344233696e-08
1808,1.4092714081925806e-05,6.798222074166915e-08,1.835519896076221e-07
1809,1.5953273759805597e-05,2.9367397402779716e-08,1.1295152546608733e-07
1810,1.5032974260975607e-05,2.3401266702194334e-08,1.591286178381779e-07
1811,1.675980820436962e-05,1.7549536934780008e-08,1.8050953087822563e-07
1812,1.904119926621206e-05,3.200649700829672e-08,1.4669645054254943e-07
1813,1.9232960767112672e-05,1.7254450312975678e-08,1.552900528167811e-07
1814,1.5664158127037808e-05,1.5733386149463513e-08,7.552024783308298e-08
1815,1.8497559722163714e-05,4.5852800667489646e-08,1.0519171667056071e-07
1816,1.461017473047832e-05,2.0858434979231788e-08,7.879853569647821e-08
1817,1.760823761287611e-05,2.0239355080775567e-08,1.1520863552050287e-07
1818,1.813330345612485e-05,2.026600220972341e-08,1.3113294983213564e-07
1819,1.8896877008955926e-05,2.6912729822470283e-08,1.35598753558952e-07
1820,2.0403227608767338e-05,3.085285271708926e-08,1.4595771347103437e-07
1821,2.097144169965759e-05,2.3667571014129862e-08,1.3017164235407108e-07
1822,2.2632828404312022e-05,1.9048670196752937e-08,1.6241497746705136e-07
1823,2.1261612346279435e-05,9.882686669016039e-09,1.5713472123479733e-07
1824,2.1632997231790796e-05,1.9368560089105813e-08,1.440010208852982e-07
1825,2.092701652145479e-05,1.584979791857677e-08,1.0918749637767178e-07
1826,2.201291499659419e-05,8.80798456392995e-09,1.1802698907104059e-07
1827,2.688217682589311e-05,2.3043183361437514e-08,1.9264101069893513e-07
1828,2.660150857991539e-05,4.3109814384934e-08,1.6051527040872315e-07
1829,2.8238328013685532e-05,2.6576845613135447e-08,1.4745862131348986e-07
1830,2.5589033612050116e-05,4.174734158368665e-08,1.982998867333663e-07
1831,2.4543676772736944e-05,3.274153215215847e-08,1.4032085005055706e-07
1832,2.5702882339828648e-05,2.841293600397421e-08,1.677716170433996e-07
1833,2.3866909032221884e-05,2.3167256557599103e-08,2.0039676940086792e-07
1834,2.447980659781024e-05,4.667265329771908e-08,1.7268882857024437e-07
1835,2.309464616701007e-05,4.235329242874286e-08,1.2025310525132227e-07
1836,2.244394454464782e-05,5.9142600150607905e-08,1.384474472843067e-07
1837,2.318021324754227e-05,6.331680424409569e-08,1.2106730196137505e-07
1838,2.414401933492627e-05,5.870310459954453e-08,1.634849979836872e-07
1839,2.3975166186573915e-05,6.432156851587933e-08,1.6919369727474987e-07
1840,2.7250165658188052e-05,5.5416290223320175e-08,2.1975425568143692e-07
1841,2.5836929125944152e-05,5.521671653241356e-08,1.695024849368565e-07
1842,2.6382935175206512e-05,5.769107858100142e-08,2.0124795696574438e-07
1843,2.4003324142540805e-05,4.548321541619771e-08,2.0792326438368036e-07
