year,faut_VERB être_VERB,faut_VERB etre_VERB,faut_VERB naître_VERB
1800,6.143697191873798e-06,3.144164484325529e-09,9.432493897065797e-09
1801,6.248223144211806e-06,3.5717739876872656e-08,7.143547975374531e-09
1802,5.14255680172937e-06,4.475680270843441e-09,0.0
1803,6.145518909761449e-06,1.1702034896643454e-08,0.0
1804,6.931069947313517e-06,4.943701892301533e-09,1.2359254952798437e-08
1805,6.333931651170133e-06,5.685755422035754e-09,5.401467717547348e-08
1806,5.9074218370369636e-06,0.0,8.645007376628655e-09
1807,5.383591997087933e-06,5.693910232196231e-09,5.693910232196231e-09
1808,5.941646122664679e-06,6.798221985349073e-09,4.5321479902327155e-09
1809,5.471371878229547e-06,1.129515236897305e-08,2.9367397402779716e-08
1810,6.149853106762748e-06,4.680253518074551e-09,2.3401266702194334e-08
1811,4.665670076064998e-06,2.5070767684098882e-09,0.0
1812,5.6464796216459945e-06,2.6672082320544632e-09,1.0668832928217853e-08
1813,6.303625468717655e-06,2.8757416448144113e-09,0.0
1814,5.535005129786441e-06,3.4613449440001887e-08,9.440030979135372e-09
1815,4.946708031638991e-06,5.394447111228828e-09,1.0788894222457657e-08
1816,5.532120667339768e-06,4.6352077731626196e-09,1.1588019432906549e-08
1817,6.1107280089345295e-06,3.113746815941454e-09,1.71256075987003e-08
1818,6.570952791662421e-06,2.384235475716423e-09,1.7881765401739358e-08
1819,6.4300720623577945e-06,9.315945015409e-09,6.210630232317271e-09
1820,5.873908321518684e-06,3.5599443393152796e-09,7.119888678630559e-09
1821,7.650543011550326e-06,8.875339130298698e-09,2.7612166775270452e-08
1822,6.207861588336527e-06,7.017931125119503e-09,2.5064039732569654e-08
1823,5.185445843380876e-06,9.882686669016039e-09,3.261286707356703e-08
1824,5.102352133690147e-06,7.57900142644985e-09,7.57900142644985e-09
1825,5.310562755767023e-06,4.4027217427355936e-09,1.0566531649658373e-08
1826,4.701701982412487e-06,2.642395191543301e-09,1.4092774947016551e-08
1827,5.461234195536235e-06,2.7651818612639545e-09,3.6869092223668076e-09
1828,5.5749246712366585e-06,6.420610709767516e-09,1.4675682002973645e-08
1829,5.862337729922729e-06,4.286587973467704e-09,6.858540846366168e-09
1830,5.690163106919499e-06,7.305785310052215e-09,6.262101504006523e-09
1831,5.687672000931343e-06,7.795603274018958e-09,4.677361609140007e-09
