year,devait_VERB être_VERB,devait_VERB etre_VERB,devait_VERB naître_VERB
1800,1.3227499948698096e-05,6.288328791015374e-08,1.540640539587912e-07
1801,1.2108313057979103e-05,2.1430643926123594e-08,5.476719877606229e-08
1802,8.953598808147945e-06,8.951360541686881e-09,5.818384352096473e-08
1803,1.0912148354691453e-05,1.1702034896643454e-08,7.80135707145746e-08
1804,1.6677578969392926e-05,1.4831105232815389e-08,1.8538882784469024e-07
1805,1.281853565160418e-05,3.695740957709859e-08,6.254330742194725e-08
1806,1.4117296814220026e-05,4.8988376022407465e-08,2.3341519295172475e-07
1807,2.4059618226601742e-05,4.27043254092041e-08,1.2811298688575334e-07
1808,1.608912498340942e-05,1.8128591960930862e-08,1.4049658147996524e-07
1809,1.8562453988124616e-05,3.162642769893864e-08,1.3780086760561971e-07
1810,1.853848334576469e-05,2.8081521108447305e-08,1.4508785284306214e-07
1811,2.0377519831527025e-05,2.0056614147279106e-08,1.7048121492280188e-07
1812,2.282596869918052e-05,3.467370746079723e-08,8.535066342574282e-08
1813,2.1780866518383846e-05,2.0130190847567064e-08,1.4953856464217097e-07
1814,1.907830301206559e-05,2.5173417128598885e-08,1.2272040805783035e-07
1815,2.1100380763527937e-05,2.966945977789237e-08,2.0768621311617608e-07
1816,1.8564007405075245e-05,3.476405652236281e-08,1.1819779643928996e-07
1817,2.0961742848157883e-05,2.1796227045456362e-08,1.8371106591530406e-07
1818,2.1930198272457346e-05,2.5034472272977837e-08,1.2755660350194375e-07
1819,2.1927664420218207e-05,2.173720581311045e-08,2.1633694302636286e-07
1820,2.5079807528527454e-05,3.559944161679596e-08,1.6257078527814883e-07
1821,2.415966082480736e-05,2.5639868894700157e-08,1.370746929296729e-07
1822,2.639243393787183e-05,1.5038423839541792e-08,2.2156611123591574e-07
1823,2.571870390966069e-05,1.8777104315859106e-08,1.956772024414022e-07
1824,2.527260221540928e-05,8.421112696055388e-09,1.6758013998696697e-07
1825,2.534382656449452e-05,1.1447076175841175e-08,2.6944655928673455e-07
1826,2.698325988603756e-05,1.9377566218281572e-08,1.2771577928560873e-07
1827,3.188254777342081e-05,2.8573547083965423e-08,1.7881509961625852e-07
1828,3.119041139143519e-05,2.7516904310687096e-08,1.8436325888160354e-07
1829,3.3257922041229904e-05,2.4004892296147773e-08,1.8775256194203394e-07
1830,3.169666888425127e-05,3.235419043789989e-08,1.8786305133744463e-07
1831,3.0212639103410766e-05,4.2096257146795324e-08,2.853190608220757e-07
1832,3.3302665542578325e-05,3.111892965534935e-08,2.1783250758744543e-07
1833,3.1442599720321596e-05,2.0850531967653296e-08,1.8649642186119308e-07
1834,3.28370115312282e-05,3.360431222176885e-08,2.931042786258331e-07
1835,3.0272771255113184e-05,5.596685070941021e-08,2.4504404905201227e-07
1836,2.8118945920141414e-05,6.653542783396915e-08,2.9840128945579636e-07
1837,3.014575850102119e-05,6.888311787633938e-08,2.9501458698177885e-07
1838,3.237760392948985e-05,7.195864526465812e-08,2.9540916557380115e-07
1839,3.180492058163509e-05,8.87917366299007e-08,3.299976185644482e-07
1840,3.645627657533623e-05,5.6690229399691816e-08,2.4141121457432746e-07
1841,3.696695057442412e-05,7.447836480878323e-08,3.8009648051229306e-07
1842,3.712622128659859e-05,6.708265232191479e-08,4.0249591393148876e-07
1843,3.4475095162633806e-05,6.556670939517062e-08,5.144919441590901e-07
1844,3.7007721402915195e-05,6.805815644383983e-08,4.4457345893533784e-07
1845,3.895054760505445e-05,5.524425716885162e-08,3.666209806851839e-07
1846,3.62891260010656e-05,4.6836010625384006e-08,3.822989356194739e-07
1847,3.7039582821307704e-05,8.197699941092651e-08,3.063350959564559e-07
1848,3.655587715911679e-05,6.275273278788518e-08,3.314631271678081e-07
1849,4.1224207961931825e-05,8.630797054820505e-08,2.8322423872850777e-07
1850,3.530345929902978e-05,7.87523504186538e-08,3.1229382102537784e-07
1851,3.5877583286492154e-05,5.546517201082679e-08,3.708427414039761e-07
1852,3.402671427465975e-05,5.859491025717034e-08,3.45709963767149e-07
1853,3.423350062803365e-05,4.18035241978032e-08,3.744401340100012e-07
1854,3.198607009835541e-05,6.182840905921694e-08,3.647356550118275e-07
