year,devrait_VERB être_VERB,devrait_VERB etre_VERB,devrait_VERB naître_VERB
1800,4.074837306689005e-06,1.2576657937302116e-08,0.0
1801,3.66463996215316e-06,2.3811825844433088e-09,0.0
1802,4.475680270843441e-06,6.713520406265161e-09,2.2378401354217203e-09
1803,3.976741481892532e-06,5.851017448321727e-09,0.0
1804,4.125519353692653e-06,0.0,0.0
1805,3.30910961565678e-06,0.0,0.0
1806,3.161190988976159e-06,5.76333825108577e-09,1.4408345627714425e-08
1807,3.561540779628558e-06,0.0,8.540865792383556e-09
1808,4.1061261981667485e-06,6.798221985349073e-09,6.798221985349073e-09
1809,3.6551114135363605e-06,2.259030518203531e-09,1.581321384946932e-08
1810,4.656852070183959e-06,4.680253518074551e-09,5.3822915901946544e-08
1811,4.442540102900239e-06,1.0028307073639553e-08,0.0
1812,7.332155291805975e-06,5.3344164641089264e-09,2.6672082320544632e-09
1813,6.294998456723988e-06,8.627225156487839e-09,0.0
1814,4.7672160690126475e-06,6.293354282149721e-09,0.0
1815,4.064715994900325e-06,1.6183340889597275e-08,1.6183340889597275e-08
1816,4.767311111208983e-06,2.3176038865813098e-09,4.6352077731626196e-09
1817,4.802954663318815e-06,9.341240669868967e-09,0.0
1818,5.179751497053076e-06,5.960588467246453e-09,1.1921177378582115e-09
1819,5.605093519989168e-06,5.175524897538253e-09,1.5526575580793178e-08
1820,5.745750058849808e-06,8.306536791735653e-09,7.119888678630559e-09
1821,6.152582500362769e-06,5.9168927535324656e-09,5.9168927535324656e-09
1822,6.239943104446866e-06,1.303330066093622e-08,1.4035862250239006e-08
1823,5.25165978615405e-06,2.9648061783404955e-09,0.0
1824,5.318774583429331e-06,9.263223965660927e-09,8.421112696055388e-10
1825,6.062547527108109e-06,5.283265824829186e-09,8.805443485471187e-09
1826,6.275688974710647e-06,2.642395191543301e-09,7.0463874735082754e-09
1827,8.290937330457382e-06,3.6869092223668076e-09,3.3182182335167454e-08
1828,7.3681094363564625e-06,5.503380862137419e-09,4.586150570418113e-09
1829,7.988485776877496e-06,6.858540846366168e-09,1.2002446148073886e-08
1830,8.34946877148468e-06,5.218417697960831e-09,2.0873671680021744e-09
1831,9.652515473135281e-06,7.795603274018958e-09,6.236482441579483e-09
1832,9.304560080636293e-06,1.352996914505411e-08,1.8941957335982806e-08
1833,9.095465429709293e-06,9.266902467608418e-09,2.3167257001688313e-09
1834,7.667384124943055e-06,2.14694217959277e-08,6.534171426153534e-09
1835,7.994940460775979e-06,2.0420337421001022e-08,2.2689263801112247e-09
1836,7.26311463949969e-06,1.344150035720304e-08,2.016224964762614e-09
1837,7.078958333295304e-06,1.7394727436226276e-08,9.045257876039159e-09
1838,6.790623956476338e-06,1.1361890983607736e-08,8.837027110075724e-09
1839,7.622805242135655e-06,3.076248944466897e-08,7.690622361167243e-09
1840,7.943638593133073e-06,1.146543943120193e-08,1.0191501864653674e-08
1841,8.904016794986092e-06,1.8619590314017387e-08,9.630822361827995e-09
1842,8.445706043858081e-06,1.609983613093391e-08,7.379091560011375e-09
1843,9.409709491592366e-06,1.594865928211675e-08,2.953455480181333e-09
1844,9.586869964550715e-06,1.811225303072206e-08,9.330554107123135e-09
1845,8.857496140990406e-06,2.1204865419122143e-08,9.48638767539478e-09
1846,8.829759281070437e-06,1.1123552745573306e-08,4.6836010625384006e-09
1847,9.190592209051829e-06,2.1572894581822766e-08,1.7258315665458213e-08
1848,1.0016300620918628e-05,2.333114235142375e-08,1.126331028444838e-08
1849,9.9539065558929e-06,2.011059629936085e-08,1.005529792763582e-08
1850,8.378299753530882e-06,1.6972489191857676e-08,1.5614691761811628e-08
1851,8.469402928312775e-06,1.3543821175687754e-08,1.0319102017319892e-08
1852,8.21240246295929e-06,1.4974254725075298e-08,3.2552727180501506e-09
1853,7.6189908213564195e-06,1.2541057081705276e-08,1.3138249599364826e-08
1854,8.228893420891836e-06,1.454786069388092e-08,2.0782657816909023e-09
1855,8.001268724910915e-06,1.751289246954002e-08,1.1144567935161831e-08
1856,8.205845006159507e-06,1.6049286344355096e-08,1.5531567143511893e-08
1857,7.6200358307687566e-06,1.3180074809326925e-08,1.513267733344037e-08
1858,7.868541615607683e-06,1.3702292633865909e-08,9.297984604472731e-09
1859,8.722892744117416e-06,1.4258085823115607e-08,4.073738679721828e-09
1860,7.96841959527228e-06,1.4646988510946812e-08,1.830873586072812e-08
1861,8.275573236460332e-06,1.1789909493131745e-08,8.488735048217677e-09
1862,7.858585377107374e-06,9.035972858839614e-09,9.939570055905733e-09
1863,8.288573553727474e-06,2.0977406700595225e-08,7.491931519609807e-09
1864,7.864792678446975e-06,1.6781547818034426e-08,1.4863656971897399e-08
