year,devront_VERB être_VERB,devront_VERB etre_VERB,devront_VERB naître_VERB
1800,4.037107373733306e-06,0.0,0.0
1801,2.1764008124591783e-06,9.524730337773235e-09,0.0
1802,2.2848348635307048e-06,0.0,0.0
1803,2.2155852548166877e-06,3.900678446910888e-09,0.0
1804,3.0700389288540464e-06,0.0,2.4718509461507665e-09
1805,3.2266661946778186e-06,8.528632911009026e-09,0.0
1806,6.737342573615024e-06,1.729001475325731e-08,0.0
1807,5.440531367639778e-06,1.4234775580490577e-08,0.0
1808,4.989894932805328e-06,1.8128591960930862e-08,0.0
1809,4.714596798294224e-06,2.25903047379461e-08,0.0
1810,5.305067588778911e-06,9.360507036149102e-09,0.0
1811,7.969996659085155e-06,1.0028307073639553e-08,0.0
1812,5.867857908015139e-06,2.9339290108509886e-08,0.0
1813,7.4079102887480985e-06,1.7254450312975678e-08,0.0
1814,5.053563654655591e-06,6.293354282149721e-09,0.0
1815,5.556280484597664e-06,5.394447111228828e-09,0.0
1816,7.101138180587441e-06,9.270415546325239e-09,0.0
1817,5.241992766968906e-06,7.784366928831332e-09,0.0
1818,5.54215557713178e-06,1.4305412854298538e-08,0.0
1819,5.064768629381433e-06,1.449147024601416e-08,0.0
1820,3.858979653159622e-06,1.1866481131050932e-09,0.0
1821,3.6941135022061644e-06,1.2819934447350079e-08,0.0
1822,4.240835551172495e-06,5.012807946513931e-09,5.012807946513931e-09
1823,4.239672762196278e-06,3.9530747564242574e-09,0.0
1824,4.2484512050577905e-06,5.894778887238772e-09,0.0
1825,3.796026476265979e-06,3.522177216552791e-09,8.805443041381977e-10
1826,5.952435913059162e-06,4.403992281964975e-09,1.7615968683770689e-09
1827,6.296319043030962e-06,6.452091028119611e-09,7.373818444733615e-09
1828,5.420829893409973e-06,1.1006761724274838e-08,5.503380862137419e-09
1829,6.1701148297288455e-06,1.7146351893870815e-08,0.0
1830,5.385407348512672e-06,4.174734336004349e-09,1.0436835840010872e-09
1831,7.195341822807677e-06,1.2472964883158966e-08,0.0
1832,6.158842097647721e-06,1.352996914505411e-08,1.3529969367098715e-09
1833,7.744813956378493e-06,1.7375443306377747e-08,0.0
1834,7.439621185767464e-06,1.3068342852307069e-08,0.0
1835,6.586693416466005e-06,9.075705520444899e-09,4.5378527602224494e-09
1836,7.318224561458919e-06,1.6129800772812786e-08,1.3441500135158435e-09
1837,6.524414402520051e-06,1.6698937344017395e-08,4.174734336004349e-09
1838,6.346247573674191e-06,1.199310784016916e-08,0.0
1839,7.215901405288605e-06,1.677954131196202e-08,4.894032734625853e-09
1840,6.279239187279018e-06,2.293087852933695e-08,3.1848443882154243e-09
1841,6.909152489242842e-06,1.6693427085101575e-08,3.2102742686390684e-09
1842,6.316502549452707e-06,1.8112315203211438e-08,1.341653010911159e-09
1843,7.531902156188153e-06,2.4809025944705354e-08,1.7720733769266417e-09
1844,6.4051509980345145e-06,1.866110821424627e-08,2.7442805805577564e-09
1845,8.205724952858873e-06,2.7901139176833567e-08,5.580227946389016e-10
1846,7.99783447291702e-06,3.1614305839866574e-08,0.0
1847,8.228980732383206e-06,2.9662729161827883e-08,1.0786447290911383e-09
1848,9.728281838761177e-06,3.861706332486392e-08,1.6090443422100975e-09
1849,9.466225492360536e-06,2.513824526317876e-08,8.379414495607307e-09
1850,8.364721907128114e-06,2.1045888587423178e-08,1.3577992064028876e-09
1851,8.214004992623813e-06,3.8696633453128015e-08,1.6123596680017727e-08
1852,9.381044947076589e-06,4.6224873262445954e-08,1.3021090872200602e-09
1853,7.804717824910767e-06,3.4637203327747557e-08,5.971931837933653e-10
1854,7.290556368388934e-06,3.53305187883457e-08,2.5978321716024766e-09
1855,6.62518050376093e-06,2.4411910715116392e-08,1.0613874223963649e-09
1856,6.567782293132041e-06,3.2616291889553395e-08,1.0872097000458325e-08
1857,6.36646427665255e-06,2.001418764052687e-08,4.881509085841174e-10
1858,6.172882876853691e-06,1.9085336810942266e-08,6.8511463169329545e-09
1859,6.775136625947198e-06,2.2405561850291633e-08,5.092173349652285e-10
1860,7.996340173122007e-06,1.5104706818647173e-08,5.034902272882391e-09
1861,7.153645583457546e-06,1.744906619194353e-08,1.4147891747029462e-09
1862,7.137966349546332e-06,2.0782737308877586e-08,9.487771457372673e-09
1863,7.192254088295158e-06,2.6970951694238465e-08,2.9967726078439227e-09
1864,6.74762077323976e-06,9.589456340108882e-09,0.0
1865,8.454433555016294e-06,1.3179164426446732e-08,0.0
1866,7.450712928402936e-06,1.3623715766630795e-08,0.0
1867,6.558089353347896e-06,1.261730986357179e-08,1.455843445796745e-09
1868,6.8674130488943774e-06,1.5807597009143137e-08,0.0
