year,voulait_VERB être_VERB,voulait_VERB etre_VERB,voulait_VERB naître_VERB
1800,6.131120926511358e-07,0.0,3.144164484325529e-09
1801,6.905429472681135e-07,0.0,0.0
1802,4.609950678968744e-07,0.0,0.0
1803,5.948534749222745e-07,0.0,0.0
1804,6.05603474923555e-07,0.0,1.4831105232815389e-08
1805,6.02690079176682e-07,0.0,0.0
1806,5.676888008565584e-07,0.0,0.0
1807,8.540865223949368e-07,2.8469551160981155e-09,0.0
1808,5.279952688397316e-07,0.0,0.0
1809,6.641549816777115e-07,9.036122072814123e-09,0.0
1810,6.786367521272041e-07,0.0,0.0
1811,9.602104000805411e-07,0.0,0.0
1812,1.0028702490672003e-06,0.0,0.0
1813,1.0295154879713664e-06,0.0,2.8757416448144113e-09
1814,9.093897119782923e-07,0.0,0.0
1815,8.010753731468867e-07,0.0,0.0
1816,7.995733426469087e-07,0.0,0.0
1817,1.0524464642003295e-06,0.0,0.0
1818,1.1408566251702723e-06,0.0,0.0
1819,1.2731791230180534e-06,1.035105001712111e-09,0.0
1820,1.2792066854672157e-06,2.3732962262101864e-09,0.0
1821,1.1991569408564828e-06,0.0,0.0
1822,1.2552070529636694e-06,0.0,0.0
1823,1.1967933915002504e-06,0.0,0.0
1824,1.1772715424740454e-06,8.421112696055388e-10,0.0
1825,1.2362842198854196e-06,0.0,8.805443041381977e-10
1826,9.618319154469646e-07,1.7615968683770689e-09,0.0
1827,1.3042441651123227e-06,0.0,7.373818444733615e-09
1828,1.0832487760126241e-06,1.8344602503717056e-09,3.668920500743411e-09
1829,2.015553718592855e-06,8.57317605795771e-10,8.57317605795771e-10
1830,1.520646947028581e-06,1.0436835840010872e-09,0.0
1831,1.0711158893172978e-06,0.0,0.0
1832,1.5600054439346422e-06,0.0,0.0
1833,1.2463984830901609e-06,0.0,6.950177322551099e-09
1834,1.2937659903400345e-06,1.8669061851994684e-09,9.334530925997342e-10
1835,1.1435388387326384e-06,6.050470346963266e-09,3.781543966852041e-09
1836,1.1230373502257862e-06,4.032449929525228e-09,1.3441500135158435e-09
1837,1.3185202760723769e-06,3.478945576063097e-09,1.3915781860163179e-09
1838,1.4366480627359124e-06,1.2624323808552163e-09,1.009945904684173e-08
1839,1.0997590607075836e-06,6.9914751765765e-10,0.0
1840,1.6866935084181023e-06,3.1848443882154243e-09,4.458782232319436e-09
1841,1.2475126140998327e-06,1.2841097074556274e-09,7.0626033910059505e-09
1842,1.5026513437987887e-06,6.708265054555795e-10,2.683306021822318e-09
