year,peuvent_VERB ôter_VERB,peuvent_VERB oter_VERB,peuvent_VERB noter_VERB
1800,0.0,3.144164484325529e-09,0.0
1801,3.809892135109294e-08,2.3811825844433088e-09,0.0
1802,6.937304419807333e-08,2.2378401354217203e-09,1.3427040812530322e-08
1803,2.145373123596528e-08,0.0,0.0
1804,3.9549615138412264e-08,0.0,0.0
1805,6.822906328807221e-08,0.0,0.0
1806,3.1698359492793315e-08,0.0,0.0
1807,6.832692633906845e-08,0.0,0.0
1808,2.4926814390369145e-08,0.0,0.0
1809,8.358412628695078e-08,0.0,0.0
1810,6.084329839950442e-08,0.0,2.3401267590372754e-09
1811,2.5070768572277302e-08,0.0,0.0
1812,2.400487453257938e-08,0.0,2.6672082320544632e-09
1813,2.300593315851529e-08,0.0,0.0
1814,3.4613449884091096e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,4.6352077731626196e-08,0.0,0.0
1817,5.916118794857539e-08,0.0,0.0
1818,2.741870730460505e-08,0.0,1.1921177378582115e-09
1819,2.2772310259711048e-08,0.0,8.280840013696888e-09
1820,5.458581142647745e-08,0.0,0.0
1821,2.465372084259343e-08,0.0,0.0
1822,4.712039469723095e-08,0.0,0.0
1823,3.854247765389118e-08,0.0,0.0
1824,2.6947560627377243e-08,0.0,0.0
1825,4.226612659863349e-08,0.0,8.805443041381977e-10
1826,5.725189922145546e-08,0.0,1.7615968683770689e-09
1827,4.424290978022327e-08,1.8434546111834038e-09,0.0
1828,4.035812395386529e-08,0.0,9.172301251858528e-10
1829,3.1720752247110795e-08,2.571952872898464e-09,0.0
1830,4.383471008395645e-08,0.0,0.0
1831,2.494592976631793e-08,0.0,1.5591206103948707e-09
1832,4.19429042608499e-08,0.0,0.0
1833,2.6642345218874652e-08,0.0,0.0
1834,3.827157613045529e-08,0.0,0.0
1835,4.689114518896531e-08,1.5126175867408165e-09,3.025235173481633e-09
1836,2.4866775305554256e-08,0.0,0.0
1837,4.383471363667013e-08,0.0,0.0
1838,3.219202682203104e-08,0.0,6.312161904276081e-10
