year,pouvait_VERB ôter_VERB,pouvait_VERB oter_VERB,pouvait_VERB noter_VERB
1800,6.288328791015374e-08,0.0,3.144164484325529e-09
1801,3.095537337571841e-08,0.0,2.3811825844433088e-09
1802,0.0,0.0,0.0
1803,1.1702034896643454e-08,0.0,3.900678446910888e-09
1804,5.19088700912107e-08,0.0,0.0
1805,5.970043304159844e-08,0.0,0.0
1806,2.0171682990621775e-08,0.0,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09,1.1387820464392462e-08
1808,2.2660739062985158e-08,0.0,0.0
1809,1.8072244145628247e-08,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0,0.0
1811,2.5070768572277302e-08,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0,8.00162425207418e-09
1813,3.4508900625951355e-08,0.0,5.751483289628823e-09
1814,2.8320094713762956e-08,0.0,3.1466771410748606e-09
1815,2.966945977789237e-08,0.0,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0,0.0
1817,5.7604317760251433e-08,0.0,3.113746815941454e-09
1818,7.629553522292554e-08,1.1921177378582115e-09,4.768470951432846e-09
1819,3.9333990287104825e-08,1.035105001712111e-09,1.1386155129855524e-08
1820,7.713212824000948e-08,0.0,0.0
1821,6.804427243878308e-08,0.0,4.930744257336528e-09
1822,5.714601059025881e-08,0.0,3.0076847679083585e-09
1823,4.743689885344793e-08,0.0,0.0
1824,7.494790565942822e-08,0.0,8.421112696055388e-10
1825,6.868245350233337e-08,0.0,1.7610886082763955e-09
1826,4.492072136486058e-08,0.0,1.4973572604048968e-08
1827,7.005127855563842e-08,9.217273055917019e-10,4.608636583469661e-09
1828,6.879226077671774e-08,0.0,4.586150570418113e-09
1829,9.687688873327716e-08,0.0,1.1145129263923081e-08
1830,7.097048637660919e-08,0.0,0.0
1831,4.365537620287796e-08,3.1182412207897414e-09,1.5591206103948707e-09
1832,5.411987658021644e-08,1.3529969367098715e-09,1.0823975493678972e-08
1833,1.9692167896323554e-08,1.1583628500844156e-09,0.0
1834,5.414027981487379e-08,9.334530925997342e-10,0.0
1835,3.479020449503878e-08,0.0,6.050470346963266e-09
1836,6.25029770162655e-08,0.0,0.0
1837,6.401259611266141e-08,0.0,0.0
1838,2.7142295522253335e-08,0.0,8.837027110075724e-09
