year,devraient_VERB être_VERB,devraient_VERB etre_VERB,devraient_VERB naître_VERB
1800,1.6569746321692946e-06,0.0,3.144164484325529e-09
1801,1.7811245243137819e-06,0.0,0.0
1802,2.020769670707523e-06,2.2378401354217203e-09,1.1189200677108602e-08
1803,1.5544203506578924e-06,1.950339223455444e-09,0.0
1804,1.6907461031223647e-06,2.4718509461507665e-09,0.0
1805,1.1741085472749546e-06,1.9900143755080535e-08,2.842877711017877e-09
1806,1.39472786031547e-06,2.881669125542885e-09,5.76333825108577e-09
1807,1.6597748526692158e-06,2.8469551160981155e-09,8.540865792383556e-09
1808,1.3211210898589343e-06,0.0,1.1330369531492579e-08
1809,1.565508114254044e-06,4.518061036407062e-09,0.0
1810,1.829979169087892e-06,4.680253518074551e-09,0.0
1811,1.8552368601376656e-06,0.0,2.5070767684098882e-09
1812,2.309802312083775e-06,2.6672082320544632e-09,5.3344164641089264e-09
1813,2.565161594247911e-06,0.0,5.751483289628823e-09
1814,2.0012867025798187e-06,6.293354282149721e-09,0.0
1815,2.2090259790275013e-06,2.697223555614414e-09,0.0
1816,1.7590613197171479e-06,2.3176038865813098e-09,0.0
1817,2.0005822989332955e-06,4.670620334934483e-09,4.670620334934483e-09
1818,2.3425113795383368e-06,1.1921177378582115e-09,3.5763532135746345e-09
1819,2.379706302235718e-06,4.140420006848444e-09,1.2421260464634543e-08
1820,2.6438519853400066e-06,3.5599443393152796e-09,0.0
1821,2.6685186185204657e-06,1.97229765852569e-09,9.86148829262845e-10
1822,2.7580470032262383e-06,2.0051231786055723e-09,1.0025615893027862e-09
1823,2.25325266001164e-06,9.882686891060644e-10,1.3835761869529506e-08
1824,2.1322257452993654e-06,3.3684450784221553e-09,3.3684450784221553e-09
1825,2.6337079361837823e-06,3.522177216552791e-09,0.0
1826,2.8458598535507917e-06,8.807984341885344e-10,6.1655889282974385e-09
1827,3.1016124921734445e-06,4.608636583469661e-09,2.3043183361437514e-08
1828,2.735180260060588e-06,2.7516904310687096e-09,2.7516904310687096e-09
1829,3.396692363821785e-06,6.858540846366168e-09,0.0
1830,3.3940589219128015e-06,5.218417697960831e-09,0.0
1831,3.988230673712678e-06,6.236482441579483e-09,3.1182412207897414e-09
1832,3.444730282353703e-06,4.058990810129615e-09,0.0
1833,3.6430510590435006e-06,3.4750886612755494e-09,0.0
1834,3.391235168237472e-06,4.667265685043276e-09,0.0
1835,3.2430521059723105e-06,2.2689263801112247e-09,0.0
1836,2.981996885864646e-06,2.688300027031687e-09,5.376600054063374e-09
1837,3.1512288387602894e-06,2.7831563720326358e-09,8.349468672008697e-09
1838,3.1529248190054204e-06,3.1560809521380406e-09,3.787297142565649e-09
1839,3.380378302608733e-06,7.690622361167243e-09,0.0
1840,3.5358141303731827e-06,3.821813088222825e-09,1.2102408852854296e-08
1841,3.509471753204707e-06,1.0272877659645019e-08,5.778493683550323e-09
1842,3.484943590592593e-06,1.0733224087289273e-08,1.0733224087289273e-08
1843,3.834175913652871e-06,1.2404512972352677e-08,4.7255288571079745e-09
1844,4.003905360150384e-06,7.683985892015244e-09,3.2931368743049916e-09
1845,3.65616529052204e-06,7.254296274794569e-09,1.0602432709561072e-08
1846,3.9699375520285685e-06,5.854501328173001e-09,1.3465353276842507e-08
1847,3.810851922025904e-06,7.011190739092399e-09,9.707802561820245e-09
1848,4.667837856686674e-06,8.04522137798358e-09,3.218088684420195e-09
1849,4.066529982083011e-06,6.703531951757213e-09,1.5920887719289567e-08
1850,3.713580781550263e-06,7.467895635215882e-09,6.1100964288129944e-09
1851,3.569764430721989e-06,5.8044946626978344e-09,5.8044946626978344e-09
1852,3.507881956466008e-06,7.161600201754936e-09,1.4323200403509873e-08
1853,3.325768830109155e-06,1.0152284346531815e-08,8.957897534855874e-09
1854,3.4795364172168775e-06,9.352196350675968e-09,5.7152309551611324e-09
1855,3.1698334623797564e-06,4.2455496895854594e-09,5.306937111981824e-10
1856,3.3175429052789696e-06,2.5885946719483854e-09,2.5885946719483854e-09
