year,devant_VERB être_VERB,devant_VERB etre_VERB,devant_VERB naître_VERB
1800,2.917784740930074e-06,0.0,0.0
1801,2.8478943931986578e-06,2.3811825844433088e-09,0.0
1802,3.182208729413105e-06,2.2378401354217203e-09,0.0
1803,2.377463488301146e-06,5.851017448321727e-09,5.851017448321727e-09
1804,2.6992611310561188e-06,4.943701892301533e-09,1.730295728918918e-08
1805,2.9878644909331342e-06,8.528632911009026e-09,2.842877711017877e-09
1806,3.080504257013672e-06,5.76333825108577e-09,0.0
1807,3.888940682372777e-06,8.540865792383556e-09,0.0
1808,3.174769744873629e-06,2.2660739951163578e-09,2.945896149242344e-08
1809,3.548937002051389e-06,1.129515236897305e-08,0.0
1810,3.262136715420638e-06,2.106114038724627e-08,0.0
1811,3.7881929983996088e-06,7.521229861140455e-09,0.0
1812,3.5660573303175624e-06,5.3344164641089264e-09,0.0
1813,4.30210957347299e-06,2.8757416448144113e-09,0.0
1814,3.366944611116196e-06,0.0,3.1466771410748606e-09
1815,3.697893589560408e-06,8.091670444798638e-09,2.697223555614414e-09
1816,3.6873077533527976e-06,2.3176038865813098e-09,2.3176038865813098e-09
1817,2.9456045922415797e-06,1.556873407970727e-09,0.0
1818,3.2163336527446518e-06,3.5763532135746345e-09,1.7881765401739358e-08
1819,3.1239469535648823e-06,3.1053151161586356e-09,4.140420006848444e-09
1820,2.6960644845530624e-06,2.3732962262101864e-09,1.6613073583471305e-08
1821,2.749382929323474e-06,3.94459531705138e-09,0.0
1822,2.998661784658907e-06,0.0,6.015369535816717e-09
1823,2.700938239286188e-06,9.882686891060644e-10,9.882686891060644e-10
1824,2.7427563509263564e-06,0.0,0.0
1825,2.7103153570351424e-06,5.283265824829186e-09,1.7610886082763955e-09
1826,3.388431650819257e-06,6.1655889282974385e-09,2.642395191543301e-09
1827,3.550493602233473e-06,4.608636583469661e-09,3.502563927781921e-08
1828,3.357062269060407e-06,2.7516904310687096e-09,1.0089530988466322e-08
1829,3.5492948882165365e-06,6.001223074036943e-09,8.57317605795771e-10
1830,3.478597363937297e-06,6.262101504006523e-09,3.1310507520032616e-09
1831,3.9632845982850995e-06,1.091384405071949e-08,0.0
1832,3.7613315271300962e-06,6.764984572527055e-09,0.0
1833,3.5978750929643866e-06,3.4750886612755494e-09,2.3167257001688313e-09
1834,3.9410388126270846e-06,5.600718555598405e-09,3.733812370398937e-09
1835,3.4979282190761296e-06,3.781543966852041e-09,7.563087933704082e-10
1836,3.2656123494234635e-06,6.72075017860152e-09,4.032449929525228e-09
1837,3.052426791327889e-06,9.045257876039159e-09,6.957890930081589e-10
1838,3.0317314667627215e-06,4.418513555037862e-09,3.1560809521380406e-09
1839,3.4146364669140894e-06,1.0487212875887053e-08,2.7965900706306e-09
1840,3.305868403913337e-06,9.554533164646273e-09,8.917564464638872e-09
1841,3.8266471165115945e-06,8.988767952189392e-09,2.632424944692957e-08
1842,3.4594522730913013e-06,1.1404051036834062e-08,1.0733224087289273e-08
1843,3.5677742289408343e-06,7.088293507706567e-09,2.126487963494128e-08
1844,3.4665752082219115e-06,3.841992946007622e-09,1.3172547497219966e-08
1845,4.176242782705231e-06,1.2276501426544684e-08,5.022205318283568e-09
1846,3.515628122841008e-06,7.025401815852206e-09,4.0981511517657054e-09
1847,3.9570081753481645e-06,8.089835468183537e-09,8.089835468183537e-09
1848,3.806194399658125e-06,1.0458788002321029e-08,1.126331028444838e-08
1849,3.9852498048276175e-06,1.4245005175439474e-08,0.0
