year,faut_VERB ôter_VERB,faut_VERB oter_VERB,faut_VERB noter_VERB
1800,2.86118961412285e-07,1.8864987794131594e-08,3.678672442219977e-07
1801,3.0717254162482277e-07,2.3811825844433088e-09,2.5954889792956237e-07
1802,5.035140020481776e-07,4.475680270843441e-09,1.5888664961494214e-07
1803,2.9060055339868995e-07,1.950339223455444e-09,3.5106106111015833e-07
1804,3.633620906384749e-07,7.4155526164076946e-09,1.7302956223375077e-07
1805,1.8762992226584174e-07,0.0,1.250866148438945e-07
1806,2.1612518708025164e-07,0.0,2.9681191904273874e-07
1807,1.9643989901396708e-07,2.8469551160981155e-09,2.5337899955957255e-07
1808,1.8581806671136292e-07,4.5321479902327155e-09,1.8581806671136292e-07
1809,2.1234886560250743e-07,0.0,2.01053723003497e-07
1810,2.527336846469552e-07,2.3401267590372754e-09,1.263668423234776e-07
1811,1.855236746450828e-07,2.5070767684098882e-09,9.526891631139733e-08
1812,2.2671270016871858e-07,5.3344164641089264e-09,1.4136203674297576e-07
1813,1.8404746526812232e-07,0.0,2.2143210287595139e-07
1814,2.0453401816666883e-07,0.0,2.0768068509369186e-07
1815,7.552225866902518e-08,0.0,1.6992508733437717e-07
1816,4.959672423865413e-07,4.6352077731626196e-09,3.8008704450476216e-07
1817,2.1796228111270466e-07,0.0,2.646684720275516e-07
1818,2.0504424469436344e-07,0.0,2.3484719235966622e-07
1819,2.2151246525936585e-07,1.2421260464634543e-08,2.0081037632735388e-07
1820,1.8511710209168086e-07,0.0,2.2190319270976033e-07
1821,1.617284084431958e-07,1.97229765852569e-09,2.8302471832830634e-07
1822,2.1956098805731017e-07,1.0025615893027862e-09,2.887377377192024e-07
1823,1.2946320282480883e-07,4.941343334508019e-09,4.2199073391202546e-07
1824,1.3557990996559965e-07,8.421112696055388e-10,2.2989637216142e-07
1825,1.620201572904989e-07,8.805443041381977e-10,2.685660263068712e-07
1826,1.6294771398861485e-07,8.807984341885344e-10,4.580151937716437e-07
1827,1.7420646258869965e-07,1.8434546111834038e-09,2.2951009270855138e-07
1828,1.8344601926401083e-07,9.172301251858528e-10,2.559071958785353e-07
1829,1.4402935732960032e-07,0.0,2.28903800802982e-07
1830,1.586399065445221e-07,2.0873671680021744e-09,2.4735300030442886e-07
1831,1.933309619062129e-07,1.5591206103948707e-09,2.946737822639989e-07
1832,1.2853470821028168e-07,1.3529969367098715e-09,3.314842444979149e-07
1833,1.2394482951094687e-07,0.0,4.633451453628368e-07
1834,1.4841904771856207e-07,1.8669061851994684e-09,4.163200912898901e-07
1835,1.792451769233594e-07,5.294161553592858e-09,4.658862167161715e-07
1836,1.901972268569807e-07,2.0162250202737653e-09,4.509623181547795e-07
1837,1.6072728215021925e-07,6.957890930081589e-10,6.58216492865904e-07
1838,1.218247263068406e-07,1.8936485712828244e-09,5.756691621172649e-07
1839,1.1815593126129897e-07,1.3982950353153e-09,5.369453219827847e-07
1840,1.6815978653994534e-07,1.2739377330817092e-09,7.72006274019077e-07
1841,1.194221965761244e-07,4.494383976094696e-09,5.804175771118025e-07
1842,1.3148199684565043e-07,2.0124795163667386e-09,5.869732149221818e-07
1843,1.8252355005188292e-07,3.544146642830981e-09,5.07403683513985e-07
1844,1.2953005068538914e-07,5.488561272137815e-10,5.889226031285943e-07
1845,1.2276501593078137e-07,5.580227946389016e-10,4.653909968510561e-07
1846,1.0011197559833818e-07,2.3418005312692003e-09,5.550067498916178e-07
1847,8.143767615820252e-08,2.6966118227278457e-09,4.93479944907449e-07
1848,6.516629724728773e-08,8.045221711050488e-10,6.814302651036996e-07
1849,9.803915190786938e-08,8.379414939696517e-10,6.075075589251355e-07
1850,8.078905011643656e-08,6.788996032014438e-10,6.096518632148218e-07
1851,7.67483214758613e-08,3.2247193804124663e-09,6.391393867488659e-07
