year,put_VERB être_VERB,put_VERB etre_VERB,put_VERB naître_VERB
1800,1.4840455833109445e-06,3.144164484325529e-09,9.432493897065797e-09
1801,1.6025359172999742e-06,4.7623651688866175e-09,2.3811825844433088e-09
1802,1.351655441794719e-06,0.0,2.2378401354217203e-09
1803,1.685093138803495e-06,7.801356893821776e-09,1.1702034896643454e-08
1804,1.4361454532263451e-06,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.5124109040698386e-06,2.842877711017877e-09,8.528632911009026e-09
1806,1.7866348116513109e-06,1.729001475325731e-08,0.0
1807,1.6825504189910134e-06,2.8469551160981155e-09,1.4234775136401367e-08
1808,1.8264556729263859e-06,1.1330369531492579e-08,9.064295980465431e-09
1809,1.8591821344671189e-06,2.0331274441787173e-08,4.518061036407062e-09
1810,1.9891076590283774e-06,7.020380277111826e-09,1.6380887757350138e-08
1811,1.805095280360547e-06,1.0028307073639553e-08,2.0056614147279106e-08
1812,1.8190360151493223e-06,2.6672082320544632e-09,2.6672082320544632e-09
1813,1.774332645254617e-06,2.8757416448144113e-09,0.0
1814,2.139740445272764e-06,3.1466771410748606e-09,0.0
1815,1.9824592527584173e-06,1.0788894222457657e-08,0.0
1816,1.8309070810573758e-06,6.952811659743929e-09,2.5493642752394408e-08
1817,2.1593834844679805e-06,1.2454987263765815e-08,0.0
1818,1.92050174518954e-06,7.152706427149269e-09,4.768470951432846e-09
1819,2.4707956072234083e-06,3.1053151161586356e-09,3.1053151161586356e-09
1820,1.965089268196607e-06,1.1866481131050932e-09,1.542642635854463e-08
1821,2.3056159079715144e-06,4.930744257336528e-09,1.97229765852569e-09
1822,1.804610860745015e-06,2.0051231786055723e-09,2.0051231786055723e-09
1823,2.4726482479309198e-06,9.882686891060644e-10,1.8777104315859106e-08
1824,2.7722303457267117e-06,2.5263338088166165e-09,1.6842225392110777e-09
1825,2.472568439770839e-06,1.7610886082763955e-09,9.68598712347557e-09
1826,2.4133876195264747e-06,2.642395191543301e-09,1.76159691278599e-08
1827,2.261918780277483e-06,5.530363722527909e-09,1.474763688946723e-08
1828,2.0729401057906216e-06,6.420610709767516e-09,1.1923991571904935e-08
1829,2.949172539956635e-06,1.714635211591542e-09,1.1145129263923081e-08
1830,2.5225831450370606e-06,4.174734336004349e-09,1.1480519646056564e-08
1831,2.167177626688499e-06,1.091384405071949e-08,4.677361609140007e-09
1832,2.4083344669634243e-06,4.058990921151917e-09,1.352996914505411e-08
1833,2.18930586015631e-06,1.0425265983826648e-08,1.7375443306377747e-08
1834,2.1432083485706244e-06,2.8003592777992026e-09,3.080395316601425e-08
1835,2.204640168201877e-06,1.0588323107185715e-08,1.9664028627630614e-08
1836,2.3704085378994932e-06,3.36037508930076e-09,1.344150035720304e-08
1837,2.412300773357856e-06,1.1828414692161004e-08,7.653680356156656e-09
1838,2.454168452459271e-06,4.418513555037862e-09,9.468243078458727e-09
1839,2.7210821826884057e-06,8.38977065598101e-09,3.146163862766116e-08
1840,2.517301027182839e-06,5.095750932326837e-09,3.567025785855549e-08
1841,2.4648486487421906e-06,6.420548537278137e-09,1.4125206782011901e-08
1842,2.3995464744075434e-06,6.708265054555795e-09,8.049918065466954e-09
1843,2.3113743736757897e-06,8.269675610961258e-09,1.6539351221922516e-08
1844,2.7574531031859806e-06,9.330554107123135e-09,1.756339607084101e-08
1845,2.8425681648514e-06,1.674068350610014e-08,5.022205318283568e-09
1846,2.440156094962731e-06,4.0981511517657054e-09,8.781752214304106e-09
1847,2.4350404146389337e-06,7.550513103637968e-09,1.4022381478184798e-08
1848,2.18105969906901e-06,6.43617736884039e-09,5.63165514222419e-09
1849,2.400702442173497e-06,6.703531951757213e-09,6.703531951757213e-09
1850,2.3286256691790186e-06,6.788996032014438e-09,9.504594444820214e-09
1851,2.471424977557035e-06,9.029214709244116e-09,1.6768540334055615e-08
1852,2.3945785869727843e-06,7.161600201754936e-09,1.1718981340891332e-08
1853,2.6539264581515454e-06,8.957897534855874e-09,3.0456853039595444e-08
1854,2.4663818294357043e-06,1.506742641765868e-08,2.3900057044556888e-08
1855,2.3817533474357333e-06,7.429711956774554e-09,1.6451505047143655e-08
1856,2.6077502752741566e-06,1.0872097000458325e-08,2.692138423299184e-08
1857,2.48322362494946e-06,5.857811125054013e-09,3.905207268672939e-09
1858,2.642095751070883e-06,1.3702292633865909e-08,2.9851424443450014e-08
1859,2.5791857751755742e-06,6.110608019582742e-09,3.360834455179429e-08
1860,2.444216306685121e-06,3.661747127736703e-09,5.034902272882391e-09
1861,2.3216689442051575e-06,6.13075279431996e-09,1.0375120318428799e-08
1862,2.30959449254442e-06,4.517986429419807e-09,1.400575744270327e-08
1863,2.2515750970342197e-06,5.9935452156878455e-09,1.048870412745373e-08
1864,2.3820207388780545e-06,1.102787461348953e-08,2.589153069720851e-08
1865,2.3948423404362984e-06,5.6482134525026595e-09,8.943004559114343e-09
1866,2.4887610834412044e-06,8.75810357570117e-09,5.352174259343201e-09
1867,2.580239879534929e-06,6.308654931785895e-09,2.038180824115443e-08
1868,2.4146104351530084e-06,1.333765986544222e-08,2.766329387782207e-08
1869,2.217117753389175e-06,9.767038733343725e-09,2.0510780629479086e-08
1870,2.5717208700370975e-06,1.204150201772336e-08,2.465641024684828e-08
1871,2.861345137716853e-06,1.0621177271019633e-09,7.434824311758348e-09
1872,2.6541772513155593e-06,8.4662747923403e-09,7.861540751719076e-09
1873,2.74697754321096e-06,5.387403856360606e-09,1.4366410283628284e-08
1874,2.5451834062550915e-06,4.182226565063729e-09,5.377148060148329e-09
1875,2.4659782411617925e-06,4.005069165202713e-09,1.5448122780981066e-08
1876,2.539326260375674e-06,4.836811839936672e-09,6.650616057868319e-09
1877,2.54999963544833e-06,6.184816214727107e-09,3.710889595609501e-09
1878,2.6312309273635037e-06,8.4547240319921e-09,2.0532901601200138e-08
1879,2.548199518059846e-06,4.887460214320072e-09,1.0385853066452455e-08
1880,2.287962161062751e-06,7.701415505323439e-09,1.7328185109022343e-08
1881,2.4048179056990193e-06,9.761510710859511e-09,1.9523021421719022e-08
1882,2.66947495219938e-06,5.324308105514319e-09,4.6587693702804245e-09
1883,2.3071906980476342e-06,3.791603475633565e-09,9.479008689083912e-09
1884,2.612951675473596e-06,5.941527270181268e-09,1.2543224237049344e-08
1885,2.4893045065255137e-06,5.80107206715752e-09,5.156508553483263e-09
1886,2.4639325602038298e-06,1.1616235084943582e-08,6.4534639854230136e-09
1887,2.3693467028351733e-06,2.6115698492645834e-09,2.154545164501087e-08
1888,2.4893254249036545e-06,4.4384300679212174e-09,7.60873763994141e-09
1889,2.4747289444349008e-06,3.759081934617825e-09,1.1277245803853475e-08
1890,2.202929408667842e-06,5.243509182406569e-09,1.2453334363726754e-08
1891,2.3093798517948017e-06,8.286486163910922e-09,8.92390783491237e-09
1892,2.2729625470674364e-06,7.522214851007902e-09,1.56712811616444e-08
1893,2.2626022655458655e-06,8.005941687372342e-09,4.926733243593162e-09
1894,2.3353504730039276e-06,5.041231432301174e-09,9.452309157609307e-09
1895,2.324990873603383e-06,7.22233739480771e-09,4.814891596538473e-09
1896,2.4755727281444706e-06,7.076434549446731e-09,9.435246361988447e-09
1897,2.290481006639311e-06,5.826713334045053e-09,1.1653426668090106e-08
1898,2.4591211058577755e-06,5.092519295146758e-09,1.1316709347397591e-08
1899,2.4249486614280613e-06,6.080336234504102e-09,1.2160672469008205e-08
1900,2.518698920539464e-06,7.786579381274805e-09,1.6092265298084385e-08
1901,2.518844667065423e-06,5.029864968975062e-09,7.824234593556412e-09
1902,2.1993162135913735e-06,1.0311596021495006e-08,1.0802624572647801e-08
1903,2.3377554043690907e-06,6.480264325148255e-09,9.1803746826713e-09
1904,2.5803576590988087e-06,2.1498500757388683e-09,2.0961039126632386e-08
1905,2.5308361273346236e-06,7.2250627702885595e-09,1.1353670004154992e-08
1906,2.6225052351946943e-06,5.144184633820714e-09,3.0865106026567446e-09
1907,2.4037649382080417e-06,9.257117739025489e-09,1.131425531042396e-08
1908,2.499896936569712e-06,4.4202499438483756e-09,1.2278472460991452e-08
1909,2.6267196062690346e-06,3.300590023513905e-09,2.53045246978445e-08
1910,2.6298564534954494e-06,2.67207544979442e-09,1.0153886620400954e-08
1911,2.6979616905009607e-06,2.6601871816467337e-09,9.576673676292558e-09
1912,2.635446207932546e-06,2.6047106693738442e-09,1.3544495303108306e-08
