year,fallut_VERB être_VERB
1800,3.772997558826319e-08
1801,1.4287095950749062e-08
1802,3.5805442166747525e-08
1803,2.7304748684287006e-08
1804,1.2359254952798437e-08
1805,7.391481915419718e-08
1806,3.7461699520235925e-08
1807,1.7081731584767113e-08
1808,2.7192887941396293e-08
1809,3.6144488291256494e-08
1810,4.680253340438867e-08
1811,1.2535384286138651e-08
1812,5.867858021701977e-08
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,2.1796227045456362e-08
1818,3.099506074022429e-08
1819,1.7596784473994376e-08
1820,2.1359666035891678e-08
1821,2.859831660373402e-08
1822,2.8071724500478012e-08
1823,4.644862983127496e-08
1824,6.652678763430231e-08
1825,4.9310479255382234e-08
1826,2.7304752237000685e-08
1827,5.2538457140371975e-08
1828,2.7516904310687096e-08
1829,2.4004892296147773e-08
1830,1.7742621594152297e-08
1831,2.494592976631793e-08
1832,5.0060886991332154e-08
1833,3.359252431778259e-08
1834,1.6802156110884425e-08
1835,3.857174846189082e-08
1836,2.5538851033957144e-08
1837,9.74104708006962e-09
1838,1.5780404538645598e-08
1839,1.5381244722334486e-08
1840,1.2739377552861697e-08
1841,2.247191943638427e-08
1842,3.018719141323345e-08
1843,1.3585895075607368e-08
1844,3.2931367854871496e-08
1845,2.0646844234306627e-08
1846,2.3418005312692003e-08
1847,1.0786447290911383e-08
1848,3.539897619475596e-08
1849,2.262441967104678e-08
1850,1.5614691761811628e-08
1851,3.031236062156495e-08
1852,7.161600201754936e-09
1853,2.448492075757258e-08
1854,1.9223959313308114e-08
1855,3.02495415382964e-08
1856,2.1226476576430287e-08
1857,1.610898081594314e-08
1858,1.761723389392955e-08
1859,1.4258085379026397e-08
1860,1.4189270203246451e-08
1861,1.4147890858851042e-08
1862,2.5300723294208183e-08
1863,2.3974180862751382e-08
1864,2.0137857603685916e-08
1865,2.118079933666195e-08
1866,2.6760870852626795e-08
1867,4.367530337390235e-09
1868,1.0867722721741302e-08
1869,1.4162205630441349e-08
1870,1.548193218070537e-08
1871,8.496941816815706e-09
1872,1.5723081503438152e-08
1873,8.380406590902112e-09
1874,1.3741600746186577e-08
1875,1.602027666081085e-08
1876,2.6602464231473277e-08
1877,1.2369632429454214e-08
1878,7.850815109122777e-09
1879,2.077170613290491e-08
1880,1.4119262203848848e-08
1881,2.998178416646624e-08
1882,1.9300616216355593e-08
1883,1.7694148368718743e-08
1884,5.941527270181268e-09
1885,1.4824961702686323e-08
1886,1.2906927970846027e-08
1887,1.2404957061562527e-08
1888,1.5851536971922542e-08
1889,1.3156786771162388e-08
1890,1.4419650362640368e-08
1891,2.5496881050912634e-08
1892,2.005923960268774e-08
1893,2.155445777418663e-08
1894,1.0082462864602348e-08
1895,3.370423939941247e-08
1896,2.4177818858106548e-08
1897,9.905413378419325e-09
1898,1.1316709347397591e-08
1899,4.9748205555033564e-09
1900,9.34389543516545e-09
1901,1.117747761014698e-08
1902,9.820567470342212e-09
1903,1.6200660368781428e-08
1904,1.5048950530172078e-08
1905,1.5482276793932215e-08
1906,1.388929860013377e-08
1907,1.337139288182243e-08
1908,2.1118973236866623e-08
1909,1.265226234892225e-08
1910,9.085056262847502e-09
1911,9.044636151145369e-09
1912,9.376957876838787e-09
1913,1.9090762748419365e-08
1914,1.7411533548283842e-08
1915,1.5314990164938536e-08
1916,1.3184954461564757e-08
1917,2.1932848426331475e-08
1918,2.2972752589112133e-09
1919,1.3811772170413406e-08
1920,1.0601124422748853e-08
1921,1.3630945261411398e-08
1922,7.377935595798135e-09
1923,4.246379248229459e-09
1924,6.445812328337297e-09
