year,veut_VERB ôter_VERB,veut_VERB oter_VERB,veut_VERB noter_VERB
1800,6.917161954334006e-08,0.0,0.0
1801,1.0715321963061797e-07,4.7623651688866175e-09,0.0
1802,8.056224487518193e-08,2.2378401354217203e-09,0.0
1803,7.411289004721766e-08,3.900678446910888e-09,7.801356893821776e-09
1804,7.168367943677367e-08,0.0,2.4718509461507665e-09
1805,8.812921237222326e-08,2.842877711017877e-09,0.0
1806,4.610670600868616e-08,0.0,0.0
1807,1.4804166426074516e-07,0.0,0.0
1808,4.5321478125970316e-08,0.0,0.0
1809,8.132509776714869e-08,0.0,0.0
1810,1.4976811257838563e-07,0.0,0.0
1811,9.025476543911282e-08,0.0,0.0
1812,2.6672083208723052e-08,0.0,0.0
1813,5.7514832008109806e-08,0.0,0.0
1814,5.349351184236184e-08,0.0,1.5733386149463513e-08
1815,1.1867783911156948e-07,8.091670444798638e-09,1.8880564667256294e-08
1816,1.5527946573001827e-07,0.0,1.8540831092650478e-08
1817,1.479029805295795e-07,0.0,9.341240669868967e-09
1818,8.821671571013212e-08,1.1921177378582115e-09,0.0
1819,1.1903707530791507e-07,4.140420006848444e-09,1.1386155129855524e-08
1820,1.696906792858499e-07,1.1866481131050932e-09,3.085285271708926e-08
1821,1.5581152013055544e-07,1.97229765852569e-09,4.930744257336528e-09
1822,1.6843034700286807e-07,0.0,1.0025615893027862e-09
1823,7.016707570528524e-08,9.882686891060644e-10,1.1859224713361982e-08
1824,1.0779024250950897e-07,2.5263338088166165e-09,5.894778887238772e-09
1825,6.868245350233337e-08,0.0,7.044354433105582e-09
1826,1.3300056878051691e-07,1.7615968683770689e-09,5.284790383086602e-09
1827,9.125100319806734e-08,0.0,9.217273055917019e-10
1828,1.0456423638061096e-07,0.0,7.337841001486822e-09
1829,1.3031227297233272e-07,0.0,1.2002446148073886e-08
1830,6.575206867864836e-08,0.0,5.218417697960831e-09
1831,1.1381580122815649e-07,1.5591206103948707e-09,0.0
1832,7.306183391619925e-08,0.0,0.0
1833,5.6759780875381693e-08,0.0,2.3167257001688313e-09
1834,5.880754372356023e-08,0.0,9.334530925997342e-10
1835,9.15133639978194e-08,7.563087933704082e-10,0.0
1836,1.5726554636330548e-07,5.376600054063374e-09,1.1425274948351216e-08
1837,6.401259611266141e-08,6.957890930081589e-10,2.0873671680021744e-09
1838,8.39517539930057e-08,6.312161904276081e-10,6.312161904276081e-10
1839,4.754203075663099e-08,0.0,2.0974426639952526e-09
1840,7.45253601053264e-08,6.369688665408546e-10,6.3696887764308485e-09
1841,7.062603657459476e-08,2.5682194149112547e-09,1.0914932957462042e-08
1842,4.9641162291891305e-08,0.0,2.0124795163667386e-09
1843,6.674809327478215e-08,0.0,3.5441467538532834e-09
1844,9.604982409427976e-08,1.097712254427563e-09,1.6465684371524958e-09
1845,7.254296008341043e-08,5.580227946389016e-10,5.580227835366713e-09
1846,8.371937099127535e-08,5.854501328173001e-10,1.9319854160926297e-08
1847,3.9909856752728956e-08,1.0786447290911383e-09,1.9954928376364478e-08
1848,3.700802153616678e-08,1.6090443422100975e-09,0.0
1849,7.457679629396807e-08,0.0,1.256912263158938e-08
1850,5.7706465383944305e-08,0.0,4.752297222410107e-09
1851,6.836405219701192e-08,0.0,7.739326512989919e-09
1852,4.948014620254071e-08,6.510545436100301e-10,2.018269107395554e-08
1853,7.644072752555076e-08,5.971931837933653e-10,5.971931837933653e-10
1854,7.949366676029967e-08,5.195664454227256e-10,2.6497888327980945e-08
