year,fallait_VERB être_VERB,fallait_VERB etre_VERB,fallait_VERB naître_VERB
1800,4.5904801027063513e-07,3.144164484325529e-09,0.0
1801,3.547962137417926e-07,0.0,0.0
1802,2.998705781465105e-07,0.0,0.0
1803,4.290746176138782e-07,0.0,0.0
1804,6.352656782837585e-07,0.0,0.0
1805,5.543611791836156e-07,0.0,0.0
1806,4.870020688940713e-07,0.0,0.0
1807,7.031979407656763e-07,2.8469551160981155e-09,0.0
1808,4.645451667784073e-07,2.2660739951163578e-09,2.2660739951163578e-09
1809,5.17317971571174e-07,0.0,0.0
1810,4.282431973479106e-07,0.0,0.0
1811,6.994744126131991e-07,0.0,0.0
1812,6.054562504687055e-07,0.0,0.0
1813,3.6234345657248923e-07,0.0,0.0
1814,6.828289542681887e-07,0.0,0.0
1815,7.633142899976519e-07,0.0,0.0
1816,5.446369186756783e-07,0.0,0.0
1817,8.516097409483336e-07,0.0,0.0
1818,6.640095762122655e-07,0.0,4.768470951432846e-09
1819,6.676427233287541e-07,2.070210003424222e-09,0.0
1820,8.662531172376475e-07,0.0,0.0
1821,8.697832640791603e-07,9.86148829262845e-10,4.930744257336528e-09
1822,6.967803187762911e-07,0.0,3.0076847679083585e-09
1823,6.147031399450498e-07,0.0,9.882686891060644e-10
1824,7.385315825558791e-07,0.0,0.0
1825,6.94749473950651e-07,0.0,0.0
1826,5.099822715237678e-07,0.0,8.807984341885344e-10
1827,6.323049319689744e-07,0.0,9.217273055917019e-10
1828,7.658871368221298e-07,0.0,1.8344602503717056e-09
1829,1.161665409199486e-06,0.0,0.0
1830,9.403589160683623e-07,2.0873671680021744e-09,6.262101504006523e-09
1831,8.263339168479433e-07,0.0,0.0
1832,8.334461085723888e-07,0.0,5.411987746839486e-09
1833,9.533326306154777e-07,0.0,1.1583628278799551e-08
1834,8.699782938492717e-07,0.0,3.733812370398937e-09
1835,7.918553137642448e-07,2.2689263801112247e-09,7.563087933704082e-10
1836,6.801399194955593e-07,2.016224964762614e-09,6.720750067579218e-10
1837,9.163542245005374e-07,2.7831563720326358e-09,6.957891152126194e-09
1838,8.862275535648223e-07,1.8936485712828244e-09,1.0730675015224733e-08
1839,7.75354578763654e-07,6.9914751765765e-10,2.7965900706306e-09
1840,9.064066830433148e-07,4.458782232319436e-09,2.5478754661634184e-09
1841,8.070629746725899e-07,6.420548537278137e-10,3.2102742686390684e-09
1842,8.204208370443666e-07,1.341653010911159e-09,1.2745703159566801e-08
1843,7.696705210946675e-07,4.134837805480629e-09,2.953455480181333e-09
1844,9.665355946708587e-07,5.488561272137815e-10,3.841992946007622e-09
1845,8.744217439016211e-07,1.674068439427856e-09,3.9061593959388574e-09
1846,8.044085006986279e-07,0.0,1.7563503984519002e-09
1847,9.368029623146867e-07,3.235934187273415e-09,1.6179670936367074e-09
1848,9.058919658855302e-07,8.045221711050488e-10,4.103063133698015e-08
1849,1.0189368140345323e-06,3.3517659758786067e-09,2.011059585527164e-08
1850,7.169179525590152e-07,4.752297222410107e-09,1.6293590476834652e-08
1851,8.21658488803223e-07,1.2898877521649865e-09,5.159551008659946e-09
1852,8.32047703624994e-07,6.510545436100301e-10,7.812654523320361e-09
1853,8.414451713179005e-07,1.7915795513800958e-09,2.9859659189668264e-09
1854,7.788300990796415e-07,1.0391328908454511e-09,0.0
1855,9.483496796747204e-07,5.306937111981824e-10,6.8990182455763716e-09
1856,7.998757496352482e-07,5.177189232874468e-10,7.765783571755946e-09
1857,9.377379228681093e-07,4.881509085841174e-10,4.881508974818871e-09
1858,8.201801051654911e-07,1.468102750479261e-09,3.9149408159744326e-09
1859,9.186280749418074e-07,1.5276520048956854e-09,1.5276520048956854e-09
1860,8.486098863613734e-07,4.577183909670879e-10,8.238931314963338e-09
1861,7.767192187202454e-07,4.715963730639317e-10,4.715963619617014e-09
1862,8.38086464227672e-07,1.3553959066214816e-09,5.873382225018986e-09
1863,9.160134482044668e-07,0.0,0.0
1864,8.165421832018183e-07,1.9178911792039344e-09,3.3563094525845827e-09
1865,8.067531211963797e-07,1.882737743486018e-09,2.3534221238463715e-09
1866,8.61213493408286e-07,1.4596839292835284e-09,2.432806400776144e-09
1867,8.807853077996697e-07,1.94112459439566e-09,2.426405742994575e-09
1868,7.157877348618058e-07,2.4699371437009177e-09,1.0867722721741302e-08
1869,7.872233140915341e-07,1.953407657850903e-09,1.953407657850903e-09
1870,8.738690553400374e-07,1.1468097582678638e-09,1.1468097582678638e-09
1871,8.316382036355208e-07,2.1242354542039266e-09,0.0
1872,8.702121476744651e-07,2.4189357183956872e-09,1.2094678591978436e-09
1873,7.739903935544135e-07,5.986004469882289e-10,5.986004469882289e-10
1874,8.639285056233348e-07,5.974609140757536e-10,2.9873046258899194e-09
1875,9.989786349251517e-07,1.1443054281912168e-09,5.721527140956084e-10
1876,7.829589208085963e-07,1.209202959984168e-09,1.4510435519810017e-08
1877,7.310452474484919e-07,2.4739263970730008e-09,0.0
1878,6.950991178200638e-07,6.039088673581716e-10,1.2078177347163432e-09
1879,8.113183866953477e-07,1.832797580370027e-09,4.887460214320072e-09
1880,8.080068596427736e-07,6.417846254436199e-10,3.2089231272180996e-09
1881,7.27232531971822e-07,1.3945015142624584e-09,6.2752567586699115e-09
1882,8.385785008613311e-07,2.6621540527571597e-09,1.1314154946262533e-08
1883,7.343072070398193e-07,1.2638677882037541e-09,1.2638677882037541e-09
1884,7.730587299192848e-07,1.9805090900604227e-09,1.9805090900604227e-09
1885,6.916167194503942e-07,1.2891271383708158e-09,0.0
1886,7.273054052348016e-07,0.0,3.2267319927115068e-09
1887,7.129585810616845e-07,1.3057849246322917e-09,0.0
1888,7.710187333032081e-07,0.0,6.340614699951175e-10
1889,6.860324788249272e-07,0.0,1.8795409673089125e-09
