year,voudront_VERB être_VERB,voudront_VERB etre_VERB,voudront_VERB naître_VERB
1800,1.1004575384276905e-07,0.0,0.0
1801,1.4048977448055666e-07,0.0,0.0
1802,6.489736392722989e-08,0.0,0.0
1803,9.55666195068261e-08,1.950339223455444e-09,0.0
1804,1.2359254242255702e-07,0.0,0.0
1805,5.401467717547348e-08,0.0,0.0
1806,1.152667650217154e-07,0.0,0.0
1807,1.4234775846944103e-07,0.0,0.0
1808,1.2010191596800723e-07,0.0,0.0
1809,7.454800510231507e-08,0.0,0.0
1810,5.616304221689461e-08,0.0,0.0
1811,1.278609147448151e-07,0.0,0.0
1812,8.268345652595599e-08,0.0,0.0
1813,9.202373263406116e-08,0.0,0.0
1814,1.6992056828257773e-07,0.0,0.0
1815,9.170560133497929e-08,0.0,0.0
1816,6.721051448721482e-08,0.0,0.0
1817,1.4167548556542897e-07,0.0,0.0
1818,2.22926018977887e-07,0.0,0.0
1819,1.614763789348217e-07,0.0,0.0
1820,9.137190204455692e-08,2.3732962262101864e-09,0.0
1821,1.311577904061778e-07,0.0,0.0
1822,1.233150754842427e-07,0.0,0.0
1823,9.981513926504704e-08,0.0,0.0
1824,1.8189604134022375e-07,0.0,0.0
1825,1.3912600138610287e-07,0.0,0.0
1826,1.585437132689549e-07,0.0,0.0
1827,2.0185828475405287e-07,9.217273055917019e-10,0.0
1828,7.888178998882722e-08,0.0,0.0
1829,1.3288422451296356e-07,0.0,0.0
1830,1.315041373572967e-07,0.0,0.0
1831,1.216114071667107e-07,0.0,0.0
1832,9.741577855493233e-08,0.0,0.0
1833,9.266902623039641e-08,1.1583628500844156e-09,0.0
1834,1.3535070308989816e-07,0.0,0.0
1835,1.557996114343041e-07,0.0,0.0
1836,1.1492482343555821e-07,0.0,0.0
1837,7.862416850912268e-08,0.0,0.0
1838,9.089512786886189e-08,0.0,0.0
1839,1.0487212875887053e-07,0.0,0.0
1840,1.05099864811109e-07,0.0,0.0
1841,6.484754067059839e-08,6.420548537278137e-10,0.0
1842,1.10686372067903e-07,0.0,0.0
1843,1.0159887153804448e-07,0.0,2.953455480181333e-09
1844,1.2953005068538914e-07,0.0,0.0
1845,5.30121653241622e-08,0.0,0.0
1846,7.493761700061441e-08,0.0,5.854501328173001e-10
1847,1.5532484098912391e-07,5.393223645455691e-10,2.1572894581822766e-09
1848,1.0861049304367043e-07,0.0,0.0
1849,6.033178578945808e-08,8.379414939696517e-10,0.0
1850,1.4935791625703132e-07,2.0366988096043315e-09,0.0
1851,1.1737978411474614e-07,2.579775504329973e-09,0.0
1852,1.1458560322807898e-07,6.510545436100301e-10,0.0
1853,9.853687288341462e-08,0.0,0.0
1854,8.884585867008354e-08,1.0391328908454511e-09,0.0
1855,1.1091498208770645e-07,0.0,0.0
1856,6.109083017236117e-08,0.0,0.0
1857,6.882928005325084e-08,0.0,0.0
1858,1.1402265442939097e-07,0.0,0.0
1859,6.670747154657874e-08,0.0,0.0
1860,1.0756382096133166e-07,0.0,0.0
1861,9.47908702642053e-08,0.0,0.0
1862,1.0301008757096497e-07,0.0,1.3553959066214816e-09
1863,7.14230807830063e-08,0.0,0.0
1864,9.445614068681607e-08,0.0,0.0
1865,8.895936076669386e-08,0.0,0.0
1866,6.373952743388145e-08,4.865612912574591e-10,0.0
1867,6.114542827617697e-08,4.85281148598915e-10,0.0
1868,6.421836218351018e-08,0.0,0.0
1869,6.104399119521986e-08,0.0,0.0
