year,voudraient_VERB être_VERB,voudraient_VERB etre_VERB,voudraient_VERB naître_VERB
1800,4.087413785214267e-08,0.0,0.0
1801,3.333655484993869e-08,0.0,0.0
1802,5.147032311469957e-08,0.0,0.0
1803,5.655983770225248e-08,0.0,0.0
1804,6.179627121127851e-08,0.0,0.0
1805,6.822906328807221e-08,0.0,0.0
1806,6.627838899930794e-08,0.0,0.0
1807,1.9928686256776018e-08,0.0,0.0
1808,9.064295980465431e-09,0.0,0.0
1809,7.454800510231507e-08,0.0,0.0
1810,8.424456154898508e-08,0.0,0.0
1811,7.52123057168319e-08,0.0,0.0
1812,2.9339290108509886e-08,0.0,0.0
1813,2.5881675469463516e-08,0.0,0.0
1814,8.181360300341112e-08,0.0,0.0
1815,5.933891955578474e-08,0.0,0.0
1816,2.7811246638975717e-08,0.0,6.952811659743929e-09
1817,1.323342360137758e-07,0.0,0.0
1818,1.2517236314124602e-07,0.0,0.0
1819,8.79839276990424e-08,0.0,0.0
1820,1.0561168295453172e-07,0.0,0.0
1821,1.1735171057125626e-07,0.0,0.0
1822,8.421517350143404e-08,0.0,0.0
1823,6.621399961659336e-08,0.0,0.0
1824,6.652678763430231e-08,0.0,0.0
1825,9.069606221601134e-08,8.805443041381977e-10,0.0
1826,7.310627125889368e-08,0.0,0.0
1827,9.032927295038462e-08,0.0,0.0
1828,9.080578422526742e-08,0.0,0.0
1829,6.086955295359076e-08,0.0,0.0
1830,7.410153557430021e-08,0.0,0.0
1831,6.080570358335535e-08,0.0,0.0
1832,5.0060886991332154e-08,0.0,0.0
1833,9.382738852536932e-08,0.0,0.0
1834,8.027696907220161e-08,0.0,0.0
1835,1.2479094380069e-07,7.563087933704082e-10,0.0
1836,7.392824841190304e-08,0.0,5.376600054063374e-09
1837,9.671468603755784e-08,0.0,0.0
1838,6.94337813911261e-08,0.0,0.0
1839,9.997809513606626e-08,0.0,6.9914751765765e-10
1840,1.044628916702095e-07,0.0,6.369688665408546e-10
1841,1.0529699778771828e-07,0.0,1.926164561183441e-09
1842,8.385331540239349e-08,1.341653010911159e-09,0.0
1843,1.1518476839000868e-07,0.0,0.0
1844,9.989181393166291e-08,0.0,0.0
1845,1.3559953515596135e-07,0.0,0.0
1846,9.191567329480677e-08,0.0,2.9272506640865004e-09
1847,1.1649363074184294e-07,5.393223645455691e-10,4.853901280910122e-09
1848,1.2711450381175382e-07,0.0,0.0
1849,9.971503800443315e-08,0.0,0.0
1850,1.1405513333784256e-07,6.788996032014438e-10,0.0
1851,7.15887722435582e-08,6.449438760824933e-10,0.0
1852,9.244974563671349e-08,0.0,0.0
1853,8.898178549543445e-08,0.0,2.9859659189668264e-09
1854,1.1690244861028987e-07,0.0,5.195664454227256e-10
1855,1.5337047898356104e-07,5.306937111981824e-10,0.0
1856,1.009551908737194e-07,0.0,0.0
1857,9.030792114117503e-08,0.0,2.4407544874094356e-09
1858,8.563932851757272e-08,4.893676019968041e-10,0.0
1859,1.1406468303221118e-07,0.0,0.0
1860,1.1580275582900867e-07,0.0,4.577183909670879e-10
1861,1.0139321915403343e-07,0.0,4.715963730639317e-10
1862,1.1520864973135758e-07,0.0,0.0
1863,8.790532746161261e-08,0.0,9.989241656072068e-10
1864,1.2418345818332455e-07,0.0,0.0
