year,tout_ADV ôté_VERB,tout_ADV noté_VERB
1800,6.288328791015374e-08,0.0
1801,6.429193177837078e-08,0.0
1802,5.594600338554301e-08,0.0
1803,7.80135707145746e-08,3.900678446910888e-09
1804,1.1370514130248921e-07,1.2359254952798437e-08
1805,9.665784261869703e-08,0.0
1806,4.610670600868616e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,4.292158095609011e-08,2.259030518203531e-09
1810,4.914266327205041e-08,0.0
1811,3.259199843341776e-08,1.0028307073639553e-08
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,4.888760685162197e-08,2.8757416448144113e-09
1814,7.866692897096073e-08,0.0
1815,2.966945977789237e-08,0.0
1816,3.476405652236281e-08,0.0
1817,8.56280379935015e-08,7.784366928831332e-09
1818,3.814776761146277e-08,3.5763532135746345e-09
1819,9.419455437864599e-08,0.0
1820,7.001224133773576e-08,2.3732962262101864e-09
1821,6.311352507282209e-08,1.97229765852569e-09
1822,3.909990198280866e-08,0.0
1823,7.807322788266902e-08,1.9765373782121287e-09
1824,4.7158231097910175e-08,4.210556348027694e-09
1825,6.868245350233337e-08,7.044354433105582e-09
1826,5.989429041619587e-08,0.0
1827,4.3321183085254233e-08,2.7651818612639545e-09
1828,3.485474309172787e-08,0.0
1829,5.058173968564006e-08,2.571952872898464e-09
1830,5.114049628218709e-08,2.0873670791843324e-08
1831,4.8332740476553226e-08,0.0
1832,3.5177919244233635e-08,6.764984572527055e-09
1833,3.938433579264711e-08,5.791814139399776e-09
1834,3.827157613045529e-08,9.334530925997342e-10
1835,3.6302822081779595e-08,0.0
1836,3.091545153210973e-08,1.008112526790228e-08
1837,3.270208637218275e-08,0.0
1838,1.9567702125300457e-08,0.0
1839,4.61437359433603e-08,2.0974426639952526e-09
1840,4.33138822586443e-08,0.0
1841,4.6227949468402585e-08,2.118781061710706e-08
1842,2.95163662400455e-08,2.683306021822318e-09
1843,2.0674189471492355e-08,7.088293507706567e-09
1844,2.4149668931272572e-08,4.390849017710252e-09
1845,3.850357188639464e-08,8.928364714222425e-09
1846,4.6836010625384006e-08,3.5127007969038004e-09
1847,3.182001862001016e-08,2.1572894581822766e-09
1848,3.137636639394259e-08,1.6090443422100975e-09
1849,2.8490010350878947e-08,2.262441967104678e-08
1850,2.987158254086353e-08,1.3577992064028876e-08
1851,2.192809134271556e-08,6.449438760824933e-10
1852,4.492276417522589e-08,1.9531636308300904e-09
1853,2.149895550473957e-08,5.3747388761848924e-09
1854,1.9223959313308114e-08,8.832629738719788e-09
1855,3.767925349507095e-08,7.960405667972736e-09
1856,3.209857268871019e-08,1.4496129630003907e-08
1857,4.246912865824015e-08,7.322263684272912e-09
1858,3.0830157982109085e-08,3.9149408159744326e-09
1859,2.953460587207246e-08,3.208069188076479e-08
1860,1.6020143434047895e-08,9.612086238064421e-09
1861,2.0278644541349422e-08,5.659156698811785e-09
1862,3.5240294238292336e-08,1.3102160245637151e-08
1863,2.4973104473247076e-08,1.1987090431375691e-08
1864,3.9796240969280916e-08,1.0068928801842958e-08
1865,2.9653119071326728e-08,2.8241067262513297e-09
1866,2.1408697037372804e-08,1.9462451650298362e-09
1867,3.105799351033056e-08,7.279217228983725e-09
1868,2.766329387782207e-08,3.457911734727759e-09
1869,2.0999133099053324e-08,2.9301114867763545e-09
1870,2.695002976338401e-08,1.1468097582678638e-08
1871,1.911811864374613e-08,5.3105884134652115e-09
1872,2.7817760539505798e-08,1.269941218851045e-08
1873,1.5563610844537834e-08,2.9930022904522957e-09
1874,2.0313670745508716e-08,1.1949218503559678e-08
1875,1.830888685105947e-08,1.716458086775674e-08
1876,2.2974855795609983e-08,5.441413541973361e-09
1877,3.896434108696667e-08,4.329371083855449e-09
1878,2.0532901601200138e-08,1.2078177569208037e-08
1879,2.1993571408529533e-08,1.0996785704264767e-08
1880,7.059631101924424e-09,5.134277003548959e-09
1881,1.1853263259808955e-08,7.669758161910067e-09
1882,1.2645231528551903e-08,1.3976308999019693e-08
1883,1.7694148368718743e-08,2.6541224329434954e-08
1884,9.242375753615306e-09,1.7164412113856997e-08
1885,1.8047780159236027e-08,4.511945039809007e-09
1886,1.355227396970804e-08,2.1296431285122708e-08
1887,9.140494583448344e-09,9.14049436140374e-09
1888,7.60873763994141e-09,1.775372071577408e-08
1889,2.5060546970934183e-09,1.1903759755682586e-08
1890,9.176140736144589e-09,7.209825181320184e-09
1891,1.211101796627645e-08,1.3385862196457765e-08
1892,1.2537024751679837e-08,6.268512375839919e-09
1893,1.4780200174868696e-08,1.0469308087124318e-08
1894,9.452309157609307e-09,1.3233232287745977e-08
1895,6.6204757231957956e-09,8.426060515986933e-09
1896,1.7101383420481397e-08,1.4152869098893461e-08
1897,1.3401440845939305e-08,1.3984112534615178e-08
1898,2.1501747937691107e-08,5.092519295146758e-09
1899,1.5477219506010442e-08,1.2713430308508578e-08
1900,6.748368974740515e-09,6.229263660451068e-09
1901,3.353243460679778e-09,1.4530721514915967e-08
1902,4.910283735171106e-09,1.8659077838378835e-08
1903,1.296052865029651e-08,9.1803746826713e-09
1904,3.7622376325430196e-09,2.2573425795258117e-08
1905,1.2385822145688508e-08,1.4966200723165457e-08
1906,1.2346042410626978e-08,2.211999294843281e-08
1907,1.1828539925318182e-08,1.9542804707839423e-08
1908,1.4734167663732478e-08,1.9154416719402434e-08
1909,3.300590023513905e-09,1.3752458727367411e-08
1910,2.3514262537105424e-08,1.3360376693860587e-08
1911,1.0108711201439746e-08,9.576673565270255e-09
1912,1.614920641657136e-08,2.5005221004903433e-08
1913,8.484783542428431e-09,1.2727175757731857e-08
1914,8.036092680185902e-09,3.348371740985456e-08
1915,4.712304768617059e-09,1.0602685840410686e-08
1916,6.592477230782379e-09,1.538244687182555e-08
1917,6.57985488317081e-09,9.869782324756216e-09
1918,3.44591288836682e-09,8.040463406189247e-09
1919,6.4454939163738345e-09,1.1970202606903513e-08
1920,9.843901693784574e-09,1.2115570768855832e-08
1921,6.058197943303867e-09,1.438822039290244e-08
1922,2.951174193910333e-09,1.4018077365562931e-08
1923,1.3800733000834953e-08,1.5923921736771263e-08
1924,6.445812328337297e-09,1.804827398643738e-08
1925,1.9796720707176974e-08,2.4195990988573612e-08
1926,1.3375366592072169e-08,1.3375365925938354e-08
1927,1.2264147031260109e-08,1.4493992672726108e-08
1928,5.713020723163709e-09,2.7422499604412565e-08
1929,7.798284684668033e-09,2.4508893137209498e-08
1930,1.995684684175103e-08,1.575540586884472e-08
1931,5.7026783295555106e-09,1.3686427990933225e-08
1932,4.383814644626227e-09,1.2055490161699822e-08
1933,2.2941324395731044e-09,9.176529758292418e-09
1934,9.585264137967897e-09,1.0783422155213884e-08
1935,1.6755597798123745e-08,4.787313656606784e-09
1936,3.6374143697059935e-09,1.333718646634452e-08
1937,5.0364472592434595e-09,2.0145789036973838e-08
1938,1.2965214457594243e-09,2.5930428915188486e-09
1939,1.5294050470515685e-09,1.6823455517567254e-08
1940,5.0715658339584024e-09,1.5214697057785997e-08
1941,1.4757512545315876e-08,8.854508237732261e-09
1942,1.2136847082899749e-08,1.8205270180260413e-08
1943,5.806470415592457e-09,8.709705845433291e-09
1944,1.6065930807940276e-08,3.2131861615880553e-09
1945,8.714016175304096e-09,1.089252066321933e-08
1946,1.1136883415474585e-08,1.3921104269343232e-08
1947,2.5033829231801974e-08,1.3112957830685446e-08
1948,1.522064252412747e-08,2.0656587551570738e-08
1949,1.0798709482173763e-08,2.4542519905246252e-08
1950,8.508289184305795e-09,1.4889506516624351e-08
1951,8.529121409139861e-09,1.7058242818279723e-08
1952,1.2653764258629963e-08,3.057992969957013e-08
1953,4.3095309543161875e-09,1.2928593307037772e-08
1954,6.840775057526116e-09,1.5636057781875934e-08
1955,7.508486277174597e-09,7.508486277174597e-09
1956,5.232684952005684e-09,1.1337483840634377e-08
1957,1.1485549400447326e-08,2.5621609722747962e-08
1958,4.9633461784992505e-09,1.3235589346738408e-08
1959,8.525822714489095e-09,1.705164542897819e-08
1960,9.689166802218097e-09,2.629916728835724e-08
1961,1.459113452284555e-08,1.598076693198891e-08
1962,1.2049716779927166e-08,1.6489087428794846e-08
1963,7.759263453976928e-09,1.2932106829843804e-08
