year,pourrait_VERB être_VERB,pourrait_VERB etre_VERB,pourrait_VERB naître_VERB
1800,7.66547327657463e-06,3.144164484325529e-09,5.345079756580162e-08
1801,7.045919119263999e-06,3.333655484993869e-08,5.9529565277216534e-08
1802,7.2036073106573895e-06,2.0140561218795483e-08,6.042168365638645e-08
1803,7.167496733018197e-06,7.801356893821776e-09,8.191424427650418e-08
1804,1.0502894838282373e-05,1.4831105232815389e-08,5.19088700912107e-08
1805,7.149837529141223e-06,2.2743021688143017e-08,1.9900143755080535e-08
1806,6.8151475716149434e-06,1.4408345627714425e-08,6.627838899930794e-08
1807,1.1142982657474931e-05,2.2775640928784924e-08,7.971474502710407e-08
1808,9.358886018162593e-06,1.3596443970698147e-08,4.985362878073829e-08
1809,8.57753911986947e-06,1.3554183553310395e-08,7.00299480627109e-08
1810,9.861294529400766e-06,1.8721014072298203e-08,8.658469141664682e-08
1811,1.0108533388120122e-05,1.7549536934780008e-08,1.1031137603367824e-07
1812,1.44642699524411e-05,1.8670457180292033e-08,9.868670503010435e-08
1813,1.2687772141362075e-05,1.4378708002027452e-08,4.888760685162197e-08
1814,1.0972463314828929e-05,6.293354282149721e-09,5.97868634599763e-08
1815,9.901507837639656e-06,1.3486118000116676e-08,7.821948599939788e-08
1816,1.0415312317491043e-05,1.3905623319487859e-08,8.806894413737609e-08
1817,1.0401471627119463e-05,1.2454987263765815e-08,7.161617787687646e-08
1818,1.0009020115830936e-05,2.1458118837358597e-08,1.1801965627000754e-07
1819,1.1678054761432577e-05,2.173720581311045e-08,8.280839836061205e-08
1820,1.1928186722798273e-05,3.20394981656591e-08,1.0205173595068118e-07
1821,1.1557664038264193e-05,1.577838126820552e-08,7.59334568556369e-08
1822,1.2792685993190389e-05,1.1028177482330648e-08,9.925359734097583e-08
1823,1.1511353477544617e-05,1.2847492847356534e-08,6.81905376609393e-08
1824,1.1758399523387197e-05,5.894778887238772e-09,7.073734309415158e-08
1825,1.2758206139551476e-05,5.283265824829186e-09,1.0390422744421812e-07
1826,1.3244565707282163e-05,9.688783109140786e-09,9.864942285275902e-08
1827,1.6524727470823564e-05,1.7512819638909605e-08,9.401618683568813e-08
1828,1.5486513802898116e-05,2.109629271274116e-08,5.4116576109208836e-08
1829,1.6552230590605177e-05,1.9718305044325035e-08,1.0887933399317262e-07
1830,1.7239564840565436e-05,1.982998831806526e-08,8.34946831673733e-08
1831,1.8198055840912275e-05,3.274153304033689e-08,7.639690835503643e-08
1832,1.8741713574854657e-05,3.3824925083081325e-08,1.3259369779916597e-07
1833,1.7251497411052696e-05,1.7375443306377747e-08,1.0656938087549861e-07
1834,1.7324889995506965e-05,3.733812548034621e-08,1.4001795989315724e-07
1835,1.536063246021513e-05,3.403389570166837e-08,1.0285799589837552e-07
1836,1.4807156730967108e-05,3.024337402735e-08,8.938597773067158e-08
1837,1.4910064237483311e-05,5.0096815584765864e-08,5.98378591121218e-08
1838,1.5115102542040404e-05,3.029837714052519e-08,9.783850885014544e-08
1839,1.5965732018230483e-05,4.61437359433603e-08,8.180025901083354e-08
1840,1.6231240806519054e-05,3.821813265858509e-08,8.853866972913238e-08
1841,1.7745753211784177e-05,3.659712533021775e-08,1.6115576784159202e-07
1842,1.702155168459285e-05,3.7566284305512454e-08,6.77534757187459e-08
1843,1.6983551176963374e-05,4.016699423070591e-08,1.2050098519011954e-07
1844,1.7642430975683965e-05,4.610391357573462e-08,8.013299179765454e-08
1845,1.702527515590191e-05,3.682950477923441e-08,9.486387853030465e-08
1846,1.684223025222309e-05,4.27378594736183e-08,8.781751859032738e-08
1847,1.795673779270146e-05,4.961765665001394e-08,8.305564591637449e-08
1848,1.8378505046712235e-05,4.103063133698015e-08,1.5849086310026905e-07
1849,1.9264274669694714e-05,4.4410900290614563e-08,1.240153437720437e-07
1850,1.800781137717422e-05,4.073397619208663e-08,1.1133953137232311e-07
1851,1.7227741409442388e-05,3.998652076120379e-08,6.771910676661719e-08
1852,1.668001823418308e-05,2.2135854038651814e-08,1.1784086950683559e-07
1853,1.536936360935215e-05,2.20961471342207e-08,7.524634071387482e-08
1854,1.6095129467430525e-05,4.312401458150816e-08,7.325886741682552e-08
1855,1.4928944437997416e-05,3.3964397516683675e-08,8.331890910540096e-08
1856,1.516243446531007e-05,3.36517302912398e-08,7.921099864915959e-08
1857,1.4149053640721831e-05,3.6123165847445904e-08,8.933161410595858e-08
1858,1.4649219338025432e-05,3.0830157982109085e-08,1.0374593273354549e-07
1859,1.58554994413862e-05,2.64793023063703e-08,1.2323059195296082e-07
1860,1.5485986295971088e-05,2.013961006297471e-08,9.657858157652299e-08
1861,1.5909774447209202e-05,2.357981898626349e-08,8.205776680370036e-08
1862,1.600225550646428e-05,3.478849566751485e-08,8.855253241790706e-08
1863,1.5837942555663176e-05,5.094513255698985e-08,1.2486552236623538e-07
1864,1.5232370969897602e-05,2.9727313943794798e-08,1.0164823294189773e-07
1865,1.560271812195424e-05,3.4830648587558244e-08,1.0872810207729344e-07
1866,1.5296513083740138e-05,3.843834051053818e-08,6.763202264892243e-08
1867,1.6127349226735532e-05,3.34843974769683e-08,7.521857980918867e-08
1868,1.630998303880915e-05,2.8157281284357794e-08,9.385760790792119e-08
1869,1.617470297787804e-05,3.271957993433716e-08,6.495080384638641e-08
1870,1.621244882699102e-05,2.8096838633473453e-08,7.0528798801206e-08
1871,1.7806403775466606e-05,3.504988654867702e-08,1.0939812256083314e-07
1872,1.6864214558154345e-05,3.205089882385437e-08,8.466275147611668e-08
1873,1.7580296116648242e-05,2.9331422624068182e-08,6.764184945495799e-08
1874,1.678148146311287e-05,1.6728906260254917e-08,7.05003913026303e-08
1875,1.6371006495319307e-05,2.7463329388410784e-08,7.380769773135398e-08
1876,1.6826663340907544e-05,2.2370254981751714e-08,1.0338685285660176e-07
1877,1.62394717335701e-05,2.1646856751544874e-08,4.762308236649915e-08
1878,1.6600850358372554e-05,4.5293166550663955e-08,5.7975249490027636e-08
1879,1.681041976553388e-05,5.3151130496864596e-08,5.681672377022551e-08
1880,1.7396856492268853e-05,4.685027832351807e-08,1.0589446475250952e-07
1881,1.7096588635467924e-05,5.299105865219644e-08,7.460582907015123e-08
1882,1.6875394067028537e-05,4.059785041476971e-08,6.921600714804299e-08
1883,1.7363016013405286e-05,2.338155447034751e-08,7.962366765923434e-08
1884,1.6528669220861048e-05,4.8192387858136954e-08,5.545425452169184e-08
1885,1.7360674974042922e-05,4.5119449509911647e-08,9.281715307452032e-08
1886,1.6577012502239086e-05,3.22673189834255e-08,5.6145136539953455e-08
1887,1.7566071619512513e-05,5.157850324621904e-08,7.181817096579834e-08
1888,1.748804970702622e-05,4.6286489086000415e-08,7.672143453874014e-08
1889,1.654497282288503e-05,2.7566601445982997e-08,6.202485280937253e-08
1890,1.7858081264421344e-05,4.391439034634459e-08,6.94764992204e-08
1891,1.7918569938046858e-05,2.8683990294098294e-08,9.433845349349212e-08
1892,1.741141932143364e-05,3.823792482648969e-08,4.764069316820496e-08
1893,1.7770726117305458e-05,3.818218274886931e-08,6.096832549928877e-08
1894,1.6636693544569425e-05,4.285046628638156e-08,5.986462525697789e-08
1895,1.7894544726004824e-05,3.009307270041006e-08,4.513960760732516e-08
1896,1.8072625607601367e-05,4.599682768002822e-08,4.422771837653272e-08
1897,1.7653193935984746e-05,5.651912149406968e-08,7.050323347357335e-08
1898,1.8211414499091916e-05,4.243766060785248e-08,7.242694266551553e-08
1899,1.8336635548621416e-05,4.4220625383672996e-08,6.467266899790047e-08
1900,1.8113141777575947e-05,4.8276795894253155e-08,5.606337438734954e-08
1901,1.9205142962164246e-05,3.7444550571308355e-08,5.085752263767063e-08
1902,2.2092348444857635e-05,4.271947062761683e-08,6.776191696644673e-08
1903,1.897583388199564e-05,4.428180488957878e-08,8.370341220143018e-08
1904,1.8486560293240473e-05,3.3860139581065596e-08,6.449550227216605e-08
