year,petit_ADJ air_NOUN,petit_ADJ nerf_NOUN
1800,3.5529058095562505e-07,2.5153315874604232e-08
1801,3.119349116786907e-07,0.0
1802,1.4769744893783354e-07,2.6854081625060644e-08
1803,1.8138155155611457e-07,1.950339223455444e-09
1804,3.6583392670763715e-07,1.9774807569206132e-08
1805,2.75759134638065e-07,9.097208941710733e-08
1806,3.4580028795971884e-07,2.5935023018064385e-08
1807,2.8469551693888207e-07,1.4234775580490577e-08
1808,2.01680592226694e-07,0.0
1809,1.6942729530455836e-07,0.0
1810,4.7504573785772664e-07,7.020380277111826e-09
1811,3.685402987230191e-07,5.0141535368197765e-09
1812,3.040617286842462e-07,0.0
1813,4.256097554389271e-07,1.4378708002027452e-08
1814,2.454408161156607e-07,0.0
1815,1.3755840200246894e-07,3.506390644503199e-08
1816,1.9004352225238108e-07,6.952811659743929e-09
1817,2.2574664626517915e-07,1.5568733857662664e-08
1818,2.8253191430849256e-07,5.960588467246453e-09
1819,1.72862542058283e-07,3.1053151161586356e-09
1820,3.2395493576586887e-07,2.7292905713238724e-08
1821,3.885426451688545e-07,3.94459531705138e-09
1822,4.541603857433074e-07,1.0025615893027862e-08
1823,4.733807088541653e-07,2.5694986804936093e-08
1824,3.023179431238532e-07,1.6000114122505238e-08
1825,3.96244928424494e-07,3.522177127734949e-08
1826,1.7263648999232828e-07,4.403992281964975e-09
1827,1.5485018423078145e-07,1.4747637222534138e-08
1828,1.8894940012614825e-07,4.586150625929264e-09
1829,1.997550072019294e-07,1.457439946506156e-08
1830,2.3065406651312514e-07,4.174734336004349e-09
1831,2.463410453401593e-07,6.236482441579483e-09
1832,3.0577731990888424e-07,2.705993873419743e-09
1833,3.0349107760230254e-07,5.791814361444381e-09
1834,2.529657763261639e-07,1.586870213010627e-08
1835,3.910116390670737e-07,2.4958190181223472e-08
1836,2.2380098130270198e-07,1.6264215429995232e-07
1837,2.539630088449485e-07,4.453050195252217e-08
1838,1.944145822108112e-07,7.385229450207476e-08
1839,2.663751956788474e-07,4.894032845648155e-09
1840,2.2039122882233642e-07,1.46502836528839e-08
1841,2.7544152203518024e-07,1.6693427085101575e-08
1842,4.534787194643286e-07,8.184083144513465e-08
1843,3.177918017627235e-07,1.0927785720760141e-07
1844,2.848563269708393e-07,1.3172546664552698e-08
1845,2.7454720452624315e-07,4.854798324460674e-08
1846,2.3418004957420635e-07,2.575980517782739e-08
1847,1.623360361691084e-07,8.629157832729106e-09
1848,1.7860392631519062e-07,7.24069959545659e-09
1849,1.893747736403384e-07,1.005529792763582e-08
1850,2.3489926093134272e-07,2.0366988096043315e-08
1851,1.683303452182372e-07,3.2247193804124663e-09
1852,2.897192814543814e-07,5.468858121915332e-08
1853,2.9441625315485e-07,3.2845625330679695e-08
1854,2.8472240387600323e-07,1.9743524148907454e-08
1855,4.410064775584033e-07,1.2205955357558196e-08
1856,3.753462181066425e-07,6.73034605824796e-09
1857,3.7148285514376767e-07,1.7573431820849805e-08
1858,4.507075743731548e-07,3.0830157982109085e-08
1859,3.966802921695489e-07,2.036869339860914e-08
1860,4.0004587731345964e-07,3.432887782373051e-08
1861,3.5605526704785007e-07,1.2733101961703852e-08
1862,3.0767486691729573e-07,2.801151532949575e-08
1863,3.2864605259419477e-07,9.989241711583219e-09
1864,3.332336007133563e-07,2.3973640850272204e-09
1865,3.1818268553251983e-07,8.472319956709384e-09
1866,4.0579212168267986e-07,2.043557378872407e-08
1867,4.67325747877112e-07,3.396968040192405e-08
1868,3.1960985324985813e-07,6.125443796634045e-08
1869,4.6002750764273515e-07,5.811387859822048e-08
1870,4.0826427039064583e-07,3.268407811063412e-08
1871,3.1651109111408005e-07,1.2851623898413322e-07
1872,4.317800232911395e-07,3.3260366905096816e-08
1873,3.0229321623664873e-07,3.711322715815868e-08
1874,4.463032894364005e-07,3.88349579161229e-08
1875,3.7704865007981425e-07,1.3731665304828056e-08
1876,4.927501890961139e-07,2.0556450763820067e-08
1877,5.127212716615759e-07,5.690030591143369e-08
1878,3.7744302971987054e-07,2.8987626410348355e-08
1879,5.34565970156109e-07,1.7717043609977168e-08
1880,4.0239896748062165e-07,2.0537108902374257e-08
1881,4.176532115707232e-07,1.743126887276958e-08
1882,4.944951115248841e-07,3.0614771162618126e-08
1883,4.278192591300467e-07,1.4534479397809719e-08
1884,4.984281076758634e-07,2.3766109968903493e-08
1885,4.350804090336169e-07,4.060750324885731e-08
1886,3.872078195854556e-07,2.7104548716572197e-08
1887,4.563718221106683e-07,9.336362438716606e-08
1888,4.894954486189818e-07,3.1703073943845084e-08
1889,4.335474557137786e-07,3.88438485821041e-08
1890,4.679831988596561e-07,3.998175712727203e-08
1891,4.066752410381014e-07,2.677172439291553e-08
1892,3.87394067047353e-07,1.6924984080901595e-08
1893,3.1777429398971435e-07,2.6481190795735188e-08
1894,4.26614207071907e-07,1.2603078580752936e-08
1895,4.122750851820456e-07,1.8657704714541978e-08
1896,4.3107280589538277e-07,6.486732040400511e-09
1897,3.8689378811795905e-07,2.563753909168298e-08
1898,4.3173247377126245e-07,1.0750873968845553e-08
1899,4.3778419467344065e-07,5.030096339453394e-08
1900,3.763513518606487e-07,1.7130474816440255e-08
1901,4.06301325028835e-07,2.123720777014171e-08
1902,3.928226988136885e-07,2.553347622225033e-08
1903,4.3039756292273523e-07,1.7820726228023887e-08
1904,3.568751196780795e-07,2.9022975134296303e-08
1905,3.27192111626573e-07,8.257214467732865e-09
1906,3.600929119329521e-07,7.201858220895474e-09
1907,4.253131464793114e-07,2.0057089655800553e-08
1908,4.204148922326567e-07,2.2101251051509507e-08
1909,4.2962682300640154e-07,1.4852655993990993e-08
1910,4.3661711401909997e-07,1.0153886620400954e-08
1911,3.692339589633775e-07,2.9262057221757232e-08
1912,4.573871876800695e-07,3.125652625612929e-09
1913,4.6613280346718966e-07,7.42418571064718e-09
1914,3.6631189459512825e-07,1.4732836284281348e-08
1915,4.3117589143548685e-07,2.3561524065129902e-08
