year,devaient_VERB être_VERB,devaient_VERB etre_VERB,devaient_VERB naître_VERB
1800,4.741400061902823e-06,2.2009151834367913e-08,2.2009151834367913e-08
1801,4.864756192546338e-06,9.524730337773235e-09,3.333655484993869e-08
1802,3.929647391487379e-06,2.2378401354217203e-09,2.9091921760482364e-08
1803,4.212732619635062e-06,7.801356893821776e-09,7.801356893821776e-09
1804,5.8310965869168285e-06,0.0,2.9662210465630778e-08
1805,4.770348823512904e-06,2.842877755426798e-08,3.1271653710973624e-08
1806,5.3570229283650406e-06,1.4408345627714425e-08,1.152667650217154e-08
1807,1.0764337275759317e-05,1.1387820464392462e-08,6.263301344233696e-08
1808,5.760360181739088e-06,9.064295980465431e-09,4.305540457494317e-08
1809,7.75525131757604e-06,2.0331274441787173e-08,3.840352036377226e-08
1810,6.559375378856203e-06,1.4040760554223652e-08,8.190443878675069e-08
1811,8.030167009565048e-06,1.504245972228091e-08,4.011322829455821e-08
1812,8.31635497888783e-06,5.3344164641089264e-09,2.400487453257938e-08
1813,7.591957910335623e-06,5.751483289628823e-09,5.463909147351842e-08
1814,6.7118621700501535e-06,1.2586708564299443e-08,6.293354459785405e-08
1815,9.362062883155886e-06,8.091670444798638e-09,1.0519171667056071e-07
1816,6.572724487341475e-06,9.270415546325239e-09,8.1116134253989e-08
1817,8.419571713602636e-06,9.341240669868967e-09,5.1376822796100896e-08
1818,8.88008526089834e-06,1.1921176934492905e-08,5.6029534789558966e-08
1819,8.449562301393598e-06,8.280840013696888e-09,3.622867339458935e-08
1820,1.0444876352266874e-05,8.306536791735653e-09,6.526564533260171e-08
1821,9.609034350432921e-06,2.1695274909916407e-08,6.7058117281249e-08
1822,1.0547950296313502e-05,7.017931125119503e-09,1.3233812978796777e-07
1823,1.029281884257216e-05,3.9530747564242574e-09,6.423746157224741e-08
1824,1.020301988319261e-05,6.736890156844311e-09,5.4737231636181605e-08
1825,1.050225182552822e-05,1.0566531649658373e-08,6.692136622632461e-08
1826,1.0901641871896572e-05,1.8496766784892316e-08,7.927185663447744e-08
1827,1.2847956895711832e-05,8.295545583791863e-09,6.728609491801762e-08
1828,1.1467211152194068e-05,9.172301140836225e-09,8.89713192009367e-08
1829,1.2419960512488615e-05,8.573175946935407e-09,9.430493719264632e-08
1830,1.2600391528394539e-05,1.3567886369969528e-08,6.470838087579978e-08
1831,1.093255377782043e-05,9.354723218280014e-09,1.2472964883158966e-08
1832,1.2636991414183285e-05,5.411987746839486e-09,1.1635773944362882e-07
1833,1.2324981071287766e-05,8.108539617524002e-09,1.0888610546544442e-07
1834,1.3191559446568135e-05,1.5868701908061666e-08,5.880754372356023e-08
1835,1.143085137300659e-05,1.8151411040889798e-08,6.277362984974388e-08
1836,1.0861404007300735e-05,1.5457725766054864e-08,1.0013917517426307e-07
1837,1.2499155673140194e-05,2.7831564608504777e-08,5.775049416456568e-08
1838,1.3549055438488722e-05,3.5348108440302894e-08,7.511472688292997e-08
1839,1.3074757589492947e-05,3.915226187700682e-08,1.0487212875887053e-07
1840,1.5059855286381207e-05,2.0383003729307347e-08,1.1465439797575527e-07
1841,1.4487325643131044e-05,2.8892468861840825e-08,1.5409315778924793e-07
1842,1.5255935977620538e-05,3.219967226186782e-08,1.0531976357697204e-07
1843,1.4115154954197351e-05,3.1306630177141415e-08,1.1459407289748924e-07
1844,1.532900205347687e-05,2.3600812915081093e-08,1.438003067733007e-07
1845,1.5675976101192646e-05,2.23209111749334e-08,1.2109094882362115e-07
1846,1.4424320397665724e-05,1.7563504428608212e-08,1.4109348001056787e-07
1847,1.5844751033000648e-05,4.422443566909351e-08,1.466956831563948e-07
1848,1.4523234312946443e-05,2.172209789819135e-08,8.286578179195203e-08
1849,1.6349076759070158e-05,3.100383594301093e-08,7.373885324568619e-08
1850,1.3942561054136604e-05,3.055048125588655e-08,8.96147440698769e-08
1851,1.4333877516037319e-05,2.644269869733762e-08,8.90022562316517e-08
1852,1.3276304343889933e-05,2.2135854038651814e-08,9.896029240508142e-08
1853,1.3261868843983393e-05,2.5679307347203917e-08,8.181546462537881e-08
1854,1.2527786566352006e-05,1.870439253481848e-08,7.377843758149538e-08
1855,1.3234439393272623e-05,1.9104973603134567e-08,1.4753285881852207e-07
1856,1.3036162272328511e-05,2.0708757375587084e-08,9.784887566866018e-08
1857,1.2610890735231806e-05,1.8061584228235006e-08,8.542640728137485e-08
1858,1.2288999641896226e-05,2.4468380155351355e-08,7.732008100447274e-08
1859,1.3123549251758959e-05,1.9350258284589472e-08,1.059172092254812e-07
1860,1.3028953617322259e-05,1.0527522853465143e-08,7.415037828195636e-08
1861,1.2792995221388992e-05,2.0750240636857598e-08,9.29044858821726e-08
1862,1.390093984809937e-05,2.4848924695675123e-08,1.0797987215482863e-07
1863,1.3027968634560239e-05,2.6471490166546374e-08,8.790532746161261e-08
1864,1.26470540635637e-05,1.9178912680217763e-08,1.0020981733305234e-07
1865,1.348463865724625e-05,2.118079933666195e-08,6.26010319138004e-08
1866,1.2653513294935692e-05,3.795178216137174e-08,7.833637027943041e-08
1867,1.2850245184381492e-05,2.3778776281346836e-08,9.123285593659602e-08
1868,1.2628787771973293e-05,2.6181332657415624e-08,7.854399797224687e-08
1869,1.2297678040340543e-05,3.027781758646597e-08,7.715960492760132e-08
1870,1.378866727463901e-05,2.121598008386627e-08,9.002456380358126e-08
1871,1.3788412616122514e-05,2.0180236148803488e-08,9.240424247991541e-08
1872,1.3791562196274754e-05,2.660829245826335e-08,7.740594298866199e-08
1873,1.3306289474712685e-05,1.97538145840781e-08,1.1493128226902627e-07
1874,1.3570726878242567e-05,1.5533982988813477e-08,4.719941060216115e-08
1875,1.2468924069253262e-05,1.830888685105947e-08,4.520006413599731e-08
1876,1.2374983271001838e-05,1.209202959984168e-08,7.799359025284502e-08
1877,1.2775974028045312e-05,1.2369632429454214e-08,7.050689987408987e-08
1878,1.256855102838017e-05,1.8721174610547564e-08,7.367687970827319e-08
1879,1.2472187336243223e-05,1.8327975581655664e-08,6.842444122412417e-08
1880,1.2132938536524307e-05,1.4119262203848848e-08,8.599914025353428e-08
1881,1.2143319509050343e-05,2.1614773970668466e-08,5.647731171620762e-08
1882,1.2187340871605556e-05,1.5972924316542958e-08,5.390861801402025e-08
1883,1.2284162949072197e-05,1.7694148368718743e-08,4.9922778799782463e-08
1884,1.27247712953249e-05,1.386356363042296e-08,6.139578090369469e-08
1885,1.2827459613617975e-05,1.6114089618213256e-08,5.285421167400273e-08
1886,1.3165711607143749e-05,1.6133659963557534e-08,7.421483161351716e-08
1887,1.1686121979437303e-05,1.566941953967671e-08,5.223139609711325e-08
1888,1.276238890568493e-05,2.1558090423923204e-08,6.404020780337305e-08
1889,1.2143714229750913e-05,1.50363277384713e-08,6.327788071303075e-08
1890,1.1733007340808399e-05,1.5730527991308918e-08,4.784702056781498e-08
1891,1.2070860066160094e-05,8.92390783491237e-09,4.9081492647928826e-08
1892,1.1789818017859943e-05,1.191017329205124e-08,4.137218212463267e-08
1893,1.1497148079797626e-05,1.0469308087124318e-08,5.7273272346947124e-08
1894,1.266105300601339e-05,2.079507943619774e-08,6.175508815431385e-08
1895,1.2777518350048922e-05,1.3240951446391591e-08,3.671354775747204e-08
1896,1.1910229659406468e-05,1.9460195233023114e-08,5.6611476395573845e-08
1897,1.1118534530396573e-05,2.0393496669157685e-08,5.4188436848789934e-08
1898,1.1556057870620862e-05,1.5277558773618694e-08,3.508180057565369e-08
1899,1.1523895409482066e-05,1.2160672469008205e-08,5.140648084989152e-08
1900,1.1540229934325907e-05,2.1283318218934255e-08,3.322274011452464e-08
1901,1.1620106306509115e-05,1.676621685930968e-08,3.63268028991115e-08
1902,1.058313500834629e-05,1.6203935970793282e-08,2.8479647085077886e-08
1903,1.1798400919360574e-05,1.6200660368781428e-08,5.4542223182352245e-08
1904,1.1532333701325115e-05,1.3974025492302644e-08,4.5146851590516235e-08
1905,1.1190590157639235e-05,1.3934049469810361e-08,5.057543717157387e-08
1906,1.15656703201239e-05,1.800464666246171e-08,6.327346824264168e-08
1907,1.1202141649846453e-05,1.6457098794830927e-08,3.445705232252294e-08
1908,1.139393134508282e-05,1.1296195090437777e-08,3.830883343880487e-08
1909,1.0990965165547095e-05,1.4302557360679202e-08,5.170924666231258e-08
1910,1.0646616829035338e-05,1.9238942883248455e-08,4.649411167179096e-08
1911,1.0946137990686111e-05,1.4365010514438836e-08,4.8415405018431557e-08
1912,1.108043852582341e-05,1.614920641657136e-08,5.157327009897017e-08
1913,1.0662721251719631e-05,1.590896836489719e-08,4.560571298384275e-08
1914,1.095989046007162e-05,1.8081207919795617e-08,6.763711013491047e-08
1915,1.09384372990462e-05,1.4136913861761968e-08,1.767114277129167e-08
1916,1.1024819286831189e-05,2.0876177231343718e-08,4.0653610255958483e-08
1917,1.0548603313509375e-05,1.5352993543160665e-08,4.934890895924582e-08
1918,1.105908268073108e-05,3.790504266021344e-08,6.547234221443432e-08
